[2024-06-13 12:18:02.844126] [0x0000007f98d14010] [LogDataTag] [0x00002ff1] [1] Initial timestamp, Current time [s], User-defined position x [m], User-defined position y [m], User-defined position z [m], User-defined velocity x [m/s], User-defined velocity y [m/s], User-defined velocity z [m/s], User-defined acceleration x [m/s^2], User-defined acceleration y [m/s^2], User-defined acceleration z [m/s^2], User-defined yaw [rad], User-defined yaw_dot [rad/s], User-defined yaw_dot_dot [rad/s^2], Odometry time [s], Position x [m], Position y [m], Position z [m], Quaternion q0 [-], Quaternion q1 [-], Quaternion q2 [-], Quaternion q3 [-], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Angular velocity x [rad/s], Angular velocity y [rad/s], Angular velocity z [rad/s], Roll [rad], Pitch [rad], Yaw [rad], Algorithm execution time [us], Mu translational raw x [N], Mu translational raw y [N], Mu translational raw z [N], Mu translational x [N], Mu translational y [N], Mu translational z [N], U control input U1 [N], U control input U2 [Nm], U control input U3 [Nm], U control input U4 [Nm], Roll reference [rad], Pitch reference [rad], Roll_dot reference [rad/s], Pitch_dot reference [rad/s], Roll_dot_dot reference [rad/s^2], Pitch_dot_dot reference [rad/s^2], Roll_dot [rad/s], Pitch_dot [rad/s], Yaw_dot [rad/s], Thrust motors QUADCOPTER T1 [N], Thrust motors QUADCOPTER T2 [N], Thrust motors QUADCOPTER T3 [N], Thrust motors QUADCOPTER T4 [N], Thrust motors normalized QUADCOPTER T1 [-], Thrust motors normalized QUADCOPTER T2 [-], Thrust motors normalized QUADCOPTER T3 [-], Thrust motors normalized QUADCOPTER T4 [-], Thrust motors X8COPTER T1 [N], Thrust motors X8COPTER T2 [N], Thrust motors X8COPTER T3 [N], Thrust motors X8COPTER T4 [N], Thrust motors X8COPTER T5 [N], Thrust motors X8COPTER T6 [N], Thrust motors X8COPTER T7 [N], Thrust motors X8COPTER T8 [N], Thrust motors normalized X8COPTER T1 [-], Thrust motors normalized X8COPTER T2 [-], Thrust motors normalized X8COPTER T3 [-], Thrust motors normalized X8COPTER T4 [-], Thrust motors normalized X8COPTER T5 [-], Thrust motors normalized X8COPTER T6 [-], Thrust motors normalized X8COPTER T7 [-], Thrust motors normalized X8COPTER T8 [-], Roll error [rad], Pitch error [rad], Yaw error [rad], Outer loop Proportional term x [-], Outer loop Proportional term y [-], Outer loop Proportional term z [-], Outer loop Integral term x [-], Outer loop Integral term y [-], Outer loop Integral term z [-], Outer loop Derivative term x [-], Outer loop Derivative term y [-], Outer loop Derivative term z [-], Outer loop Dynamic Inversion term x [-], Outer loop Dynamic Inversion term y [-], Outer loop Dynamic Inversion term z [-], Inner loop Proportional term x [-], Inner loop Proportional term y [-], Inner loop Proportional term z [-], Inner loop Integral term x [-], Inner loop Integral term y [-], Inner loop Integral term z [-], Inner loop Derivative term x [-], Inner loop Derivative term y [-], Inner loop Derivative term z [-], Inner loop Dynamic Inversion term x [-], Inner loop Dynamic Inversion term y [-], Inner loop Dynamic Inversion term z [-], 
[2024-06-13 12:18:02.904411] [0x0000007f915b79a0] [LogDataTag] [0x00002ff1] [3] 1718295482836884, 0.066912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.906171] [0x0000007f91db89a0] [LogDataTag] [0x00002ff1] [5] 1718295482836884, 0.06878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.07993, -0.192984, -0.316034, 0.99897, -0.00526658, -0.00375531, -0.044911, -0.00127155, 0.000139714, -0.00107865, 0.00234412, 0.00279242, 0.00185263, -0.0101855, -0.00797602, -0.0898135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.916221] [0x0000007f925b99a0] [LogDataTag] [0x00002ff1] [10] 1718295482836884, 0.078841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.079945, -0.192992, -0.316002, 0.998971, -0.00526485, -0.00375896, -0.0449001, -0.0012726, 0.000233036, -0.00111963, 0.000379485, -0.000622407, 0.00209167, -0.0101818, -0.00798305, -0.0897916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.926627] [0x0000007f915b79a0] [LogDataTag] [0x00002ff1] [14] 1718295482836884, 0.088893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799561, -0.193, -0.315994, 0.998971, -0.00526433, -0.00376071, -0.0448995, -0.00135714, 0.000261179, -0.000735738, 0.00617068, 0.0050253, 0.00508085, -0.0101806, -0.00798649, -0.0897904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.936540] [0x0000007f915b79a0] [LogDataTag] [0x00002ff1] [19] 1718295482836884, 0.0989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799561, -0.193, -0.315994, 0.998971, -0.00526433, -0.00376071, -0.0448995, -0.00135714, 0.000261179, -0.000735738, 0.00617068, 0.0050253, 0.00508085, -0.0101806, -0.00798649, -0.0897904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.946252] [0x0000007f98d14010] [LogDataTag] [0x00002ff1] [23] 1718295482836884, 0.108899, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799799, -0.193015, -0.315971, 0.99897, -0.0052733, -0.00374253, -0.0449192, -0.0012305, 0.000328215, -0.000786485, 0.00263135, 0.00185361, 0.00644181, -0.0102, -0.00795117, -0.0898301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.956036] [0x0000007f91db89a0] [LogDataTag] [0x00002ff1] [28] 1718295482836884, 0.118758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799857, -0.19302, -0.315965, 0.998971, -0.00527126, -0.00374815, -0.0448962, -0.00119894, 0.000215626, -0.000598406, -0.00318896, 0.00475257, 0.00915389, -0.0101956, -0.00796199, -0.0897839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.966288] [0x0000007f91db89a0] [LogDataTag] [0x00002ff1] [32] 1718295482836884, 0.128922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799857, -0.19302, -0.315965, 0.998971, -0.00527126, -0.00374815, -0.0448962, -0.00119894, 0.000215626, -0.000598406, -0.00318896, 0.00475257, 0.00915389, -0.0101956, -0.00796199, -0.0897839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.976195] [0x0000007f98d14010] [LogDataTag] [0x00002ff1] [37] 1718295482836884, 0.138849, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799953, -0.193032, -0.31586, 0.998969, -0.00526859, -0.00377859, -0.0449269, -0.00137323, 0.000205593, -0.000583509, -0.00151895, -0.00214553, -0.00478194, -0.0101873, -0.00802288, -0.089845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.986249] [0x0000007f98d14010] [LogDataTag] [0x00002ff1] [41] 1718295482836884, 0.148889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0799953, -0.193032, -0.31586, 0.998969, -0.00526859, -0.00377859, -0.0449269, -0.00137323, 0.000205593, -0.000583509, -0.00151895, -0.00214553, -0.00478194, -0.0101873, -0.00802288, -0.089845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
