[2024-06-13 12:18:02.898494] [0x0000007f98d14010] [MocapTag] [0x00002ff1] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-06-13 12:18:02.904735] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [4] 1718295482904605, 0.067721, 0.0835188, -0.184566, -0.313027, -0.998939, -0.00339366, -0.00246317, 0.045856, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.907420] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [6] 1718295482907294, 0.07041, 0.0835188, -0.184566, -0.313027, -0.998939, -0.00339366, -0.00246317, 0.045856, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.909916] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [7] 1718295482909792, 0.072908, 0.0835206, -0.184571, -0.313029, -0.998939, -0.00337347, -0.0024845, 0.0458641, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.912729] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [8] 1718295482912613, 0.075729, 0.0835206, -0.184571, -0.313029, -0.998939, -0.00337347, -0.0024845, 0.0458641, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.915275] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [9] 1718295482915146, 0.078262, 0.0835206, -0.184571, -0.313029, -0.998939, -0.00337347, -0.0024845, 0.0458641, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.920321] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [11] 1718295482920196, 0.083312, 0.0835206, -0.184571, -0.313029, -0.998939, -0.00337347, -0.0024845, 0.0458641, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.921103] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [12] 1718295482920988, 0.084104, 0.0835226, -0.184569, -0.313028, -0.998939, -0.00338323, -0.00247918, 0.045864, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.924046] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [13] 1718295482923922, 0.087038, 0.0835226, -0.184569, -0.313028, -0.998939, -0.00338323, -0.00247918, 0.045864, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.926889] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [15] 1718295482926782, 0.089898, 0.0835226, -0.184569, -0.313028, -0.998939, -0.00338323, -0.00247918, 0.045864, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.929319] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [16] 1718295482929203, 0.092319, 0.083519, -0.184565, -0.313025, -0.998939, -0.00338854, -0.00247022, 0.0458675, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.933724] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [17] 1718295482933604, 0.09672, 0.083519, -0.184565, -0.313025, -0.998939, -0.00338854, -0.00247022, 0.0458675, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.936300] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [18] 1718295482936200, 0.099316, 0.083519, -0.184565, -0.313025, -0.998939, -0.00338854, -0.00247022, 0.0458675, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.939058] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [20] 1718295482938939, 0.102055, 0.0835246, -0.184574, -0.313029, -0.998939, -0.00336912, -0.00247995, 0.045866, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.941913] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [21] 1718295482941784, 0.1049, 0.0835246, -0.184574, -0.313029, -0.998939, -0.00336912, -0.00247995, 0.045866, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.944556] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [22] 1718295482944425, 0.107541, 0.0835246, -0.184574, -0.313029, -0.998939, -0.00336912, -0.00247995, 0.045866, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.947435] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [24] 1718295482947315, 0.110431, 0.0835246, -0.184574, -0.313029, -0.998939, -0.00336912, -0.00247995, 0.045866, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.950386] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [25] 1718295482950264, 0.11338, 0.0835215, -0.184576, -0.313029, -0.998938, -0.00337586, -0.00246277, 0.0458752, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.953145] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [26] 1718295482953021, 0.116137, 0.0835215, -0.184576, -0.313029, -0.998938, -0.00337586, -0.00246277, 0.0458752, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.955699] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [27] 1718295482955582, 0.118698, 0.0835215, -0.184576, -0.313029, -0.998938, -0.00337586, -0.00246277, 0.0458752, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.958203] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [29] 1718295482958086, 0.121202, 0.0835235, -0.184578, -0.31303, -0.998938, -0.0033829, -0.0024645, 0.0458743, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.961971] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [30] 1718295482961854, 0.12497, 0.0835235, -0.184578, -0.31303, -0.998938, -0.0033829, -0.0024645, 0.0458743, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.963470] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [31] 1718295482963357, 0.126473, 0.0835235, -0.184578, -0.31303, -0.998938, -0.0033829, -0.0024645, 0.0458743, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.967563] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [33] 1718295482967435, 0.130551, 0.0835235, -0.184578, -0.31303, -0.998938, -0.0033829, -0.0024645, 0.0458743, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.969598] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [34] 1718295482969484, 0.1326, 0.0835281, -0.184573, -0.313029, -0.998937, -0.0033913, -0.00245454, 0.0459033, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.972632] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [35] 1718295482972517, 0.135633, 0.0835281, -0.184573, -0.313029, -0.998937, -0.0033913, -0.00245454, 0.0459033, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.975335] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [36] 1718295482975221, 0.138337, 0.0835281, -0.184573, -0.313029, -0.998937, -0.0033913, -0.00245454, 0.0459033, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.977988] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [38] 1718295482977870, 0.140986, 0.0835277, -0.184569, -0.313034, -0.998939, -0.00339537, -0.00245126, 0.0458639, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.982810] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [39] 1718295482982694, 0.14581, 0.0835277, -0.184569, -0.313034, -0.998939, -0.00339537, -0.00245126, 0.0458639, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.985413] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [40] 1718295482985244, 0.14836, 0.0835277, -0.184569, -0.313034, -0.998939, -0.00339537, -0.00245126, 0.0458639, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.988212] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [42] 1718295482988087, 0.151203, 0.0835277, -0.184569, -0.313034, -0.998939, -0.00339537, -0.00245126, 0.0458639, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.990719] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [43] 1718295482990596, 0.153712, 0.0835261, -0.184573, -0.31304, -0.998939, -0.00337802, -0.00247145, 0.0458659, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.993411] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [44] 1718295482993284, 0.1564, 0.0835261, -0.184573, -0.31304, -0.998939, -0.00337802, -0.00247145, 0.0458659, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:02.997600] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [46] 1718295482997476, 0.160592, 0.0835261, -0.184573, -0.31304, -0.998939, -0.00337802, -0.00247145, 0.0458659, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.000259] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [47] 1718295483000139, 0.163255, 0.0835139, -0.184571, -0.31304, -0.998939, -0.00338329, -0.00249055, 0.0458683, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.003047] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [48] 1718295483002929, 0.166045, 0.0835139, -0.184571, -0.31304, -0.998939, -0.00338329, -0.00249055, 0.0458683, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.005556] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [49] 1718295483005430, 0.168546, 0.0835139, -0.184571, -0.31304, -0.998939, -0.00338329, -0.00249055, 0.0458683, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.009254] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [51] 1718295483009138, 0.172254, 0.0835264, -0.184571, -0.313031, -0.998939, -0.00339862, -0.00247187, 0.0458668, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.010879] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [52] 1718295483010754, 0.17387, 0.0835264, -0.184571, -0.313031, -0.998939, -0.00339862, -0.00247187, 0.0458668, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.014195] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [53] 1718295483014081, 0.177197, 0.0835264, -0.184571, -0.313031, -0.998939, -0.00339862, -0.00247187, 0.0458668, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.017949] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [55] 1718295483017821, 0.180937, 0.0835264, -0.184571, -0.313031, -0.998939, -0.00339862, -0.00247187, 0.0458668, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.019550] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [56] 1718295483019429, 0.182545, 0.0835233, -0.184567, -0.313036, -0.998939, -0.00338867, -0.0024676, 0.0458692, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.022444] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [57] 1718295483022317, 0.185433, 0.0835233, -0.184567, -0.313036, -0.998939, -0.00338867, -0.0024676, 0.0458692, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.024930] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [58] 1718295483024801, 0.187917, 0.0835233, -0.184567, -0.313036, -0.998939, -0.00338867, -0.0024676, 0.0458692, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.030464] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [60] 1718295483030340, 0.193456, 0.0835233, -0.184567, -0.313036, -0.998939, -0.00338867, -0.0024676, 0.0458692, 0, 0, 0, 0, 0, 0, 
[2024-06-13 12:18:03.031775] [0x0000007f92ded9a0] [MocapTag] [0x00002ff1] [61] 1718295483031655, 0.194771, 0.0835257, -0.184574, -0.313038, -0.998939, -0.00337855, -0.00247497, 0.0458669, 0, 0, 0, 0, 0, 0, 
