[2024-06-21 10:38:07.336511] [0x0000007faff34010] [MocapTag] [0x000021f9] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-06-21 10:38:07.340812] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [3] 1718980687340627, 0.067411, 0.0124837, -0.231465, -0.316195, -0.999583, -0.000418202, 0.00237915, 0.0287632, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.345005] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [5] 1718980687344889, 0.071673, 0.0124837, -0.231465, -0.316195, -0.999583, -0.000418202, 0.00237915, 0.0287632, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.347858] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [7] 1718980687347732, 0.074516, 0.0124837, -0.231465, -0.316195, -0.999583, -0.000418202, 0.00237915, 0.0287632, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.350463] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [8] 1718980687350337, 0.077121, 0.0124817, -0.231466, -0.316198, -0.999584, -0.000413275, 0.00238448, 0.0287513, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.353265] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [9] 1718980687353135, 0.079919, 0.0124817, -0.231466, -0.316198, -0.999584, -0.000413275, 0.00238448, 0.0287513, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.355651] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [10] 1718980687355526, 0.08231, 0.0124817, -0.231466, -0.316198, -0.999584, -0.000413275, 0.00238448, 0.0287513, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.358413] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [12] 1718980687358283, 0.085067, 0.0124817, -0.231466, -0.316198, -0.999584, -0.000413275, 0.00238448, 0.0287513, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.361740] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [13] 1718980687361619, 0.088403, 0.0124846, -0.231467, -0.316202, -0.999584, -0.000424495, 0.00238933, 0.028753, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.364755] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [14] 1718980687364635, 0.091419, 0.0124846, -0.231467, -0.316202, -0.999584, -0.000424495, 0.00238933, 0.028753, 0, 0, 0, 0, 0, 0, 
[2024-06-21 10:38:07.367507] [0x0000007faa00d9a0] [MocapTag] [0x000021f9] [16] 1718980687367382, 0.094166, 0.0124846, -0.231467, -0.316202, -0.999584, -0.000424495, 0.00238933, 0.028753, 0, 0, 0, 0, 0, 0, 
