[2024-07-20 02:03:15.777755] [0x0000007f959c57c0] [MocapTag] [0x00002b2d] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-20 02:03:15.781993] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [3] 1721455395781800, 0.051809, 0.0976791, -0.244241, -0.305761, -0.999974, -0.00116568, 0.00215455, -0.00684121, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.785894] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [6] 1721455395785774, 0.055783, 0.0976789, -0.244241, -0.305758, -0.999974, -0.00118912, 0.00215277, -0.0068174, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.788843] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [7] 1721455395788729, 0.058738, 0.0976789, -0.244241, -0.305758, -0.999974, -0.00118912, 0.00215277, -0.0068174, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.791342] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [8] 1721455395791230, 0.061239, 0.0976789, -0.244241, -0.305758, -0.999974, -0.00118912, 0.00215277, -0.0068174, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.793830] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [10] 1721455395793741, 0.06375, 0.0976789, -0.244241, -0.305758, -0.999974, -0.00118912, 0.00215277, -0.0068174, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.796395] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [11] 1721455395796273, 0.066282, 0.0976852, -0.244244, -0.305766, -0.999974, -0.00118191, 0.00216714, -0.0068333, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.798981] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [12] 1721455395798866, 0.068875, 0.0976852, -0.244244, -0.305766, -0.999974, -0.00118191, 0.00216714, -0.0068333, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.802847] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [13] 1721455395802734, 0.072743, 0.0976852, -0.244244, -0.305766, -0.999974, -0.00118191, 0.00216714, -0.0068333, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.805450] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [15] 1721455395805328, 0.075337, 0.0976877, -0.244246, -0.30576, -0.999974, -0.00119369, 0.00217064, -0.00680858, 0, 0, 0, 0, 0, 0, 
[2024-07-20 02:03:15.808254] [0x0000007f9109d9a0] [MocapTag] [0x00002b2d] [16] 1721455395808130, 0.078139, 0.0976877, -0.244246, -0.30576, -0.999974, -0.00119369, 0.00217064, -0.00680858, 0, 0, 0, 0, 0, 0, 
