[2024-07-29 16:26:28.554047] [0x0000007f8791f7c0] [MocapTag] [0x000012e8] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 16:26:28.559069] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [4] 1722284788558932, 0.043358, 0.0760251, -0.187651, -0.303658, -0.999631, 0.000880307, 0.00413116, -0.0268226, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.559793] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [5] 1722284788559672, 0.044098, 0.0760055, -0.187641, -0.303634, -0.999631, 0.000872231, 0.00409108, -0.0268492, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.561935] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [6] 1722284788561819, 0.046245, 0.0760055, -0.187641, -0.303634, -0.999631, 0.000872231, 0.00409108, -0.0268492, 0, 0, 0.0023859, 0, 0, 0, 
[2024-07-29 16:26:28.563707] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [8] 1722284788563634, 0.04806, 0.0760055, -0.187641, -0.303634, -0.999631, 0.000872231, 0.00409108, -0.0268492, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.566480] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [9] 1722284788566368, 0.050794, 0.0760055, -0.187641, -0.303634, -0.999631, 0.000872231, 0.00409108, -0.0268492, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.568994] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [10] 1722284788568882, 0.053308, 0.0759965, -0.187619, -0.303582, -0.999631, 0.000835587, 0.00411529, -0.0268487, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.574538] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [12] 1722284788574423, 0.058849, 0.0759965, -0.187619, -0.303582, -0.999631, 0.000835587, 0.00411529, -0.0268487, 0, 0.00221799, 0.00520768, 0, 0, 0, 
[2024-07-29 16:26:28.576303] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [13] 1722284788576200, 0.060626, 0.0759965, -0.187619, -0.303582, -0.999631, 0.000835587, 0.00411529, -0.0268487, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.578940] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [14] 1722284788578824, 0.06325, 0.0759829, -0.187612, -0.303545, -0.99963, 0.000836559, 0.00407689, -0.0268691, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:26:28.581677] [0x0000007f76fe99a0] [MocapTag] [0x000012e8] [15] 1722284788581569, 0.065995, 0.0759829, -0.187612, -0.303545, -0.99963, 0.000836559, 0.00407689, -0.0268691, 0, 0, 0.00373925, 0, 0, 0, 
