[2024-07-29 16:33:24.185081] [0x0000007fbdb6f7c0] [MocapTag] [0x00001e6d] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 16:33:24.192286] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [5] 1722285204192169, 0.051125, 0.103927, -0.149413, -0.301904, -0.999978, 0.00188545, 0.00227609, 0.0059179, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.194743] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [6] 1722285204194626, 0.053582, 0.103926, -0.149421, -0.301899, -0.999978, 0.00185369, 0.00237391, 0.00599011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.197402] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [7] 1722285204197289, 0.056245, 0.103926, -0.149421, -0.301899, -0.999978, 0.00185369, 0.00237391, 0.00599011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.199990] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [8] 1722285204199880, 0.058836, 0.103926, -0.149421, -0.301899, -0.999978, 0.00185369, 0.00237391, 0.00599011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.202547] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [10] 1722285204202422, 0.061378, 0.103926, -0.149421, -0.301899, -0.999978, 0.00185369, 0.00237391, 0.00599011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.205150] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [11] 1722285204205036, 0.063992, 0.103923, -0.149418, -0.301886, -0.999978, 0.00191938, 0.0023939, 0.00594125, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.208442] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [12] 1722285204208332, 0.067288, 0.103923, -0.149418, -0.301886, -0.999978, 0.00191938, 0.0023939, 0.00594125, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.210976] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [13] 1722285204210863, 0.069819, 0.103923, -0.149418, -0.301886, -0.999978, 0.00191938, 0.0023939, 0.00594125, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.213751] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [15] 1722285204213629, 0.072585, 0.103923, -0.149418, -0.301886, -0.999978, 0.00191938, 0.0023939, 0.00594125, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.216098] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [16] 1722285204215985, 0.074941, 0.103929, -0.149414, -0.301914, -0.999978, 0.00179039, 0.00231002, 0.00595734, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.218901] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [17] 1722285204218777, 0.077733, 0.103929, -0.149414, -0.301914, -0.999978, 0.00179039, 0.00231002, 0.00595734, 0, 0, -0.00276404, 0, 0, 0, 
[2024-07-29 16:33:24.221498] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [18] 1722285204221409, 0.080365, 0.103929, -0.149414, -0.301914, -0.999978, 0.00179039, 0.00231002, 0.00595734, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.226152] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [20] 1722285204226038, 0.084994, 0.10393, -0.149429, -0.301915, -0.999978, 0.00183517, 0.00234095, 0.00601077, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.229783] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [21] 1722285204229664, 0.08862, 0.10393, -0.149429, -0.301915, -0.999978, 0.00183517, 0.00234095, 0.00601077, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:33:24.231532] [0x0000007fb92479a0] [MocapTag] [0x00001e6d] [22] 1722285204231441, 0.090397, 0.10393, -0.149429, -0.301915, -0.999978, 0.00183517, 0.00234095, 0.00601077, 0, 0, 0, 0, 0, 0, 
