[2024-07-29 16:38:17.521588] [0x0000007f8657f7c0] [MocapTag] [0x0000262e] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 16:38:17.527343] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [4] 1722285497527163, 0.049248, 0.0813901, -0.141109, -0.303163, -0.999971, -0.000455641, -0.00237143, -0.00720107, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.531349] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [6] 1722285497531232, 0.053317, 0.0813901, -0.141109, -0.303163, -0.999971, -0.000455641, -0.00237143, -0.00720107, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.533813] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [7] 1722285497533690, 0.055775, 0.0813913, -0.14111, -0.303164, -0.999971, -0.000460914, -0.00238864, -0.00721001, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.536531] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [8] 1722285497536407, 0.058492, 0.0813913, -0.14111, -0.303164, -0.999971, -0.000460914, -0.00238864, -0.00721001, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.539123] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [10] 1722285497539007, 0.061092, 0.0813913, -0.14111, -0.303164, -0.999971, -0.000460914, -0.00238864, -0.00721001, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.541619] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [11] 1722285497541507, 0.063592, 0.0813913, -0.14111, -0.303164, -0.999971, -0.000460914, -0.00238864, -0.00721001, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.544185] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [12] 1722285497544072, 0.066157, 0.0813922, -0.141109, -0.30317, -0.999971, -0.000476105, -0.00237554, -0.00719358, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.547144] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [13] 1722285497547035, 0.06912, 0.0813922, -0.141109, -0.30317, -0.999971, -0.000476105, -0.00237554, -0.00719358, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.549816] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [15] 1722285497549691, 0.071776, 0.0813922, -0.141109, -0.30317, -0.999971, -0.000476105, -0.00237554, -0.00719358, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.553023] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [16] 1722285497552911, 0.074996, 0.0813889, -0.141113, -0.303166, -0.999971, -0.000469941, -0.00235515, -0.00718877, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.555258] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [17] 1722285497555144, 0.077229, 0.0813889, -0.141113, -0.303166, -0.999971, -0.000469941, -0.00235515, -0.00718877, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.557766] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [19] 1722285497557692, 0.079777, 0.0813889, -0.141113, -0.303166, -0.999971, -0.000469941, -0.00235515, -0.00718877, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.562417] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [20] 1722285497562302, 0.084387, 0.0813889, -0.141113, -0.303166, -0.999971, -0.000469941, -0.00235515, -0.00718877, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.565190] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [21] 1722285497565078, 0.087163, 0.0813933, -0.141109, -0.303163, -0.999971, -0.00047609, -0.00237056, -0.00721464, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.568119] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [23] 1722285497568058, 0.090143, 0.0813933, -0.141109, -0.303163, -0.999971, -0.00047609, -0.00237056, -0.00721464, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.570940] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [24] 1722285497570824, 0.092909, 0.0813933, -0.141109, -0.303163, -0.999971, -0.00047609, -0.00237056, -0.00721464, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.573394] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [25] 1722285497573241, 0.095326, 0.0813918, -0.141119, -0.30317, -0.999971, -0.000452541, -0.00237329, -0.00719383, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.578550] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [27] 1722285497578451, 0.100536, 0.0813918, -0.141119, -0.30317, -0.999971, -0.000452541, -0.00237329, -0.00719383, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.581418] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [28] 1722285497581303, 0.103388, 0.0813918, -0.141119, -0.30317, -0.999971, -0.000452541, -0.00237329, -0.00719383, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.584069] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [29] 1722285497583956, 0.106041, 0.0813916, -0.141111, -0.30316, -0.999971, -0.000463801, -0.00236195, -0.00720569, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.586912] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [30] 1722285497586802, 0.108887, 0.0813916, -0.141111, -0.30316, -0.999971, -0.000463801, -0.00236195, -0.00720569, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.589477] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [32] 1722285497589354, 0.111439, 0.0813916, -0.141111, -0.30316, -0.999971, -0.000463801, -0.00236195, -0.00720569, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.592799] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [33] 1722285497592685, 0.11477, 0.0813892, -0.141108, -0.303162, -0.999971, -0.000461397, -0.00237488, -0.0072005, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.595628] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [34] 1722285497595518, 0.117603, 0.0813892, -0.141108, -0.303162, -0.999971, -0.000461397, -0.00237488, -0.0072005, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.598410] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [36] 1722285497598308, 0.120393, 0.0813892, -0.141108, -0.303162, -0.999971, -0.000461397, -0.00237488, -0.0072005, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.601178] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [37] 1722285497601064, 0.123149, 0.0813892, -0.141108, -0.303162, -0.999971, -0.000461397, -0.00237488, -0.0072005, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.603902] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [38] 1722285497603788, 0.125873, 0.0813898, -0.141111, -0.303161, -0.999971, -0.000462648, -0.00238934, -0.00722011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.606504] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [39] 1722285497606396, 0.128481, 0.0813898, -0.141111, -0.303161, -0.999971, -0.000462648, -0.00238934, -0.00722011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.611184] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [41] 1722285497611071, 0.133156, 0.0813898, -0.141111, -0.303161, -0.999971, -0.000462648, -0.00238934, -0.00722011, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.613769] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [42] 1722285497613652, 0.135737, 0.081389, -0.14111, -0.303167, -0.999971, -0.000485591, -0.00239403, -0.00721687, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.616362] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [43] 1722285497616257, 0.138342, 0.081389, -0.14111, -0.303167, -0.999971, -0.000485591, -0.00239403, -0.00721687, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.618967] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [45] 1722285497618844, 0.140929, 0.081389, -0.14111, -0.303167, -0.999971, -0.000485591, -0.00239403, -0.00721687, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.621570] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [46] 1722285497621455, 0.14354, 0.081389, -0.14111, -0.303167, -0.999971, -0.000485591, -0.00239403, -0.00721687, 0, 0, 0, 0, 0, 0, 
[2024-07-29 16:38:17.624167] [0x0000007f7dffa9a0] [MocapTag] [0x0000262e] [47] 1722285497624052, 0.146137, 0.0813906, -0.141108, -0.303159, -0.999971, -0.000454495, -0.00236487, -0.00721014, 0, 0, 0, 0, 0, 0, 
