[2024-07-29 17:45:59.163113] [0x0000007faf9c07c0] [MocapTag] [0x00008ceb] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 17:45:59.166143] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [3] 1722289559165955, 0.045158, 0.0674972, -0.212227, -0.307311, -0.99996, 0.00473111, -0.00619512, 0.00446197, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.170522] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [5] 1722289559170402, 0.049605, 0.0674972, -0.212227, -0.307311, -0.99996, 0.00473111, -0.00619512, 0.00446197, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.173294] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [7] 1722289559173174, 0.052377, 0.0675011, -0.212226, -0.307316, -0.99996, 0.00472094, -0.00619375, 0.00447633, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.176105] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [8] 1722289559175989, 0.055192, 0.0675011, -0.212226, -0.307316, -0.99996, 0.00472094, -0.00619375, 0.00447633, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.179438] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [9] 1722289559179321, 0.058524, 0.0675011, -0.212226, -0.307316, -0.99996, 0.00472094, -0.00619375, 0.00447633, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.181321] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [10] 1722289559181197, 0.0604, 0.0675011, -0.212226, -0.307316, -0.99996, 0.00472094, -0.00619375, 0.00447633, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.184044] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [12] 1722289559183931, 0.063134, 0.0675004, -0.212228, -0.307312, -0.99996, 0.00471735, -0.00619957, 0.00448289, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.186933] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [13] 1722289559186820, 0.066023, 0.0675004, -0.212228, -0.307312, -0.99996, 0.00471735, -0.00619957, 0.00448289, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.189509] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [14] 1722289559189408, 0.068611, 0.0675004, -0.212228, -0.307312, -0.99996, 0.00471735, -0.00619957, 0.00448289, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:45:59.192257] [0x0000007f96ffc9a0] [MocapTag] [0x00008ceb] [15] 1722289559192167, 0.07137, 0.0675009, -0.212227, -0.307312, -0.99996, 0.0047365, -0.00619622, 0.00447233, 0, 0, 0, 0, 0, 0, 
