[2024-07-29 17:55:19.552336] [0x0000007fa7ad47c0] [MocapTag] [0x00000b98] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 17:55:19.557351] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [4] 1722290119557207, 0.065906, 0.0556184, -0.22203, -0.306899, -0.999961, 0.00480046, -0.00506824, 0.00539085, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.559972] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [6] 1722290119559869, 0.068568, 0.0556184, -0.22203, -0.306899, -0.999961, 0.00480046, -0.00506824, 0.00539085, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.562478] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [7] 1722290119562364, 0.071063, 0.0556235, -0.22203, -0.306893, -0.999961, 0.00479223, -0.00505436, 0.00539376, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.566380] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [8] 1722290119566236, 0.074935, 0.0556235, -0.22203, -0.306893, -0.999961, 0.00479223, -0.00505436, 0.00539376, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.569509] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [10] 1722290119569394, 0.078093, 0.0556235, -0.22203, -0.306893, -0.999961, 0.00479223, -0.00505436, 0.00539376, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.572059] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [11] 1722290119571944, 0.080643, 0.0556227, -0.22203, -0.306892, -0.999961, 0.00480456, -0.00506499, 0.00538665, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.575026] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [12] 1722290119574918, 0.083617, 0.0556227, -0.22203, -0.306892, -0.999961, 0.00480456, -0.00506499, 0.00538665, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.577653] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [13] 1722290119577566, 0.086265, 0.0556227, -0.22203, -0.306892, -0.999961, 0.00480456, -0.00506499, 0.00538665, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.581577] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [15] 1722290119581462, 0.090161, 0.0556193, -0.222027, -0.306892, -0.999961, 0.00480379, -0.00507189, 0.00537821, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.584577] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [16] 1722290119584463, 0.093162, 0.0556193, -0.222027, -0.306892, -0.999961, 0.00480379, -0.00507189, 0.00537821, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.588163] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [17] 1722290119588073, 0.096772, 0.0556193, -0.222027, -0.306892, -0.999961, 0.00480379, -0.00507189, 0.00537821, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.589851] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [19] 1722290119589738, 0.098437, 0.0556193, -0.222027, -0.306892, -0.999961, 0.00480379, -0.00507189, 0.00537821, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.592433] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [20] 1722290119592319, 0.101018, 0.055619, -0.222032, -0.30689, -0.999961, 0.00480363, -0.00505657, 0.00539538, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.596777] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [21] 1722290119596668, 0.105367, 0.055619, -0.222032, -0.30689, -0.999961, 0.00480363, -0.00505657, 0.00539538, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.599502] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [23] 1722290119599386, 0.108085, 0.055619, -0.222032, -0.30689, -0.999961, 0.00480363, -0.00505657, 0.00539538, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.602090] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [24] 1722290119601978, 0.110677, 0.0556152, -0.222028, -0.306893, -0.999961, 0.00478946, -0.00506946, 0.00537707, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.604768] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [25] 1722290119604660, 0.113359, 0.0556152, -0.222028, -0.306893, -0.999961, 0.00478946, -0.00506946, 0.00537707, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.607294] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [26] 1722290119607178, 0.115877, 0.0556152, -0.222028, -0.306893, -0.999961, 0.00478946, -0.00506946, 0.00537707, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.611582] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [28] 1722290119611468, 0.120167, 0.0556169, -0.22203, -0.306894, -0.999961, 0.00479689, -0.00506303, 0.0053873, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.614310] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [29] 1722290119614190, 0.122889, 0.0556169, -0.22203, -0.306894, -0.999961, 0.00479689, -0.00506303, 0.0053873, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.616935] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [30] 1722290119616825, 0.125524, 0.0556169, -0.22203, -0.306894, -0.999961, 0.00479689, -0.00506303, 0.0053873, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.619597] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [32] 1722290119619475, 0.128174, 0.0556169, -0.22203, -0.306894, -0.999961, 0.00479689, -0.00506303, 0.0053873, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.622212] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [33] 1722290119622099, 0.130798, 0.0556179, -0.222034, -0.306897, -0.999961, 0.00479468, -0.00506358, 0.00539161, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.626454] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [34] 1722290119626308, 0.135007, 0.0556179, -0.222034, -0.306897, -0.999961, 0.00479468, -0.00506358, 0.00539161, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.629309] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [36] 1722290119629195, 0.137894, 0.0556179, -0.222034, -0.306897, -0.999961, 0.00479468, -0.00506358, 0.00539161, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.631632] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [37] 1722290119631523, 0.140222, 0.0556144, -0.222035, -0.306898, -0.999961, 0.00480943, -0.00506269, 0.00539095, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.634533] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [38] 1722290119634421, 0.14312, 0.0556144, -0.222035, -0.306898, -0.999961, 0.00480943, -0.00506269, 0.00539095, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.637133] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [39] 1722290119637025, 0.145724, 0.0556144, -0.222035, -0.306898, -0.999961, 0.00480943, -0.00506269, 0.00539095, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.639758] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [41] 1722290119639602, 0.148301, 0.0556144, -0.222035, -0.306898, -0.999961, 0.00480943, -0.00506269, 0.00539095, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.643522] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [42] 1722290119643407, 0.152106, 0.0556143, -0.222035, -0.306906, -0.999961, 0.00479677, -0.00507156, 0.00538791, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.646175] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [43] 1722290119646061, 0.15476, 0.0556143, -0.222035, -0.306906, -0.999961, 0.00479677, -0.00507156, 0.00538791, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.650688] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [45] 1722290119650574, 0.159273, 0.0556143, -0.222035, -0.306906, -0.999961, 0.00479677, -0.00507156, 0.00538791, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:55:19.651495] [0x0000007f8effc9a0] [MocapTag] [0x00000b98] [46] 1722290119651397, 0.160096, 0.0556141, -0.222029, -0.3069, -0.999961, 0.00480064, -0.00507427, 0.00539305, 0, 0, 0, 0, 0, 0, 
