[2024-07-29 17:59:31.049191] [0x0000007fbd68f7c0] [MocapTag] [0x0000129a] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-29 17:59:31.053863] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [4] 1722290371053767, 0.052366, 0.0716734, -0.204324, -0.307036, -0.999936, 0.00446555, -0.00485454, -0.0092187, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.058020] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [6] 1722290371057900, 0.056499, 0.0716731, -0.204325, -0.307029, -0.999936, 0.00445872, -0.00484477, -0.00922541, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.061998] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [7] 1722290371061879, 0.060478, 0.0716731, -0.204325, -0.307029, -0.999936, 0.00445872, -0.00484477, -0.00922541, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.063511] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [8] 1722290371063399, 0.061998, 0.0716731, -0.204325, -0.307029, -0.999936, 0.00445872, -0.00484477, -0.00922541, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.065902] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [10] 1722290371065775, 0.064374, 0.0716741, -0.204326, -0.307029, -0.999936, 0.00445269, -0.00484194, -0.00922499, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.068607] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [11] 1722290371068496, 0.067095, 0.0716741, -0.204326, -0.307029, -0.999936, 0.00445269, -0.00484194, -0.00922499, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.071239] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [12] 1722290371071129, 0.069728, 0.0716741, -0.204326, -0.307029, -0.999936, 0.00445269, -0.00484194, -0.00922499, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.074307] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [13] 1722290371074198, 0.072797, 0.0716741, -0.204326, -0.307029, -0.999936, 0.00445269, -0.00484194, -0.00922499, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.076950] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [15] 1722290371076835, 0.075434, 0.0716714, -0.204321, -0.307029, -0.999936, 0.004463, -0.00484355, -0.00923241, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.079707] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [16] 1722290371079560, 0.078159, 0.0716714, -0.204321, -0.307029, -0.999936, 0.004463, -0.00484355, -0.00923241, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.082337] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [17] 1722290371082216, 0.080815, 0.0716714, -0.204321, -0.307029, -0.999936, 0.004463, -0.00484355, -0.00923241, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.084912] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [19] 1722290371084854, 0.083453, 0.0716714, -0.204321, -0.307029, -0.999936, 0.004463, -0.00484355, -0.00923241, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.087519] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [20] 1722290371087379, 0.085978, 0.0716746, -0.204329, -0.307026, -0.999936, 0.00446857, -0.00484117, -0.00922639, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.090973] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [21] 1722290371090859, 0.089458, 0.0716746, -0.204329, -0.307026, -0.999936, 0.00446857, -0.00484117, -0.00922639, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.093785] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [22] 1722290371093677, 0.092276, 0.0716746, -0.204329, -0.307026, -0.999936, 0.00446857, -0.00484117, -0.00922639, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.096572] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [24] 1722290371096459, 0.095058, 0.0716658, -0.204331, -0.307026, -0.999936, 0.00447348, -0.00485468, -0.00922232, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.099162] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [25] 1722290371099054, 0.097653, 0.0716658, -0.204331, -0.307026, -0.999936, 0.00447348, -0.00485468, -0.00922232, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.101724] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [26] 1722290371101596, 0.100195, 0.0716658, -0.204331, -0.307026, -0.999936, 0.00447348, -0.00485468, -0.00922232, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.106502] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [28] 1722290371106387, 0.104986, 0.0716658, -0.204331, -0.307026, -0.999936, 0.00447348, -0.00485468, -0.00922232, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.109604] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [29] 1722290371109491, 0.10809, 0.0716716, -0.20433, -0.307027, -0.999936, 0.00447199, -0.00485646, -0.00921972, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.112423] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [30] 1722290371112314, 0.110913, 0.0716716, -0.20433, -0.307027, -0.999936, 0.00447199, -0.00485646, -0.00921972, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.115741] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [32] 1722290371115625, 0.114224, 0.0716716, -0.20433, -0.307027, -0.999936, 0.00447199, -0.00485646, -0.00921972, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.117702] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [33] 1722290371117587, 0.116186, 0.0716713, -0.204332, -0.307033, -0.999936, 0.00446698, -0.00486083, -0.00921736, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.122239] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [34] 1722290371122129, 0.120728, 0.0716713, -0.204332, -0.307033, -0.999936, 0.00446698, -0.00486083, -0.00921736, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.125043] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [35] 1722290371124956, 0.123555, 0.0716713, -0.204332, -0.307033, -0.999936, 0.00446698, -0.00486083, -0.00921736, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.128003] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [37] 1722290371127878, 0.126477, 0.0716731, -0.204334, -0.307031, -0.999936, 0.00447469, -0.00485619, -0.0092124, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.130213] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [38] 1722290371130100, 0.128699, 0.0716731, -0.204334, -0.307031, -0.999936, 0.00447469, -0.00485619, -0.0092124, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.132900] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [39] 1722290371132793, 0.131392, 0.0716731, -0.204334, -0.307031, -0.999936, 0.00447469, -0.00485619, -0.0092124, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.135540] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [41] 1722290371135428, 0.134027, 0.0716731, -0.204334, -0.307031, -0.999936, 0.00447469, -0.00485619, -0.0092124, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.139868] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [42] 1722290371139754, 0.138353, 0.0716713, -0.204333, -0.307036, -0.999936, 0.00446803, -0.00486516, -0.00922223, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.142656] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [43] 1722290371142549, 0.141148, 0.0716713, -0.204333, -0.307036, -0.999936, 0.00446803, -0.00486516, -0.00922223, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.146173] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [45] 1722290371146053, 0.144652, 0.0716713, -0.204333, -0.307036, -0.999936, 0.00446803, -0.00486516, -0.00922223, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.147944] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [46] 1722290371147833, 0.146432, 0.0716731, -0.20433, -0.30704, -0.999936, 0.00445378, -0.00486263, -0.00921994, 0, 0, 0, 0, 0, 0, 
[2024-07-29 17:59:31.150730] [0x0000007fb8d679a0] [MocapTag] [0x0000129a] [47] 1722290371150616, 0.149215, 0.0716731, -0.20433, -0.30704, -0.999936, 0.00445378, -0.00486263, -0.00921994, 0, 0, 0, 0, 0, 0, 
