[2025-01-13 17:15:04.932588] [0x0000007fa83317c0] [MocapTag] [0x000014bf] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-01-13 17:15:04.937232] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [4] 1736806504937134, 0.052293, 0.0777016, -0.272678, -0.306686, -0.999603, 0.00513682, -0.000465153, -0.0277053, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.939597] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [5] 1736806504939440, 0.054599, 0.0777016, -0.272678, -0.306686, -0.999603, 0.00513682, -0.000465153, -0.0277053, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.942049] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [6] 1736806504941961, 0.05712, 0.0777055, -0.272667, -0.306693, -0.999602, 0.00514106, -0.000406733, -0.0277498, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.945542] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [8] 1736806504945430, 0.060589, 0.0777055, -0.272667, -0.306693, -0.999602, 0.00514106, -0.000406733, -0.0277498, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.948909] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [9] 1736806504948800, 0.063959, 0.0777055, -0.272667, -0.306693, -0.999602, 0.00514106, -0.000406733, -0.0277498, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.950840] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [10] 1736806504950734, 0.065893, 0.0777033, -0.272671, -0.3067, -0.999602, 0.00511431, -0.000427571, -0.0277286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.953935] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [12] 1736806504953817, 0.068976, 0.0777033, -0.272671, -0.3067, -0.999602, 0.00511431, -0.000427571, -0.0277286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.956271] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [13] 1736806504956121, 0.07128, 0.0777033, -0.272671, -0.3067, -0.999602, 0.00511431, -0.000427571, -0.0277286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.960675] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [14] 1736806504960550, 0.075709, 0.0777033, -0.272671, -0.3067, -0.999602, 0.00511431, -0.000427571, -0.0277286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.963358] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [16] 1736806504963241, 0.0784, 0.0777045, -0.272672, -0.306706, -0.999601, 0.00513935, -0.000380828, -0.0277715, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.966054] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [17] 1736806504965929, 0.081088, 0.0777045, -0.272672, -0.306706, -0.999601, 0.00513935, -0.000380828, -0.0277715, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.968897] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [18] 1736806504968787, 0.083946, 0.0777045, -0.272672, -0.306706, -0.999601, 0.00513935, -0.000380828, -0.0277715, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.971481] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [19] 1736806504971378, 0.086537, 0.0777058, -0.272672, -0.306715, -0.999601, 0.00512801, -0.000393097, -0.0277616, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.974318] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [21] 1736806504974204, 0.089363, 0.0777058, -0.272672, -0.306715, -0.999601, 0.00512801, -0.000393097, -0.0277616, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.977128] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [22] 1736806504977017, 0.092176, 0.0777058, -0.272672, -0.306715, -0.999601, 0.00512801, -0.000393097, -0.0277616, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.979810] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [23] 1736806504979697, 0.094856, 0.0777058, -0.272672, -0.306715, -0.999601, 0.00512801, -0.000393097, -0.0277616, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.982570] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [24] 1736806504982481, 0.09764, 0.0777055, -0.272679, -0.306718, -0.999602, 0.00511937, -0.000411745, -0.0277376, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.985176] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [26] 1736806504985061, 0.10022, 0.0777055, -0.272679, -0.306718, -0.999602, 0.00511937, -0.000411745, -0.0277376, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.987752] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [27] 1736806504987643, 0.102802, 0.0777055, -0.272679, -0.306718, -0.999602, 0.00511937, -0.000411745, -0.0277376, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.990422] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [28] 1736806504990298, 0.105457, 0.0777105, -0.272695, -0.306726, -0.999602, 0.0051795, -0.000406321, -0.0277421, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.993675] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [30] 1736806504993565, 0.108724, 0.0777105, -0.272695, -0.306726, -0.999602, 0.0051795, -0.000406321, -0.0277421, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.996160] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [31] 1736806504996051, 0.11121, 0.0777105, -0.272695, -0.306726, -0.999602, 0.0051795, -0.000406321, -0.0277421, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:04.998715] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [32] 1736806504998610, 0.113769, 0.0777105, -0.272695, -0.306726, -0.999602, 0.0051795, -0.000406321, -0.0277421, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.001393] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [33] 1736806505001268, 0.116427, 0.0777169, -0.272691, -0.306734, -0.999602, 0.00515865, -0.000440198, -0.0277191, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.004569] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [35] 1736806505004455, 0.119614, 0.0777169, -0.272691, -0.306734, -0.999602, 0.00515865, -0.000440198, -0.0277191, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.009580] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [36] 1736806505009421, 0.12458, 0.0777169, -0.272691, -0.306734, -0.999602, 0.00515865, -0.000440198, -0.0277191, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.011218] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [37] 1736806505011111, 0.12627, 0.0777366, -0.272689, -0.306737, -0.999602, 0.00512758, -0.000409814, -0.0277315, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.014141] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [39] 1736806505014022, 0.129181, 0.0777366, -0.272689, -0.306737, -0.999602, 0.00512758, -0.000409814, -0.0277315, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.016656] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [40] 1736806505016551, 0.13171, 0.0777366, -0.272689, -0.306737, -0.999602, 0.00512758, -0.000409814, -0.0277315, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.019205] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [41] 1736806505019101, 0.13426, 0.0777366, -0.272689, -0.306737, -0.999602, 0.00512758, -0.000409814, -0.0277315, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.021704] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [42] 1736806505021598, 0.136757, 0.0777387, -0.272686, -0.306735, -0.999602, 0.00513038, -0.000380512, -0.0277451, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.024729] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [44] 1736806505024617, 0.139776, 0.0777387, -0.272686, -0.306735, -0.999602, 0.00513038, -0.000380512, -0.0277451, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.027248] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [45] 1736806505027140, 0.142299, 0.0777387, -0.272686, -0.306735, -0.999602, 0.00513038, -0.000380512, -0.0277451, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.029926] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [46] 1736806505029815, 0.144974, 0.0777076, -0.272691, -0.306742, -0.999603, 0.00513583, -0.000507485, -0.0276878, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.032601] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [47] 1736806505032516, 0.147675, 0.0777076, -0.272691, -0.306742, -0.999603, 0.00513583, -0.000507485, -0.0276878, -0.00310299, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.035268] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [49] 1736806505035158, 0.150317, 0.0777076, -0.272691, -0.306742, -0.999603, 0.00513583, -0.000507485, -0.0276878, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.039489] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [50] 1736806505039377, 0.154536, 0.0777076, -0.272691, -0.306742, -0.999603, 0.00513583, -0.000507485, -0.0276878, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.041956] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [51] 1736806505041844, 0.157003, 0.0777021, -0.272692, -0.306724, -0.999604, 0.00514887, -0.000508674, -0.0276767, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.044944] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [53] 1736806505044829, 0.159988, 0.0777021, -0.272692, -0.306724, -0.999604, 0.00514887, -0.000508674, -0.0276767, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.047350] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [54] 1736806505047245, 0.162404, 0.0777021, -0.272692, -0.306724, -0.999604, 0.00514887, -0.000508674, -0.0276767, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.050066] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [55] 1736806505049963, 0.165122, 0.0777074, -0.27268, -0.306721, -0.999601, 0.00514129, -0.000431862, -0.0277565, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.052944] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [56] 1736806505052820, 0.167979, 0.0777074, -0.27268, -0.306721, -0.999601, 0.00514129, -0.000431862, -0.0277565, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.056318] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [58] 1736806505056202, 0.171361, 0.0777074, -0.27268, -0.306721, -0.999601, 0.00514129, -0.000431862, -0.0277565, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.059031] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [59] 1736806505058920, 0.174079, 0.0777074, -0.27268, -0.306721, -0.999601, 0.00514129, -0.000431862, -0.0277565, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.061457] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [60] 1736806505061352, 0.176511, 0.0777149, -0.272652, -0.30671, -0.999597, 0.00511923, -0.000366694, -0.0279121, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.064291] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [62] 1736806505064178, 0.179337, 0.0777149, -0.272652, -0.30671, -0.999597, 0.00511923, -0.000366694, -0.0279121, 0, 0.00280662, 0, 0, 0, 0, 
[2025-01-13 17:15:05.066886] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [63] 1736806505066775, 0.181934, 0.0777149, -0.272652, -0.30671, -0.999597, 0.00511923, -0.000366694, -0.0279121, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.069319] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [64] 1736806505069217, 0.184376, 0.0777149, -0.272652, -0.30671, -0.999597, 0.00511923, -0.000366694, -0.0279121, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.072904] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [66] 1736806505072787, 0.187946, 0.0777138, -0.272665, -0.306719, -0.999598, 0.00511424, -0.000353252, -0.0278825, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.075834] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [67] 1736806505075721, 0.19088, 0.0777138, -0.272665, -0.306719, -0.999598, 0.00511424, -0.000353252, -0.0278825, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.078641] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [68] 1736806505078525, 0.193684, 0.0777138, -0.272665, -0.306719, -0.999598, 0.00511424, -0.000353252, -0.0278825, 0, 0, 0, 0, 0, 0, 
[2025-01-13 17:15:05.081258] [0x0000007f8f7fd9a0] [MocapTag] [0x000014bf] [69] 1736806505081148, 0.196307, 0.0762992, -0.272992, -0.308154, -0.99963, 0.00786887, -0.0248354, -0.00784603, 0, 0, 0, 0, 0, 0, 
