[2025-01-13 18:42:44.942925] [0x0000007f83d0e7c0] [MocapTag] [0x0000332d] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-01-13 18:42:44.945717] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [3] 1736811764945532, 0.057736, 0.103874, -0.258303, -0.309461, -0.99885, 0.0110755, -0.040411, 0.0232863, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.948271] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [5] 1736811764948143, 0.060347, 0.103874, -0.258303, -0.309461, -0.99885, 0.0110755, -0.040411, 0.0232863, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.950335] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [7] 1736811764950276, 0.06248, 0.103853, -0.258294, -0.309472, -0.998833, 0.01106, -0.0406771, 0.0235749, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.953065] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [8] 1736811764952947, 0.065151, 0.103853, -0.258294, -0.309472, -0.998833, 0.01106, -0.0406771, 0.0235749, -0.00211345, 0, 0, 0, -0.0537723, 0.057565, 
[2025-01-13 18:42:44.956015] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [9] 1736811764955902, 0.068106, 0.103853, -0.258294, -0.309472, -0.998833, 0.01106, -0.0406771, 0.0235749, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.958856] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [10] 1736811764958750, 0.070954, 0.103853, -0.258294, -0.309472, -0.998833, 0.01106, -0.0406771, 0.0235749, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.961735] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [12] 1736811764961621, 0.073825, 0.103844, -0.258329, -0.309523, -0.998853, 0.0111507, -0.0403865, 0.0231705, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.964470] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [13] 1736811764964355, 0.076559, 0.103844, -0.258329, -0.309523, -0.998853, 0.0111507, -0.0403865, 0.0231705, 0, -0.00352237, -0.00503359, 0, 0.0585549, -0.0813682, 
[2025-01-13 18:42:44.967130] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [14] 1736811764967017, 0.079221, 0.103844, -0.258329, -0.309523, -0.998853, 0.0111507, -0.0403865, 0.0231705, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.971713] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [16] 1736811764971594, 0.083798, 0.103844, -0.258329, -0.309523, -0.998853, 0.0111507, -0.0403865, 0.0231705, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.974134] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [17] 1736811764974021, 0.086225, 0.103848, -0.258309, -0.309492, -0.998855, 0.0111087, -0.0403714, 0.023138, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.976888] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [18] 1736811764976764, 0.088968, 0.103848, -0.258309, -0.309492, -0.998855, 0.0111087, -0.0403714, 0.023138, 0, 0.00200351, 0.00310552, 0, 0, 0, 
[2025-01-13 18:42:44.979493] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [19] 1736811764979406, 0.09161, 0.103848, -0.258309, -0.309492, -0.998855, 0.0111087, -0.0403714, 0.023138, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.982070] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [21] 1736811764981952, 0.094156, 0.103865, -0.258314, -0.309491, -0.99885, 0.0110968, -0.0404151, 0.0232824, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.984602] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [22] 1736811764984496, 0.0967, 0.103865, -0.258314, -0.309491, -0.99885, 0.0110968, -0.0404151, 0.0232824, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.987587] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [23] 1736811764987467, 0.099671, 0.103865, -0.258314, -0.309491, -0.99885, 0.0110968, -0.0404151, 0.0232824, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.990280] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [25] 1736811764990210, 0.102414, 0.103861, -0.258313, -0.309477, -0.99885, 0.0111012, -0.0404144, 0.023286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.992956] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [26] 1736811764992840, 0.105044, 0.103861, -0.258313, -0.309477, -0.99885, 0.0111012, -0.0404144, 0.023286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.995896] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [27] 1736811764995784, 0.107988, 0.103861, -0.258313, -0.309477, -0.99885, 0.0111012, -0.0404144, 0.023286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:44.998267] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [28] 1736811764998155, 0.110359, 0.103861, -0.258313, -0.309477, -0.99885, 0.0111012, -0.0404144, 0.023286, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.001001] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [30] 1736811765000882, 0.113086, 0.103877, -0.258313, -0.309475, -0.998848, 0.011099, -0.0404199, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.003998] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [31] 1736811765003888, 0.116092, 0.103877, -0.258313, -0.309475, -0.998848, 0.011099, -0.0404199, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.006532] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [32] 1736811765006420, 0.118624, 0.103877, -0.258313, -0.309475, -0.998848, 0.011099, -0.0404199, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.009396] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [33] 1736811765009283, 0.121487, 0.103877, -0.258313, -0.309475, -0.998848, 0.011099, -0.0404199, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.011999] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [35] 1736811765011831, 0.124035, 0.1039, -0.258296, -0.309463, -0.998847, 0.0110489, -0.0404159, 0.0234371, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.014565] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [36] 1736811765014451, 0.126655, 0.1039, -0.258296, -0.309463, -0.998847, 0.0110489, -0.0404159, 0.0234371, 0.00225665, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.017051] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [37] 1736811765016937, 0.129141, 0.1039, -0.258296, -0.309463, -0.998847, 0.0110489, -0.0404159, 0.0234371, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.021509] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [39] 1736811765021390, 0.133594, 0.103892, -0.258277, -0.309447, -0.998846, 0.0110024, -0.0404598, 0.0234434, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.024111] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [40] 1736811765024001, 0.136205, 0.103892, -0.258277, -0.309447, -0.998846, 0.0110024, -0.0404598, 0.0234434, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.026810] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [41] 1736811765026695, 0.138899, 0.103892, -0.258277, -0.309447, -0.998846, 0.0110024, -0.0404598, 0.0234434, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.029369] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [42] 1736811765029256, 0.14146, 0.103892, -0.258277, -0.309447, -0.998846, 0.0110024, -0.0404598, 0.0234434, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.031905] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [44] 1736811765031791, 0.143995, 0.103907, -0.258277, -0.309467, -0.99885, 0.0110206, -0.0403776, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.036130] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [45] 1736811765035976, 0.14818, 0.103907, -0.258277, -0.309467, -0.99885, 0.0110206, -0.0403776, 0.0233741, 0, 0, -0.0020255, 0, 0, 0, 
[2025-01-13 18:42:45.038075] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [46] 1736811765037968, 0.150172, 0.103907, -0.258277, -0.309467, -0.99885, 0.0110206, -0.0403776, 0.0233741, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.040783] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [48] 1736811765040674, 0.152878, 0.10391, -0.258264, -0.309466, -0.998854, 0.0110186, -0.0403101, 0.0233222, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.043488] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [49] 1736811765043376, 0.15558, 0.10391, -0.258264, -0.309466, -0.998854, 0.0110186, -0.0403101, 0.0233222, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.045855] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [50] 1736811765045747, 0.157951, 0.10391, -0.258264, -0.309466, -0.998854, 0.0110186, -0.0403101, 0.0233222, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.048497] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [51] 1736811765048386, 0.16059, 0.10391, -0.258264, -0.309466, -0.998854, 0.0110186, -0.0403101, 0.0233222, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.051725] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [53] 1736811765051607, 0.163811, 0.103922, -0.258259, -0.309473, -0.998852, 0.011017, -0.0403268, 0.0233879, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.054355] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [54] 1736811765054245, 0.166449, 0.103922, -0.258259, -0.309473, -0.998852, 0.011017, -0.0403268, 0.0233879, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.056917] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [55] 1736811765056804, 0.169008, 0.103922, -0.258259, -0.309473, -0.998852, 0.011017, -0.0403268, 0.0233879, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.059613] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [56] 1736811765059522, 0.171726, 0.103922, -0.258259, -0.309473, -0.998852, 0.011017, -0.0403268, 0.0233879, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.062213] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [58] 1736811765062100, 0.174304, 0.103925, -0.258254, -0.309472, -0.998854, 0.0109808, -0.0403106, 0.0233444, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.064785] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [59] 1736811765064673, 0.176877, 0.103925, -0.258254, -0.309472, -0.998854, 0.0109808, -0.0403106, 0.0233444, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.070006] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [60] 1736811765069914, 0.182118, 0.103925, -0.258254, -0.309472, -0.998854, 0.0109808, -0.0403106, 0.0233444, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.071668] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [62] 1736811765071549, 0.183753, 0.103925, -0.25826, -0.30947, -0.998856, 0.0110109, -0.0402731, 0.0233219, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.075684] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [63] 1736811765075563, 0.187767, 0.103925, -0.25826, -0.30947, -0.998856, 0.0110109, -0.0402731, 0.0233219, 0, 0, 0, 0, 0, 0, 
[2025-01-13 18:42:45.076926] [0x0000007f6affc9a0] [MocapTag] [0x0000332d] [64] 1736811765076801, 0.189005, 0.103925, -0.25826, -0.30947, -0.998856, 0.0110109, -0.0402731, 0.0233219, 0, 0, 0, 0, 0, 0, 
