[2025-01-13 19:09:50.173280] [0x0000007f842eb7c0] [MocapTag] [0x00001b7f] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-01-13 19:09:50.176550] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [3] 1736813390176359, 0.058015, 0.0790015, -0.272486, -0.311413, -0.99941, 0.0184003, -0.0162284, -0.0240257, 0.00310781, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.179236] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [5] 1736813390179100, 0.060756, 0.0790015, -0.272486, -0.311413, -0.99941, 0.0184003, -0.0162284, -0.0240257, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.181641] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [7] 1736813390181513, 0.063169, 0.0789637, -0.272473, -0.311394, -0.99941, 0.0183595, -0.0162749, -0.0240461, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.184405] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [8] 1736813390184291, 0.065947, 0.0789637, -0.272473, -0.311394, -0.99941, 0.0183595, -0.0162749, -0.0240461, -0.00378091, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.188728] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [9] 1736813390188619, 0.070275, 0.0789637, -0.272473, -0.311394, -0.99941, 0.0183595, -0.0162749, -0.0240461, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.191301] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [11] 1736813390191176, 0.072832, 0.0789794, -0.272477, -0.311395, -0.999409, 0.0183914, -0.0162049, -0.0240995, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.194095] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [12] 1736813390193982, 0.075638, 0.0789794, -0.272477, -0.311395, -0.999409, 0.0183914, -0.0162049, -0.0240995, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.196744] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [13] 1736813390196627, 0.078283, 0.0789794, -0.272477, -0.311395, -0.999409, 0.0183914, -0.0162049, -0.0240995, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.199542] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [14] 1736813390199431, 0.081087, 0.078987, -0.272475, -0.311388, -0.999409, 0.0183957, -0.0161729, -0.024109, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.202255] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [16] 1736813390202141, 0.083797, 0.078987, -0.272475, -0.311388, -0.999409, 0.0183957, -0.0161729, -0.024109, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.205938] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [17] 1736813390205817, 0.087473, 0.078987, -0.272475, -0.311388, -0.999409, 0.0183957, -0.0161729, -0.024109, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.208248] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [18] 1736813390208134, 0.08979, 0.078987, -0.272475, -0.311388, -0.999409, 0.0183957, -0.0161729, -0.024109, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.210358] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [19] 1736813390210266, 0.091922, 0.0789764, -0.272482, -0.311398, -0.999408, 0.0184414, -0.0162384, -0.0240668, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.213198] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [21] 1736813390213085, 0.094741, 0.0789764, -0.272482, -0.311398, -0.999408, 0.0184414, -0.0162384, -0.0240668, 0, 0, 0, 0, 0, 0, 
[2025-01-13 19:09:50.215822] [0x0000007f6b7fd9a0] [MocapTag] [0x00001b7f] [22] 1736813390215661, 0.097317, 0.0789764, -0.272482, -0.311398, -0.999408, 0.0184414, -0.0162384, -0.0240668, 0, 0, 0, 0, 0, 0, 
