[2025-01-13 20:13:41.424362] [0x0000007fbc54d7c0] [MocapTag] [0x0000484f] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-01-13 20:13:41.427960] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [3] 1736817221427719, 0.059216, 0.0922376, -0.267806, -0.308984, -0.999267, -0.00946642, -0.0132762, -0.0346335, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.430508] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [5] 1736817221430410, 0.061907, 0.0922376, -0.267806, -0.308984, -0.999267, -0.00946642, -0.0132762, -0.0346335, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.433210] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [7] 1736817221433098, 0.064595, 0.0922476, -0.267801, -0.308984, -0.999267, -0.00946647, -0.0132274, -0.0346496, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.435819] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [8] 1736817221435709, 0.067206, 0.0922476, -0.267801, -0.308984, -0.999267, -0.00946647, -0.0132274, -0.0346496, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.438428] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [9] 1736817221438323, 0.06982, 0.0922476, -0.267801, -0.308984, -0.999267, -0.00946647, -0.0132274, -0.0346496, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.441071] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [11] 1736817221440962, 0.072459, 0.0922347, -0.267788, -0.308967, -0.999265, -0.00949061, -0.0132024, -0.0347128, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.444076] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [12] 1736817221443951, 0.075448, 0.0922347, -0.267788, -0.308967, -0.999265, -0.00949061, -0.0132024, -0.0347128, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.446657] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [13] 1736817221446534, 0.078031, 0.0922347, -0.267788, -0.308967, -0.999265, -0.00949061, -0.0132024, -0.0347128, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.449843] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [14] 1736817221449724, 0.081221, 0.0922347, -0.267788, -0.308967, -0.999265, -0.00949061, -0.0132024, -0.0347128, 0, 0, 0, 0, 0, 0, 
[2025-01-13 20:13:41.452671] [0x0000007fa37fd9a0] [MocapTag] [0x0000484f] [16] 1736817221452554, 0.084051, 0.0922497, -0.267798, -0.308955, -0.999265, -0.00949422, -0.0131782, -0.034716, 0, 0, 0, 0, 0, 0, 
