[2025-10-01 18:34:54.228806] [0x0000007fa68607c0] [MocapTag] [0x00007459] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 18:34:54.233373] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [4] 1759358094233253, 2.71826, -0.00970029, -0.401535, -0.310369, -0.99969, -0.00500531, 0.00314084, 0.0242057, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.235638] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [5] 1759358094235501, 2.72051, -0.00970029, -0.401535, -0.310369, -0.99969, -0.00500531, 0.00314084, 0.0242057, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.240772] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [7] 1759358094240658, 2.72567, -0.00970029, -0.401535, -0.310369, -0.99969, -0.00500531, 0.00314084, 0.0242057, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.243349] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [8] 1759358094243242, 2.72825, -0.00970571, -0.401526, -0.310366, -0.99969, -0.00501731, 0.00311299, 0.0241875, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.246364] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [9] 1759358094246254, 2.73126, -0.00970571, -0.401526, -0.310366, -0.99969, -0.00501731, 0.00311299, 0.0241875, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.249089] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [11] 1759358094248985, 2.73399, -0.00970571, -0.401526, -0.310366, -0.99969, -0.00501731, 0.00311299, 0.0241875, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.254028] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [12] 1759358094253917, 2.73893, -0.00970571, -0.401526, -0.310366, -0.99969, -0.00501731, 0.00311299, 0.0241875, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.257253] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [13] 1759358094257144, 2.74215, -0.00970971, -0.401525, -0.310365, -0.99969, -0.00501997, 0.00309181, 0.0241976, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.260263] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [15] 1759358094260149, 2.74516, -0.00970971, -0.401525, -0.310365, -0.99969, -0.00501997, 0.00309181, 0.0241976, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.262936] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [16] 1759358094262820, 2.74783, -0.00970817, -0.401542, -0.310364, -0.99969, -0.00499273, 0.00311506, 0.0241955, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.265786] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [17] 1759358094265677, 2.75068, -0.00970817, -0.401542, -0.310364, -0.99969, -0.00499273, 0.00311506, 0.0241955, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.270235] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [19] 1759358094270121, 2.75513, -0.00970817, -0.401542, -0.310364, -0.99969, -0.00499273, 0.00311506, 0.0241955, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:34:54.272980] [0x0000007f95ef99a0] [MocapTag] [0x00007459] [20] 1759358094272873, 2.75788, -0.00975418, -0.40153, -0.310343, -0.999689, -0.00503877, 0.00300197, 0.0242495, 0, 0, 0, 0, 0, 0, 
