[2025-10-01 18:45:46.485367] [0x0000007fa00007c0] [MocapTag] [0x00000db6] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 18:45:46.490610] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [4] 1759358746490437, 2.68334, -0.0317059, -0.360702, -0.312532, -0.999916, 0.00144754, -0.00360214, -0.0124045, 0, -0.00210243, -0.00416067, 0, 0, 0, 
[2025-10-01 18:45:46.492645] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [5] 1759358746492524, 2.68542, -0.0317059, -0.360702, -0.312532, -0.999916, 0.00144754, -0.00360214, -0.0124045, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.495271] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [6] 1759358746495182, 2.68808, -0.0317041, -0.360706, -0.312527, -0.999916, 0.00144959, -0.00358962, -0.012406, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.498244] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [8] 1759358746498086, 2.69099, -0.0317041, -0.360706, -0.312527, -0.999916, 0.00144959, -0.00358962, -0.012406, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.500723] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [9] 1759358746500613, 2.69351, -0.0317041, -0.360706, -0.312527, -0.999916, 0.00144959, -0.00358962, -0.012406, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.505083] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [10] 1759358746505016, 2.69792, -0.0317041, -0.360706, -0.312527, -0.999916, 0.00144959, -0.00358962, -0.012406, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.507599] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [12] 1759358746507485, 2.70038, -0.0316948, -0.360718, -0.312552, -0.999916, 0.00147256, -0.00363319, -0.0123603, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.510482] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [13] 1759358746510371, 2.70327, -0.0316948, -0.360718, -0.312552, -0.999916, 0.00147256, -0.00363319, -0.0123603, 0, 0, -0.00251323, 0, 0, 0, 
[2025-10-01 18:45:46.513168] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [14] 1759358746513062, 2.70596, -0.0316948, -0.360718, -0.312552, -0.999916, 0.00147256, -0.00363319, -0.0123603, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.516348] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [16] 1759358746516224, 2.70912, -0.0317085, -0.360716, -0.31255, -0.999916, 0.00147455, -0.00363523, -0.0123778, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.518690] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [17] 1759358746518582, 2.71148, -0.0317085, -0.360716, -0.31255, -0.999916, 0.00147455, -0.00363523, -0.0123778, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.523054] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [18] 1759358746522944, 2.71584, -0.0317085, -0.360716, -0.31255, -0.999916, 0.00147455, -0.00363523, -0.0123778, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.525839] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [20] 1759358746525727, 2.71863, -0.0317101, -0.360689, -0.312502, -0.999915, 0.00143204, -0.00353717, -0.0124365, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.528619] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [21] 1759358746528501, 2.7214, -0.0317101, -0.360689, -0.312502, -0.999915, 0.00143204, -0.00353717, -0.0124365, 0, 0.00269497, 0.00481756, 0, 0, 0, 
[2025-10-01 18:45:46.531226] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [22] 1759358746531115, 2.72402, -0.0317101, -0.360689, -0.312502, -0.999915, 0.00143204, -0.00353717, -0.0124365, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.535740] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [24] 1759358746535645, 2.72854, -0.0316969, -0.360699, -0.312519, -0.999916, 0.00142957, -0.00357242, -0.0124132, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.538212] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [25] 1759358746538058, 2.73096, -0.0316969, -0.360699, -0.312519, -0.999916, 0.00142957, -0.00357242, -0.0124132, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.540791] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [26] 1759358746540686, 2.73359, -0.0316969, -0.360699, -0.312519, -0.999916, 0.00142957, -0.00357242, -0.0124132, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.543598] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [27] 1759358746543475, 2.73637, -0.0316969, -0.360699, -0.312519, -0.999916, 0.00142957, -0.00357242, -0.0124132, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.546318] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [29] 1759358746546205, 2.7391, -0.0317133, -0.360723, -0.312556, -0.999916, 0.0014944, -0.0036723, -0.0123756, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.550996] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [30] 1759358746550884, 2.74378, -0.0317133, -0.360723, -0.312556, -0.999916, 0.0014944, -0.0036723, -0.0123756, 0, -0.00247817, -0.00368079, 0, 0, 0, 
[2025-10-01 18:45:46.553307] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [31] 1759358746553201, 2.7461, -0.0317133, -0.360723, -0.312556, -0.999916, 0.0014944, -0.0036723, -0.0123756, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.555980] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [33] 1759358746555878, 2.74878, -0.0317004, -0.36065, -0.312441, -0.999915, 0.00134483, -0.00339721, -0.0125068, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.558877] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [34] 1759358746558764, 2.75166, -0.0317004, -0.36065, -0.312441, -0.999915, 0.00134483, -0.00339721, -0.0125068, 0, 0.00735914, 0.0115043, 0, 0.0546817, 0, 
[2025-10-01 18:45:46.561428] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [35] 1759358746561321, 2.75422, -0.0317004, -0.36065, -0.312441, -0.999915, 0.00134483, -0.00339721, -0.0125068, 0, 0, 0, 0, 0, 0, 
[2025-10-01 18:45:46.564507] [0x0000007f86ffc9a0] [MocapTag] [0x00000db6] [36] 1759358746564389, 2.75729, -0.0317023, -0.360707, -0.312531, -0.999916, 0.00143476, -0.00359861, -0.0123975, 0, 0, 0, 0, 0, 0, 
