[2025-10-01 20:48:16.811296] [0x0000007fa26517c0] [MocapTag] [0x00006aa9] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 20:48:16.815268] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [3] 1759366096815084, 2.84604, 0.015652, -0.367511, -0.310901, -0.999938, -0.00952664, 0.00342531, -0.00462151, -0.0052518, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.819465] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [5] 1759366096819345, 2.8503, 0.015652, -0.367511, -0.310901, -0.999938, -0.00952664, 0.00342531, -0.00462151, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.822591] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [7] 1759366096822473, 2.85343, 0.0157238, -0.367521, -0.310892, -0.999937, -0.00954323, 0.00359046, -0.00463099, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.824715] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [8] 1759366096824592, 2.85555, 0.0157238, -0.367521, -0.310892, -0.999937, -0.00954323, 0.00359046, -0.00463099, 0.00717458, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.827334] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [9] 1759366096827218, 2.85818, 0.0157238, -0.367521, -0.310892, -0.999937, -0.00954323, 0.00359046, -0.00463099, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.830076] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [10] 1759366096829954, 2.86091, 0.0155063, -0.36762, -0.311197, -0.999942, -0.00876669, 0.00259434, -0.00567946, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.833791] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [12] 1759366096833677, 2.86463, 0.0155063, -0.36762, -0.311197, -0.999942, -0.00876669, 0.00259434, -0.00567946, -0.0217449, -0.00987105, -0.0305344, -0.155711, -0.20033, -0.207384, 
[2025-10-01 20:48:16.836253] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [13] 1759366096836142, 2.8671, 0.0155063, -0.36762, -0.311197, -0.999942, -0.00876669, 0.00259434, -0.00567946, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.838781] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [14] 1759366096838674, 2.86963, 0.0155063, -0.36762, -0.311197, -0.999942, -0.00876669, 0.00259434, -0.00567946, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.841402] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [16] 1759366096841294, 2.87225, 0.0158632, -0.367395, -0.311051, -0.999935, -0.00957431, 0.00322291, -0.00526568, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.844138] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [17] 1759366096844024, 2.87498, 0.0158632, -0.367395, -0.311051, -0.999935, -0.00957431, 0.00322291, -0.00526568, 0.0356923, 0.0224389, 0.0146709, 0.161982, 0.125579, 0.0811346, 
[2025-10-01 20:48:16.846532] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [18] 1759366096846429, 2.87739, 0.0158632, -0.367395, -0.311051, -0.999935, -0.00957431, 0.00322291, -0.00526568, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.849970] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [19] 1759366096849853, 2.88081, 0.0158632, -0.367395, -0.311051, -0.999935, -0.00957431, 0.00322291, -0.00526568, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.852597] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [21] 1759366096852452, 2.88341, 0.0159136, -0.367399, -0.31104, -0.999934, -0.00966141, 0.00336217, -0.00524786, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.855122] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [22] 1759366096854964, 2.88592, 0.0159136, -0.367399, -0.31104, -0.999934, -0.00966141, 0.00336217, -0.00524786, 0.00503884, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.858906] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [23] 1759366096858793, 2.88975, 0.0159136, -0.367399, -0.31104, -0.999934, -0.00966141, 0.00336217, -0.00524786, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.861440] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [25] 1759366096861362, 2.89232, 0.0155362, -0.367132, -0.310555, -0.999928, -0.00995282, 0.0038685, -0.00545188, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.866223] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [26] 1759366096866110, 2.89707, 0.0155362, -0.367132, -0.310555, -0.999928, -0.00995282, 0.0038685, -0.00545188, -0.0377424, 0.0266913, 0.0484946, 0.0589848, 0.100546, -0.0420112, 
[2025-10-01 20:48:16.868892] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [27] 1759366096868787, 2.89974, 0.0155362, -0.367132, -0.310555, -0.999928, -0.00995282, 0.0038685, -0.00545188, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.871439] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [29] 1759366096871362, 2.90232, 0.0156056, -0.367122, -0.310536, -0.999927, -0.0100204, 0.00404123, -0.00543457, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.874224] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [30] 1759366096874112, 2.90507, 0.0156056, -0.367122, -0.310536, -0.999927, -0.0100204, 0.00404123, -0.00543457, 0.00693994, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.876888] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [31] 1759366096876725, 2.90768, 0.0156056, -0.367122, -0.310536, -0.999927, -0.0100204, 0.00404123, -0.00543457, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.881379] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [33] 1759366096881280, 2.91224, 0.0156056, -0.367122, -0.310536, -0.999927, -0.0100204, 0.00404123, -0.00543457, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.884135] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [34] 1759366096884025, 2.91498, 0.0155686, -0.36714, -0.310554, -0.999928, -0.00997041, 0.00400024, -0.00543629, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.886967] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [35] 1759366096886861, 2.91782, 0.0155686, -0.36714, -0.310554, -0.999928, -0.00997041, 0.00400024, -0.00543629, -0.00369669, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.889674] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [36] 1759366096889569, 2.92053, 0.0155686, -0.36714, -0.310554, -0.999928, -0.00997041, 0.00400024, -0.00543629, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.892449] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [38] 1759366096892337, 2.92329, 0.0157141, -0.367013, -0.310659, -0.999925, -0.0099924, 0.00375275, -0.00597421, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.897023] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [39] 1759366096896906, 2.92786, 0.0157141, -0.367013, -0.310659, -0.999925, -0.0099924, 0.00375275, -0.00597421, 0.0145431, 0.0127333, -0.0104667, 0, -0.0505973, -0.107102, 
[2025-10-01 20:48:16.899692] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [40] 1759366096899586, 2.93054, 0.0157141, -0.367013, -0.310659, -0.999925, -0.0099924, 0.00375275, -0.00597421, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.902297] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [42] 1759366096902184, 2.93314, 0.0158046, -0.366988, -0.310683, -0.999923, -0.0101451, 0.0038833, -0.00604199, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.905103] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [43] 1759366096904990, 2.93595, 0.0158046, -0.366988, -0.310683, -0.999923, -0.0101451, 0.0038833, -0.00604199, 0.00905431, 0.00245545, -0.00238055, 0, 0, 0, 
[2025-10-01 20:48:16.908927] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [44] 1759366096908822, 2.93978, 0.0158046, -0.366988, -0.310683, -0.999923, -0.0101451, 0.0038833, -0.00604199, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.910271] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [45] 1759366096910134, 2.94109, 0.0157201, -0.367019, -0.310696, -0.999925, -0.0100194, 0.00372372, -0.00599907, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.914031] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [47] 1759366096913921, 2.94488, 0.0157201, -0.367019, -0.310696, -0.999925, -0.0100194, 0.00372372, -0.00599907, -0.00845027, -0.00312843, 0, 0, 0, 0, 
[2025-10-01 20:48:16.916569] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [48] 1759366096916459, 2.94742, 0.0157201, -0.367019, -0.310696, -0.999925, -0.0100194, 0.00372372, -0.00599907, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.919926] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [49] 1759366096919810, 2.95077, 0.0157201, -0.367019, -0.310696, -0.999925, -0.0100194, 0.00372372, -0.00599907, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.922265] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [51] 1759366096922153, 2.95311, 0.0157532, -0.366994, -0.310688, -0.999924, -0.0100855, 0.00380073, -0.00599934, 0, 0, 0, 0, 0, 0, 
[2025-10-01 20:48:16.925118] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [52] 1759366096925006, 2.95596, 0.0157532, -0.366994, -0.310688, -0.999924, -0.0100855, 0.00380073, -0.00599934, 0.00330906, 0.00254025, 0, 0, 0, 0, 
[2025-10-01 20:48:16.929451] [0x0000007f997f99a0] [MocapTag] [0x00006aa9] [53] 1759366096929341, 2.9603, 0.0157532, -0.366994, -0.310688, -0.999924, -0.0100855, 0.00380073, -0.00599934, 0, 0, 0, 0, 0, 0, 
