[2025-10-01 21:02:57.901902] [0x0000007fbd0747c0] [MocapTag] [0x00000c98] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 21:02:57.905182] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [3] 1759366977904992, 2.74608, -0.0137769, -0.372687, -0.309768, -0.999807, -0.00904525, 0.0120836, 0.0125801, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.907293] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [5] 1759366977907178, 2.74826, -0.0137769, -0.372687, -0.309768, -0.999807, -0.00904525, 0.0120836, 0.0125801, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.910001] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [6] 1759366977909887, 2.75097, -0.0137769, -0.372687, -0.309768, -0.999807, -0.00904525, 0.0120836, 0.0125801, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.913444] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [8] 1759366977913323, 2.75441, -0.0137649, -0.372667, -0.309762, -0.999806, -0.0090981, 0.0120702, 0.0126549, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.916085] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [9] 1759366977915974, 2.75706, -0.0137649, -0.372667, -0.309762, -0.999806, -0.0090981, 0.0120702, 0.0126549, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.919174] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [10] 1759366977919059, 2.76014, -0.0137649, -0.372667, -0.309762, -0.999806, -0.0090981, 0.0120702, 0.0126549, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.922001] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [12] 1759366977921885, 2.76297, -0.013754, -0.372692, -0.309779, -0.999806, -0.0090353, 0.0121019, 0.0126261, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.924674] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [13] 1759366977924566, 2.76565, -0.013754, -0.372692, -0.309779, -0.999806, -0.0090353, 0.0121019, 0.0126261, 0, -0.00245454, 0, 0, 0, 0, 
[2025-10-01 21:02:57.928415] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [14] 1759366977928307, 2.76939, -0.013754, -0.372692, -0.309779, -0.999806, -0.0090353, 0.0121019, 0.0126261, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.931100] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [16] 1759366977931028, 2.77211, -0.0137753, -0.37268, -0.309763, -0.999807, -0.00905665, 0.0120436, 0.0126306, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.936357] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [17] 1759366977936243, 2.77733, -0.0137753, -0.37268, -0.309763, -0.999807, -0.00905665, 0.0120436, 0.0126306, -0.00212911, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.937041] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [18] 1759366977936944, 2.77803, -0.0137753, -0.37268, -0.309763, -0.999807, -0.00905665, 0.0120436, 0.0126306, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.939642] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [19] 1759366977939538, 2.78062, -0.0137753, -0.37268, -0.309763, -0.999807, -0.00905665, 0.0120436, 0.0126306, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.943982] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [21] 1759366977943867, 2.78495, -0.0137401, -0.372683, -0.309763, -0.999805, -0.0090608, 0.0121431, 0.0126431, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.946983] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [22] 1759366977946873, 2.78796, -0.0137401, -0.372683, -0.309763, -0.999805, -0.0090608, 0.0121431, 0.0126431, 0.00351796, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.949708] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [23] 1759366977949586, 2.79067, -0.0137401, -0.372683, -0.309763, -0.999805, -0.0090608, 0.0121431, 0.0126431, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.952654] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [25] 1759366977952543, 2.79363, -0.0137835, -0.372674, -0.309763, -0.999807, -0.00905167, 0.0120236, 0.0126321, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.955451] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [26] 1759366977955335, 2.79642, -0.0137835, -0.372674, -0.309763, -0.999807, -0.00905167, 0.0120236, 0.0126321, -0.00434144, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.959538] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [27] 1759366977959430, 2.80051, -0.0137835, -0.372674, -0.309763, -0.999807, -0.00905167, 0.0120236, 0.0126321, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.962254] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [29] 1759366977962133, 2.80322, -0.0137612, -0.37268, -0.309772, -0.999806, -0.00904616, 0.0120768, 0.0126311, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.965135] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [30] 1759366977965021, 2.80611, -0.0137612, -0.37268, -0.309772, -0.999806, -0.00904616, 0.0120768, 0.0126311, 0.00222696, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.968021] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [31] 1759366977967917, 2.809, -0.0137612, -0.37268, -0.309772, -0.999806, -0.00904616, 0.0120768, 0.0126311, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.970459] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [32] 1759366977970370, 2.81146, -0.0137566, -0.372686, -0.309767, -0.999806, -0.00903763, 0.0121216, 0.0126083, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.973194] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [34] 1759366977973083, 2.81417, -0.0137566, -0.372686, -0.309767, -0.999806, -0.00903763, 0.0121216, 0.0126083, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.976316] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [35] 1759366977976204, 2.81729, -0.0137566, -0.372686, -0.309767, -0.999806, -0.00903763, 0.0121216, 0.0126083, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.979035] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [36] 1759366977978925, 2.82001, -0.0137566, -0.372686, -0.309767, -0.999806, -0.00903763, 0.0121216, 0.0126083, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.981951] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [38] 1759366977981831, 2.82292, -0.013764, -0.372678, -0.309764, -0.999806, -0.00905956, 0.0120899, 0.0126458, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:02:57.984593] [0x0000007f9bffe9a0] [MocapTag] [0x00000c98] [39] 1759366977984481, 2.82557, -0.013764, -0.372678, -0.309764, -0.999806, -0.00905956, 0.0120899, 0.0126458, 0, 0, 0, 0, 0, 0, 
