[2025-10-01 21:07:38.867300] [0x0000007f9ee9b7c0] [MocapTag] [0x0000150e] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 21:07:38.870677] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [3] 1759367258870491, 2.79818, -0.0248865, -0.38707, -0.310401, -0.999634, -0.00665671, 0.0113497, 0.0236257, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.875384] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [5] 1759367258875272, 2.80296, -0.0248831, -0.387058, -0.31039, -0.999634, -0.00667128, 0.0113348, 0.0236363, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.877131] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [7] 1759367258877021, 2.80471, -0.0248831, -0.387058, -0.31039, -0.999634, -0.00667128, 0.0113348, 0.0236363, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.880027] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [8] 1759367258879915, 2.80761, -0.0248831, -0.387058, -0.31039, -0.999634, -0.00667128, 0.0113348, 0.0236363, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.882593] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [9] 1759367258882488, 2.81018, -0.0248698, -0.387065, -0.310395, -0.999635, -0.00665095, 0.0113296, 0.0236249, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.885357] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [10] 1759367258885252, 2.81294, -0.0248698, -0.387065, -0.310395, -0.999635, -0.00665095, 0.0113296, 0.0236249, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.890682] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [12] 1759367258890569, 2.81826, -0.0248698, -0.387065, -0.310395, -0.999635, -0.00665095, 0.0113296, 0.0236249, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.893258] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [13] 1759367258893149, 2.82084, -0.0248715, -0.387064, -0.310389, -0.999635, -0.00666325, 0.0113336, 0.0236045, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.895736] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [14] 1759367258895618, 2.82331, -0.0248715, -0.387064, -0.310389, -0.999635, -0.00666325, 0.0113336, 0.0236045, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.900946] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [16] 1759367258900817, 2.82851, -0.0248715, -0.387064, -0.310389, -0.999635, -0.00666325, 0.0113336, 0.0236045, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.901554] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [17] 1759367258901461, 2.82915, -0.0248629, -0.387077, -0.310385, -0.999635, -0.00665634, 0.0113257, 0.0236067, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.903537] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [18] 1759367258903417, 2.83111, -0.0248629, -0.387077, -0.310385, -0.999635, -0.00665634, 0.0113257, 0.0236067, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.911443] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [20] 1759367258911310, 2.839, -0.0248629, -0.387077, -0.310385, -0.999635, -0.00665634, 0.0113257, 0.0236067, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.912138] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [21] 1759367258912033, 2.83972, -0.0248629, -0.387077, -0.310385, -0.999635, -0.00665634, 0.0113257, 0.0236067, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.912736] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [22] 1759367258912642, 2.84033, -0.0248517, -0.387078, -0.31038, -0.999635, -0.00665697, 0.011344, 0.0236003, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.914971] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [23] 1759367258914824, 2.84252, -0.0248517, -0.387078, -0.31038, -0.999635, -0.00665697, 0.011344, 0.0236003, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.917835] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [25] 1759367258917720, 2.84541, -0.0248517, -0.387078, -0.31038, -0.999635, -0.00665697, 0.011344, 0.0236003, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.925992] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [26] 1759367258925904, 2.85359, -0.0248557, -0.387082, -0.310391, -0.999635, -0.00666066, 0.0113235, 0.0236081, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.931428] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [28] 1759367258931316, 2.85901, -0.0248557, -0.387082, -0.310391, -0.999635, -0.00666066, 0.0113235, 0.0236081, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.932205] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [29] 1759367258932094, 2.85979, -0.0248557, -0.387082, -0.310391, -0.999635, -0.00666066, 0.0113235, 0.0236081, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.932869] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [30] 1759367258932762, 2.86045, -0.0248557, -0.387082, -0.310391, -0.999635, -0.00666066, 0.0113235, 0.0236081, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.933452] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [31] 1759367258933360, 2.86105, -0.0248527, -0.387074, -0.310384, -0.999635, -0.00666905, 0.0113296, 0.0236095, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.937303] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [33] 1759367258937189, 2.86488, -0.0248527, -0.387074, -0.310384, -0.999635, -0.00666905, 0.0113296, 0.0236095, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.940919] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [34] 1759367258940805, 2.8685, -0.0248527, -0.387074, -0.310384, -0.999635, -0.00666905, 0.0113296, 0.0236095, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.942622] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [35] 1759367258942511, 2.8702, -0.0248619, -0.387079, -0.3104, -0.999635, -0.00664118, 0.0113325, 0.0236177, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.945565] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [36] 1759367258945450, 2.87314, -0.0248619, -0.387079, -0.3104, -0.999635, -0.00664118, 0.0113325, 0.0236177, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.952709] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [38] 1759367258952581, 2.88027, -0.0248619, -0.387079, -0.3104, -0.999635, -0.00664118, 0.0113325, 0.0236177, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.953316] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [39] 1759367258953223, 2.88091, -0.0248534, -0.387079, -0.310402, -0.999634, -0.00663826, 0.0113598, 0.0236374, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.954335] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [40] 1759367258954231, 2.88192, -0.0248534, -0.387079, -0.310402, -0.999634, -0.00663826, 0.0113598, 0.0236374, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.957039] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [42] 1759367258956936, 2.88463, -0.0248534, -0.387079, -0.310402, -0.999634, -0.00663826, 0.0113598, 0.0236374, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.959787] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [43] 1759367258959677, 2.88737, -0.0248534, -0.387079, -0.310402, -0.999634, -0.00663826, 0.0113598, 0.0236374, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.962723] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [44] 1759367258962618, 2.89031, -0.0248703, -0.387076, -0.310402, -0.999634, -0.00664521, 0.0113401, 0.023626, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.965366] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [45] 1759367258965256, 2.89295, -0.0248703, -0.387076, -0.310402, -0.999634, -0.00664521, 0.0113401, 0.023626, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.969666] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [47] 1759367258969557, 2.89725, -0.0248703, -0.387076, -0.310402, -0.999634, -0.00664521, 0.0113401, 0.023626, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.972305] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [48] 1759367258972189, 2.89988, -0.0248732, -0.38707, -0.310398, -0.999634, -0.00666297, 0.0113497, 0.023633, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.975284] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [49] 1759367258975177, 2.90287, -0.0248732, -0.38707, -0.310398, -0.999634, -0.00666297, 0.0113497, 0.023633, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.978093] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [51] 1759367258977965, 2.90566, -0.0248732, -0.38707, -0.310398, -0.999634, -0.00666297, 0.0113497, 0.023633, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.980730] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [52] 1759367258980621, 2.90831, -0.0248848, -0.387075, -0.310393, -0.999635, -0.00664466, 0.0113099, 0.0236364, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.985449] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [53] 1759367258985336, 2.91303, -0.0248848, -0.387075, -0.310393, -0.999635, -0.00664466, 0.0113099, 0.0236364, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:07:38.988171] [0x0000007f8dffa9a0] [MocapTag] [0x0000150e] [55] 1759367258988059, 2.91575, -0.0248848, -0.387075, -0.310393, -0.999635, -0.00664466, 0.0113099, 0.0236364, 0, 0, 0, 0, 0, 0, 
