[2025-10-01 21:10:55.762222] [0x0000007fa809e7c0] [MocapTag] [0x00001b60] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-01 21:10:55.766322] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [3] 1759367455766134, 2.70288, -0.00333293, -0.34324, -0.310098, -0.99968, -0.00661889, 0.0114057, 0.0216109, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.770593] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [5] 1759367455770483, 2.70723, -0.00333293, -0.34324, -0.310098, -0.99968, -0.00661889, 0.0114057, 0.0216109, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.773204] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [6] 1759367455773093, 2.70984, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.776157] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [7] 1759367455776070, 2.71281, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, -0.00380643, 0.178741, 0.105892, 0.550604, 0.440511, 0.0891998, 
[2025-10-01 21:10:55.780218] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [9] 1759367455780107, 2.71685, -0.00337099, -0.341453, -0.30904, -0.999619, -0.00942427, 0.0135437, 0.0221075, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.781699] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [10] 1759367455781559, 2.7183, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.786434] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [11] 1759367455786344, 2.72309, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, -0.00209597, 0.0022877, 0, 0, 0, 0, 
[2025-10-01 21:10:55.789391] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [13] 1759367455789281, 2.72603, -0.00339195, -0.34143, -0.30905, -0.999621, -0.00942559, 0.0134862, 0.0220895, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.791952] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [14] 1759367455791844, 2.72859, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.794936] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [15] 1759367455794801, 2.73155, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.797763] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [17] 1759367455797649, 2.73439, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.802036] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [18] 1759367455801929, 2.73867, -0.00337647, -0.341415, -0.30904, -0.999622, -0.00940643, 0.0134997, 0.0220245, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.804941] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [19] 1759367455804792, 2.74154, -0.00422552, -0.341993, -0.309113, -0.999654, -0.00818495, 0.0126328, 0.0215774, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.807957] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [21] 1759367455807839, 2.74458, -0.00422552, -0.341993, -0.309113, -0.999654, -0.00818495, 0.0126328, 0.0215774, -0.0849048, -0.0577921, -0.00730298, -0.239396, -0.179422, -0.0848304, 
[2025-10-01 21:10:55.810852] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [22] 1759367455810733, 2.74748, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.814356] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [23] 1759367455814237, 2.75098, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0.0301962, 0.0238493, 0.00788435, 0.104856, 0.13156, 0.0408083, 
[2025-10-01 21:10:55.818479] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [25] 1759367455818360, 2.7551, -0.00392356, -0.341755, -0.309034, -0.999636, -0.00872579, 0.0132772, 0.0217934, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.821181] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [26] 1759367455821067, 2.75781, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.824061] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [27] 1759367455823937, 2.76068, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0.0303485, 0.0208853, 0.014528, 0.0864744, 0.0519102, 0.150714, 
[2025-10-01 21:10:55.826729] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [29] 1759367455826671, 2.76342, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.829694] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [30] 1759367455829577, 2.76632, -0.00362007, -0.341546, -0.308889, -0.999612, -0.00917378, 0.0135204, 0.0225546, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.834086] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [31] 1759367455833971, 2.77072, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.836788] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [33] 1759367455836689, 2.77343, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.842331] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [34] 1759367455842210, 2.77895, -0.00362176, -0.341545, -0.308903, -0.999612, -0.00917303, 0.0135102, 0.0225464, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.843134] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [35] 1759367455843009, 2.77975, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.845196] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [36] 1759367455845078, 2.78182, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0.00216946, 0, 0, 0, 0, 
[2025-10-01 21:10:55.848821] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [38] 1759367455848705, 2.78545, -0.00362412, -0.341523, -0.30889, -0.999612, -0.00922059, 0.0134841, 0.0225803, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.851311] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [39] 1759367455851192, 2.78794, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.854197] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [40] 1759367455854077, 2.79082, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, -0.00367101, 0, 0, 0, 0, 
[2025-10-01 21:10:55.856754] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [41] 1759367455856690, 2.79344, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.859501] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [43] 1759367455859380, 2.79612, -0.0036121, -0.34156, -0.308896, -0.999611, -0.00916263, 0.0135272, 0.0225814, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.864143] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [44] 1759367455864023, 2.80077, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.866755] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [46] 1759367455866693, 2.80344, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, -0.0572412, -0.145986, -0.110662, -0.398278, -0.687385, 0, 
[2025-10-01 21:10:55.869702] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [47] 1759367455869585, 2.80633, -0.00418451, -0.34302, -0.310003, -0.999666, -0.00709657, 0.0101354, 0.0226723, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.872201] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [48] 1759367455872089, 2.80883, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.875056] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [49] 1759367455874948, 2.81169, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0.008395, 0.00686055, 0, 0, 0, 0, 
[2025-10-01 21:10:55.879602] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [51] 1759367455879487, 2.81623, -0.00410056, -0.342951, -0.310012, -0.99967, -0.00711467, 0.0101655, 0.0225014, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.882311] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [52] 1759367455882200, 2.81894, -0.00342758, -0.341447, -0.308986, -0.999618, -0.00940647, 0.0135232, 0.0222122, 0, 0, 0, 0, 0, 0, 
[2025-10-01 21:10:55.885801] [0x0000007f96ffc9a0] [MocapTag] [0x00001b60] [53] 1759367455885712, 2.82246, -0.00342758, -0.341447, -0.308986, -0.999618, -0.00940647, 0.0135232, 0.0222122, 0.0672981, 0.150432, 0.102589, 0.444245, 0.681126, -0.0683852, 
