[2025-10-13 19:02:43.797635] [0x0000007fa9cd37c0] [MocapTag] [0x00000fa6] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 19:02:43.799882] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [3] 1760396563799616, 2.76134, 0.0507365, -0.369487, -0.308738, -0.99977, -0.00818043, 0.0103076, 0.0169136, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.801834] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [5] 1760396563801771, 2.7635, 0.0507365, -0.369487, -0.308738, -0.99977, -0.00818043, 0.0103076, 0.0169136, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.804672] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [6] 1760396563804552, 2.76628, 0.0507365, -0.369487, -0.308738, -0.99977, -0.00818043, 0.0103076, 0.0169136, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.807097] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [8] 1760396563807029, 2.76876, 0.0507311, -0.369476, -0.308749, -0.999771, -0.00825416, 0.0102271, 0.0169135, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.810110] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [9] 1760396563809937, 2.77166, 0.0507311, -0.369476, -0.308749, -0.999771, -0.00825416, 0.0102271, 0.0169135, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.812487] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [10] 1760396563812375, 2.7741, 0.0507311, -0.369476, -0.308749, -0.999771, -0.00825416, 0.0102271, 0.0169135, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.815873] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [11] 1760396563815763, 2.77749, 0.0507311, -0.369476, -0.308749, -0.999771, -0.00825416, 0.0102271, 0.0169135, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.817870] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [13] 1760396563817749, 2.77948, 0.0507306, -0.369489, -0.308757, -0.999771, -0.00812589, 0.0103427, 0.0168538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.820580] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [14] 1760396563820470, 2.7822, 0.0507306, -0.369489, -0.308757, -0.999771, -0.00812589, 0.0103427, 0.0168538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.823283] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [15] 1760396563823168, 2.7849, 0.0507306, -0.369489, -0.308757, -0.999771, -0.00812589, 0.0103427, 0.0168538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.826726] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [16] 1760396563826635, 2.78836, 0.0507306, -0.369489, -0.308757, -0.999771, -0.00812589, 0.0103427, 0.0168538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.829122] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [18] 1760396563829003, 2.79073, 0.050732, -0.369466, -0.30873, -0.999771, -0.00816662, 0.010429, 0.0168214, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:02:43.831805] [0x0000007fa53ac9a0] [MocapTag] [0x00000fa6] [19] 1760396563831698, 2.79343, 0.050732, -0.369466, -0.30873, -0.999771, -0.00816662, 0.010429, 0.0168214, 0, 0.00228263, 0.00271047, 0, 0, 0, 
