[2025-10-13 19:08:42.142005] [0x0000007fa6aea7c0] [MocapTag] [0x000019ee] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 19:08:42.145479] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [3] 1760396922145329, 2.75082, 0.0460934, -0.359177, -0.309153, -0.999944, -0.00646217, 0.00823528, -0.00174988, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.148074] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [5] 1760396922147948, 2.75344, 0.0460731, -0.359191, -0.309139, -0.999944, -0.00640894, 0.00821187, -0.00169402, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.150835] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [6] 1760396922150747, 2.75624, 0.0460731, -0.359191, -0.309139, -0.999944, -0.00640894, 0.00821187, -0.00169402, -0.00203127, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.153521] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [8] 1760396922153406, 2.7589, 0.0460731, -0.359191, -0.309139, -0.999944, -0.00640894, 0.00821187, -0.00169402, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.156667] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [9] 1760396922156558, 2.76205, 0.0460731, -0.359191, -0.309139, -0.999944, -0.00640894, 0.00821187, -0.00169402, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.160291] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [10] 1760396922160176, 2.76567, 0.0460341, -0.359236, -0.309109, -0.999945, -0.00631872, 0.00820542, -0.00152327, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.163132] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [12] 1760396922162982, 2.76847, 0.0460341, -0.359236, -0.309109, -0.999945, -0.00631872, 0.00820542, -0.00152327, -0.00390772, -0.00453968, 0.00302551, 0, 0, 0, 
[2025-10-13 19:08:42.166319] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [13] 1760396922166207, 2.7717, 0.0460341, -0.359236, -0.309109, -0.999945, -0.00631872, 0.00820542, -0.00152327, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.168265] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [14] 1760396922168158, 2.77365, 0.0461103, -0.359215, -0.309182, -0.999944, -0.00644935, 0.00821197, -0.00163021, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.171046] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [15] 1760396922170955, 2.77645, 0.0461103, -0.359215, -0.309182, -0.999944, -0.00644935, 0.00821197, -0.00163021, 0.00762647, 0.00210922, -0.00731934, 0, 0, 0, 
[2025-10-13 19:08:42.174295] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [17] 1760396922174182, 2.77967, 0.0461103, -0.359215, -0.309182, -0.999944, -0.00644935, 0.00821197, -0.00163021, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.177549] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [18] 1760396922177437, 2.78293, 0.0461103, -0.359215, -0.309182, -0.999944, -0.00644935, 0.00821197, -0.00163021, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.179604] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [19] 1760396922179499, 2.78499, 0.0460586, -0.35925, -0.309148, -0.999945, -0.00635553, 0.00820152, -0.00149648, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:08:42.182452] [0x0000007f9dffa9a0] [MocapTag] [0x000019ee] [21] 1760396922182328, 2.78782, 0.0460586, -0.35925, -0.309148, -0.999945, -0.00635553, 0.00820152, -0.00149648, -0.00516896, -0.00350574, 0.00343129, 0, 0, 0, 
