[2025-10-13 19:11:28.877367] [0x0000007fa07aa7c0] [MocapTag] [0x00001fb8] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 19:11:28.880369] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [3] 1760397088880195, 2.70406, 0.048685, -0.36487, -0.309579, -0.999877, -0.00654579, 0.00724611, 0.012275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.883389] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [5] 1760397088883263, 2.70713, 0.048685, -0.36487, -0.309579, -0.999877, -0.00654579, 0.00724611, 0.012275, -0.00346755, -0.0143395, -0.0115607, 0, -0.0682179, 0.0409873, 
[2025-10-13 19:11:28.886278] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [6] 1760397088886189, 2.71005, 0.048685, -0.36487, -0.309579, -0.999877, -0.00654579, 0.00724611, 0.012275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.887920] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [8] 1760397088887808, 2.71167, 0.048685, -0.36487, -0.309579, -0.999877, -0.00654579, 0.00724611, 0.012275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.890389] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [9] 1760397088890278, 2.71414, 0.0487868, -0.364713, -0.309514, -0.999877, -0.00674488, 0.00753814, 0.0119945, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.893125] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [10] 1760397088892984, 2.71685, 0.0487868, -0.364713, -0.309514, -0.999877, -0.00674488, 0.00753814, 0.0119945, 0.0101765, 0.015707, 0.0065049, 0.0395298, 0.0585154, -0.0567758, 
[2025-10-13 19:11:28.895869] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [11] 1760397088895747, 2.71961, 0.0487868, -0.364713, -0.309514, -0.999877, -0.00674488, 0.00753814, 0.0119945, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.898536] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [13] 1760397088898426, 2.72229, 0.0487868, -0.364713, -0.309514, -0.999877, -0.00674488, 0.00753814, 0.0119945, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.901007] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [14] 1760397088900899, 2.72476, 0.0488527, -0.364608, -0.309511, -0.99988, -0.00664938, 0.00745375, 0.0118062, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.904094] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [15] 1760397088903988, 2.72785, 0.0488527, -0.364608, -0.309511, -0.99988, -0.00664938, 0.00745375, 0.0118062, 0.00659368, 0.0105232, 0, 0, 0, -0.0374123, 
[2025-10-13 19:11:28.906367] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [16] 1760397088906269, 2.73013, 0.0488527, -0.364608, -0.309511, -0.99988, -0.00664938, 0.00745375, 0.0118062, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.909351] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [18] 1760397088909239, 2.7331, 0.0490601, -0.36397, -0.309071, -0.999852, -0.00776203, 0.00929199, 0.0122325, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.912097] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [19] 1760397088911989, 2.73585, 0.0490601, -0.36397, -0.309071, -0.999852, -0.00776203, 0.00929199, 0.0122325, 0.0207362, 0.0638, 0.0439591, 0.217485, 0.370894, 0.080861, 
[2025-10-13 19:11:28.914670] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [20] 1760397088914560, 2.73842, 0.0490601, -0.36397, -0.309071, -0.999852, -0.00776203, 0.00929199, 0.0122325, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.917991] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [22] 1760397088917872, 2.74174, 0.0490601, -0.36397, -0.309071, -0.999852, -0.00776203, 0.00929199, 0.0122325, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.920446] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [23] 1760397088920332, 2.7442, 0.0490975, -0.363893, -0.309076, -0.999857, -0.00764073, 0.00912428, 0.0120301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.924243] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [24] 1760397088924134, 2.748, 0.0490975, -0.363893, -0.309076, -0.999857, -0.00764073, 0.00912428, 0.0120301, 0.00374415, 0.00770148, 0, 0, 0, -0.0400279, 
[2025-10-13 19:11:28.927001] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [26] 1760397088926917, 2.75078, 0.0490975, -0.363893, -0.309076, -0.999857, -0.00764073, 0.00912428, 0.0120301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.929727] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [27] 1760397088929613, 2.75348, 0.0490389, -0.363974, -0.309042, -0.999851, -0.00774806, 0.00927616, 0.0123635, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.932491] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [28] 1760397088932385, 2.75625, 0.0490389, -0.363974, -0.309042, -0.999851, -0.00774806, 0.00927616, 0.0123635, -0.0058604, -0.00816982, 0.00337905, 0, 0, 0.0662819, 
[2025-10-13 19:11:28.935415] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [29] 1760397088935306, 2.75917, 0.0490389, -0.363974, -0.309042, -0.999851, -0.00774806, 0.00927616, 0.0123635, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.937907] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [31] 1760397088937790, 2.76166, 0.0490389, -0.363974, -0.309042, -0.999851, -0.00774806, 0.00927616, 0.0123635, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.942036] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [32] 1760397088941913, 2.76578, 0.0490926, -0.363964, -0.309088, -0.999852, -0.00776229, 0.00924935, 0.0122347, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:11:28.943406] [0x0000007f877fd9a0] [MocapTag] [0x00001fb8] [33] 1760397088943295, 2.76716, 0.0490926, -0.363964, -0.309088, -0.999852, -0.00776229, 0.00924935, 0.0122347, 0.00536264, 0, -0.00459855, 0, 0, 0, 
