[2025-10-13 19:23:34.884323] [0x0000007fbe8c77c0] [MocapTag] [0x000009e1] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 19:23:34.888031] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [3] 1760397814887900, 2.75977, 0.0347985, -0.346997, -0.308869, -0.999829, -0.00855157, 0.0138462, 0.00882172, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.890636] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [5] 1760397814890486, 2.76235, 0.0349706, -0.34685, -0.308964, -0.999834, -0.0083519, 0.0139241, 0.00830196, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.893227] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [6] 1760397814893140, 2.76501, 0.0349706, -0.34685, -0.308964, -0.999834, -0.0083519, 0.0139241, 0.00830196, 0.0172091, 0.0146378, -0.00944514, -0.0386238, 0, -0.103551, 
[2025-10-13 19:23:34.895837] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [8] 1760397814895725, 2.76759, 0.0349706, -0.34685, -0.308964, -0.999834, -0.0083519, 0.0139241, 0.00830196, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.898466] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [9] 1760397814898347, 2.77022, 0.0349706, -0.34685, -0.308964, -0.999834, -0.0083519, 0.0139241, 0.00830196, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.901119] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [10] 1760397814901009, 2.77288, 0.0348513, -0.346894, -0.308853, -0.999833, -0.0082365, 0.0139124, 0.00852663, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.903823] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [11] 1760397814903736, 2.77561, 0.0348513, -0.346894, -0.308853, -0.999833, -0.0082365, 0.0139124, 0.00852663, -0.0119335, -0.00437302, 0.0110714, 0, 0, 0.0452876, 
[2025-10-13 19:23:34.906337] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [13] 1760397814906227, 2.7781, 0.0348513, -0.346894, -0.308853, -0.999833, -0.0082365, 0.0139124, 0.00852663, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.908944] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [14] 1760397814908838, 2.78071, 0.0349926, -0.346829, -0.308957, -0.999833, -0.00836953, 0.0139752, 0.00826786, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.911757] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [15] 1760397814911608, 2.78348, 0.0349926, -0.346829, -0.308957, -0.999833, -0.00836953, 0.0139752, 0.00826786, 0.0141332, 0.00647053, -0.0104187, 0, 0, -0.0522431, 
[2025-10-13 19:23:34.914450] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [17] 1760397814914368, 2.78624, 0.0349926, -0.346829, -0.308957, -0.999833, -0.00836953, 0.0139752, 0.00826786, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.917084] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [18] 1760397814916972, 2.78884, 0.0349926, -0.346829, -0.308957, -0.999833, -0.00836953, 0.0139752, 0.00826786, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.919652] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [19] 1760397814919547, 2.79142, 0.0348114, -0.346907, -0.308844, -0.999833, -0.00832819, 0.0138445, 0.00859763, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.922487] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [20] 1760397814922375, 2.79424, 0.0348114, -0.346907, -0.308844, -0.999833, -0.00832819, 0.0138445, 0.00859763, -0.0181218, -0.00772563, 0.0113802, 0, 0, 0.0662984, 
[2025-10-13 19:23:34.925015] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [22] 1760397814924905, 2.79677, 0.0348114, -0.346907, -0.308844, -0.999833, -0.00832819, 0.0138445, 0.00859763, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.927913] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [23] 1760397814927789, 2.79966, 0.0348114, -0.346907, -0.308844, -0.999833, -0.00832819, 0.0138445, 0.00859763, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.930430] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [24] 1760397814930322, 2.80219, 0.0349896, -0.346835, -0.30892, -0.999832, -0.00836306, 0.0140139, 0.00830229, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.934518] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [26] 1760397814934419, 2.80629, 0.0349896, -0.346835, -0.30892, -0.999832, -0.00836306, 0.0140139, 0.00830229, 0.0178204, 0.00719486, -0.00765329, 0, 0, -0.0594528, 
[2025-10-13 19:23:34.935707] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [27] 1760397814935601, 2.80747, 0.0349896, -0.346835, -0.30892, -0.999832, -0.00836306, 0.0140139, 0.00830229, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.938385] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [28] 1760397814938284, 2.81015, 0.0349896, -0.346835, -0.30892, -0.999832, -0.00836306, 0.0140139, 0.00830229, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.941480] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [29] 1760397814941361, 2.81323, 0.0349848, -0.346844, -0.308978, -0.999833, -0.00839419, 0.0139756, 0.00827925, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.944403] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [31] 1760397814944314, 2.81618, 0.0349848, -0.346844, -0.308978, -0.999833, -0.00839419, 0.0139756, 0.00827925, 0, 0, -0.00580542, 0, 0, 0, 
[2025-10-13 19:23:34.947188] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [32] 1760397814947076, 2.81894, 0.0349848, -0.346844, -0.308978, -0.999833, -0.00839419, 0.0139756, 0.00827925, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.949702] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [33] 1760397814949592, 2.82146, 0.035018, -0.346832, -0.308959, -0.999833, -0.00835512, 0.0140153, 0.00826181, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.952423] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [34] 1760397814952314, 2.82418, 0.035018, -0.346832, -0.308959, -0.999833, -0.00835512, 0.0140153, 0.00826181, 0.00332182, 0, 0, 0, 0, 0, 
[2025-10-13 19:23:34.956707] [0x0000007fadf8f9a0] [MocapTag] [0x000009e1] [36] 1760397814956597, 2.82847, 0.035018, -0.346832, -0.308959, -0.999833, -0.00835512, 0.0140153, 0.00826181, 0, 0, 0, 0, 0, 0, 
