[2025-10-13 19:58:46.575214] [0x0000007f9e79e7c0] [MocapTag] [0x000028bb] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 19:58:46.578498] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [3] 1760399926578318, 0.057502, 0.0108179, -0.3554, -0.309526, -0.999817, -0.00539691, 0.0119217, 0.0139657, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.581087] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [5] 1760399926580968, 0.060152, 0.0108179, -0.3554, -0.309526, -0.999817, -0.00539691, 0.0119217, 0.0139657, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.583464] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [7] 1760399926583351, 0.062535, 0.0108179, -0.3554, -0.309526, -0.999817, -0.00539691, 0.0119217, 0.0139657, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.586219] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [8] 1760399926586109, 0.065293, 0.0108179, -0.3554, -0.309526, -0.999817, -0.00539691, 0.0119217, 0.0139657, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.588791] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [9] 1760399926588683, 0.067867, 0.0108157, -0.355386, -0.30952, -0.999816, -0.00544542, 0.0119396, 0.0139777, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.591690] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [10] 1760399926591602, 0.070786, 0.0108157, -0.355386, -0.30952, -0.999816, -0.00544542, 0.0119396, 0.0139777, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.594827] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [12] 1760399926594711, 0.073895, 0.0108157, -0.355386, -0.30952, -0.999816, -0.00544542, 0.0119396, 0.0139777, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.597432] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [13] 1760399926597316, 0.0765, 0.0108157, -0.355386, -0.30952, -0.999816, -0.00544542, 0.0119396, 0.0139777, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.599917] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [14] 1760399926599808, 0.078992, 0.0108069, -0.355381, -0.30952, -0.999817, -0.00542071, 0.0119219, 0.0139621, 0, 0, 0, 0, 0, 0, 
[2025-10-13 19:58:46.603081] [0x0000007f8def99a0] [MocapTag] [0x000028bb] [16] 1760399926602966, 0.08215, 0.0108069, -0.355381, -0.30952, -0.999817, -0.00542071, 0.0119219, 0.0139621, 0, 0, 0, 0, 0, 0, 
