[2025-10-13 20:02:13.503944] [0x0000007fb05557c0] [MocapTag] [0x00002ed4] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:02:13.507784] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [3] 1760400133507601, 0.058071, 0.0381511, -0.367479, -0.309673, -0.999735, -0.00955798, 0.00896932, 0.0189087, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.510375] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [6] 1760400133510306, 0.060776, 0.0381449, -0.367475, -0.309676, -0.999735, -0.00956162, 0.00898436, 0.0189, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.513232] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [7] 1760400133513097, 0.063567, 0.0381449, -0.367475, -0.309676, -0.999735, -0.00956162, 0.00898436, 0.0189, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.515861] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [8] 1760400133515714, 0.066184, 0.0381449, -0.367475, -0.309676, -0.999735, -0.00956162, 0.00898436, 0.0189, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.518314] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [9] 1760400133518209, 0.068679, 0.0381449, -0.367475, -0.309676, -0.999735, -0.00956162, 0.00898436, 0.0189, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.520885] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [11] 1760400133520796, 0.071266, 0.0381404, -0.367471, -0.309679, -0.999735, -0.00956158, 0.00895763, 0.0189279, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.523731] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [12] 1760400133523619, 0.074089, 0.0381404, -0.367471, -0.309679, -0.999735, -0.00956158, 0.00895763, 0.0189279, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.526459] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [13] 1760400133526347, 0.076817, 0.0381404, -0.367471, -0.309679, -0.999735, -0.00956158, 0.00895763, 0.0189279, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.528944] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [14] 1760400133528833, 0.079303, 0.038134, -0.367465, -0.309677, -0.999735, -0.00956264, 0.00895099, 0.0189128, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:02:13.531946] [0x0000007f977fd9a0] [MocapTag] [0x00002ed4] [16] 1760400133531830, 0.0823, 0.038134, -0.367465, -0.309677, -0.999735, -0.00956264, 0.00895099, 0.0189128, 0, 0, 0, 0, 0, 0, 
