[2025-10-13 20:07:12.397634] [0x0000007fbbd047c0] [MocapTag] [0x00003710] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:07:12.400901] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [3] 1760400432400708, 0.057584, -0.00964029, -0.356726, -0.30994, -0.999733, -0.00891566, 0.0106204, 0.0184985, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.403396] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [6] 1760400432403301, 0.060177, -0.00964029, -0.356726, -0.30994, -0.999733, -0.00891566, 0.0106204, 0.0184985, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.406079] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [7] 1760400432405968, 0.062844, -0.00964029, -0.356726, -0.30994, -0.999733, -0.00891566, 0.0106204, 0.0184985, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.408927] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [8] 1760400432408817, 0.065693, -0.00964029, -0.356726, -0.30994, -0.999733, -0.00891566, 0.0106204, 0.0184985, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.411630] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [9] 1760400432411519, 0.068395, -0.00963304, -0.356714, -0.309942, -0.999732, -0.00893326, 0.0106271, 0.0185394, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.414497] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [11] 1760400432414387, 0.071263, -0.00963304, -0.356714, -0.309942, -0.999732, -0.00893326, 0.0106271, 0.0185394, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.417772] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [12] 1760400432417655, 0.074531, -0.00963304, -0.356714, -0.309942, -0.999732, -0.00893326, 0.0106271, 0.0185394, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.420456] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [13] 1760400432420342, 0.077218, -0.00963838, -0.356716, -0.309922, -0.999732, -0.00892741, 0.0106071, 0.0185144, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.423497] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [15] 1760400432423438, 0.080314, -0.00963838, -0.356716, -0.309922, -0.999732, -0.00892741, 0.0106071, 0.0185144, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.426808] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [16] 1760400432426694, 0.08357, -0.00963838, -0.356716, -0.309922, -0.999732, -0.00892741, 0.0106071, 0.0185144, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.429323] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [17] 1760400432429215, 0.086091, -0.00963838, -0.356716, -0.309922, -0.999732, -0.00892741, 0.0106071, 0.0185144, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.431780] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [18] 1760400432431678, 0.088554, -0.00963498, -0.356707, -0.309935, -0.999732, -0.00893774, 0.0106019, 0.018527, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.434837] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [20] 1760400432434723, 0.091599, -0.00963498, -0.356707, -0.309935, -0.999732, -0.00893774, 0.0106019, 0.018527, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.437498] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [21] 1760400432437388, 0.094264, -0.00963498, -0.356707, -0.309935, -0.999732, -0.00893774, 0.0106019, 0.018527, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.440079] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [22] 1760400432439969, 0.096845, -0.00976199, -0.35582, -0.311083, -0.999072, -0.0199295, 0.0199571, 0.0325418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.442956] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [23] 1760400432442840, 0.099716, -0.00976199, -0.35582, -0.311083, -0.999072, -0.0199295, 0.0199571, 0.0325418, -0.0127014, 0.0887771, -0.114825, 2.10826, 1.9655, 2.74551, 
[2025-10-13 20:07:12.445938] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [25] 1760400432445829, 0.102705, -0.00976199, -0.35582, -0.311083, -0.999072, -0.0199295, 0.0199571, 0.0325418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.449346] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [26] 1760400432449238, 0.106114, -0.00976199, -0.35582, -0.311083, -0.999072, -0.0199295, 0.0199571, 0.0325418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:07:12.452095] [0x0000007faaffc9a0] [MocapTag] [0x00003710] [27] 1760400432451986, 0.108862, -0.00974496, -0.355889, -0.311108, -0.999089, -0.0196188, 0.0198981, 0.032256, 0, 0, 0, 0, 0, 0, 
