[2025-10-13 20:17:00.592888] [0x0000007fa49ba7c0] [MocapTag] [0x000008b6] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:17:00.596268] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [3] 1760401020596088, 0.086058, 0.0213932, -0.348441, -0.310678, -0.999655, -0.0125128, 0.018, 0.0144888, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.598668] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [5] 1760401020598545, 0.088515, 0.0213948, -0.348454, -0.310683, -0.999655, -0.0124705, 0.0180563, 0.0144187, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.601589] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [6] 1760401020601471, 0.091441, 0.0213948, -0.348454, -0.310683, -0.999655, -0.0124705, 0.0180563, 0.0144187, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.603950] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [7] 1760401020603841, 0.093811, 0.0213948, -0.348454, -0.310683, -0.999655, -0.0124705, 0.0180563, 0.0144187, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.606605] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [9] 1760401020606541, 0.096511, 0.0213948, -0.348454, -0.310683, -0.999655, -0.0124705, 0.0180563, 0.0144187, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.609208] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [10] 1760401020609098, 0.099068, 0.0214066, -0.348449, -0.310703, -0.999654, -0.0124924, 0.0181123, 0.0144461, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.612080] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [11] 1760401020611957, 0.101927, 0.0214066, -0.348449, -0.310703, -0.999654, -0.0124924, 0.0181123, 0.0144461, 0, 0, -0.00207244, 0, 0, 0, 
[2025-10-13 20:17:00.614687] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [12] 1760401020614579, 0.104549, 0.0214066, -0.348449, -0.310703, -0.999654, -0.0124924, 0.0181123, 0.0144461, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.617363] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [14] 1760401020617250, 0.10722, 0.0213697, -0.348447, -0.310691, -0.999656, -0.0125039, 0.0179411, 0.0144937, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.620082] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [15] 1760401020619971, 0.109941, 0.0213697, -0.348447, -0.310691, -0.999656, -0.0125039, 0.0179411, 0.0144937, -0.0036902, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.622538] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [16] 1760401020622425, 0.112395, 0.0213697, -0.348447, -0.310691, -0.999656, -0.0125039, 0.0179411, 0.0144937, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.625315] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [17] 1760401020625207, 0.115177, 0.0213697, -0.348447, -0.310691, -0.999656, -0.0125039, 0.0179411, 0.0144937, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.628071] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [19] 1760401020627956, 0.117926, 0.0214009, -0.348452, -0.310678, -0.999654, -0.0124936, 0.0181157, 0.014424, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.630747] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [20] 1760401020630634, 0.120604, 0.0214009, -0.348452, -0.310678, -0.999654, -0.0124936, 0.0181157, 0.014424, 0.00311748, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.633355] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [21] 1760401020633245, 0.123215, 0.0214009, -0.348452, -0.310678, -0.999654, -0.0124936, 0.0181157, 0.014424, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.636019] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [22] 1760401020635934, 0.125904, 0.0214009, -0.348452, -0.310678, -0.999654, -0.0124936, 0.0181157, 0.014424, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.638598] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [24] 1760401020638487, 0.128457, 0.0214355, -0.348453, -0.310712, -0.999649, -0.0125676, 0.0182287, 0.0145331, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.641536] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [25] 1760401020641428, 0.131398, 0.0214355, -0.348453, -0.310712, -0.999649, -0.0125676, 0.0182287, 0.0145331, 0.00346706, 0, -0.0033882, 0, 0, 0, 
[2025-10-13 20:17:00.644112] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [26] 1760401020644001, 0.133971, 0.0214355, -0.348453, -0.310712, -0.999649, -0.0125676, 0.0182287, 0.0145331, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.646658] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [28] 1760401020646597, 0.136567, 0.0213816, -0.348434, -0.310681, -0.999655, -0.0125428, 0.0178987, 0.0145998, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.649787] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [29] 1760401020649676, 0.139646, 0.0213816, -0.348434, -0.310681, -0.999655, -0.0125428, 0.0178987, 0.0145998, -0.00539164, 0, 0.00307877, 0, -0.0658974, 0, 
[2025-10-13 20:17:00.652754] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [30] 1760401020652612, 0.142582, 0.0213816, -0.348434, -0.310681, -0.999655, -0.0125428, 0.0178987, 0.0145998, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.655649] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [31] 1760401020655542, 0.145512, 0.0213816, -0.348434, -0.310681, -0.999655, -0.0125428, 0.0178987, 0.0145998, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.658260] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [33] 1760401020658150, 0.14812, 0.0213766, -0.348443, -0.310672, -0.999656, -0.0124768, 0.0179787, 0.0144498, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.661052] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [34] 1760401020660943, 0.150913, 0.0213766, -0.348443, -0.310672, -0.999656, -0.0124768, 0.0179787, 0.0144498, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.663533] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [35] 1760401020663427, 0.153397, 0.0213766, -0.348443, -0.310672, -0.999656, -0.0124768, 0.0179787, 0.0144498, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.669198] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [37] 1760401020669075, 0.159045, 0.0213766, -0.348443, -0.310672, -0.999656, -0.0124768, 0.0179787, 0.0144498, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.669841] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [38] 1760401020669739, 0.159709, 0.0214064, -0.348422, -0.310683, -0.999653, -0.0125543, 0.0180523, 0.014527, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.672327] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [39] 1760401020672205, 0.162175, 0.0214064, -0.348422, -0.310683, -0.999653, -0.0125543, 0.0180523, 0.014527, 0.00297716, 0.00213166, 0, 0, 0, 0, 
[2025-10-13 20:17:00.675053] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [40] 1760401020674944, 0.164914, 0.0214064, -0.348422, -0.310683, -0.999653, -0.0125543, 0.0180523, 0.014527, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.677738] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [42] 1760401020677621, 0.167591, 0.0213896, -0.348446, -0.31068, -0.999653, -0.0125406, 0.0179883, 0.0145755, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.680582] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [43] 1760401020680470, 0.17044, 0.0213896, -0.348446, -0.31068, -0.999653, -0.0125406, 0.0179883, 0.0145755, 0, -0.00239287, 0, 0, 0, 0, 
[2025-10-13 20:17:00.683192] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [44] 1760401020683088, 0.173058, 0.0213896, -0.348446, -0.31068, -0.999653, -0.0125406, 0.0179883, 0.0145755, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.688279] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [46] 1760401020688157, 0.178127, 0.0213896, -0.348446, -0.31068, -0.999653, -0.0125406, 0.0179883, 0.0145755, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.688967] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [47] 1760401020688859, 0.178829, 0.021415, -0.348439, -0.310695, -0.999652, -0.0125319, 0.0181238, 0.0145225, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.691439] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [48] 1760401020691321, 0.181291, 0.021415, -0.348439, -0.310695, -0.999652, -0.0125319, 0.0181238, 0.0145225, 0.00254072, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.693979] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [49] 1760401020693869, 0.183839, 0.021415, -0.348439, -0.310695, -0.999652, -0.0125319, 0.0181238, 0.0145225, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.696551] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [51] 1760401020696493, 0.186463, 0.021415, -0.348439, -0.310695, -0.999652, -0.0125319, 0.0181238, 0.0145225, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.699130] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [52] 1760401020699017, 0.188987, 0.0214017, -0.348487, -0.310725, -0.999654, -0.0124169, 0.0181863, 0.0143747, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:17:00.701725] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [53] 1760401020701614, 0.191584, 0.0214017, -0.348487, -0.310725, -0.999654, -0.0124169, 0.0181863, 0.0143747, 0, -0.00479175, -0.00303427, 0, 0, 0, 
[2025-10-13 20:17:00.704311] [0x0000007f83ffe9a0] [MocapTag] [0x000008b6] [54] 1760401020704204, 0.194174, 0.0214017, -0.348487, -0.310725, -0.999654, -0.0124169, 0.0181863, 0.0143747, 0, 0, 0, 0, 0, 0, 
