[2025-10-13 20:19:49.841174] [0x0000007f7ff327c0] [MocapTag] [0x00000e4e] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:19:49.844134] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [3] 1760401189843959, 0.051345, 0.0132476, -0.35743, -0.310895, -0.999419, -0.0118763, 0.00859727, 0.0307687, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.846830] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [5] 1760401189846708, 0.054094, 0.0132476, -0.35743, -0.310895, -0.999419, -0.0118763, 0.00859727, 0.0307687, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.849302] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [6] 1760401189849192, 0.056578, 0.0132452, -0.357422, -0.310898, -0.999417, -0.0118682, 0.00852963, 0.0308495, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.852079] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [8] 1760401189851962, 0.059348, 0.0132452, -0.357422, -0.310898, -0.999417, -0.0118682, 0.00852963, 0.0308495, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.854432] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [9] 1760401189854326, 0.061712, 0.0132452, -0.357422, -0.310898, -0.999417, -0.0118682, 0.00852963, 0.0308495, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.857292] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [10] 1760401189857186, 0.064572, 0.0132452, -0.357422, -0.310898, -0.999417, -0.0118682, 0.00852963, 0.0308495, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.860460] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [11] 1760401189860374, 0.06776, 0.0132378, -0.357431, -0.310892, -0.999417, -0.0118686, 0.00851147, 0.0308538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.862876] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [13] 1760401189862766, 0.070152, 0.0132378, -0.357431, -0.310892, -0.999417, -0.0118686, 0.00851147, 0.0308538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.865438] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [14] 1760401189865330, 0.072716, 0.0132378, -0.357431, -0.310892, -0.999417, -0.0118686, 0.00851147, 0.0308538, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.867908] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [15] 1760401189867804, 0.07519, 0.0132521, -0.357404, -0.31089, -0.999409, -0.0119222, 0.00833784, 0.0311318, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.870804] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [16] 1760401189870704, 0.07809, 0.0132521, -0.357404, -0.31089, -0.999409, -0.0119222, 0.00833784, 0.0311318, 0, 0.00273911, 0, 0, 0, 0.055927, 
[2025-10-13 20:19:49.873699] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [18] 1760401189873587, 0.080973, 0.0132521, -0.357404, -0.31089, -0.999409, -0.0119222, 0.00833784, 0.0311318, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.876479] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [19] 1760401189876375, 0.083761, 0.0132521, -0.357404, -0.31089, -0.999409, -0.0119222, 0.00833784, 0.0311318, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.878969] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [20] 1760401189878860, 0.086246, 0.0134465, -0.35754, -0.311203, -0.999421, -0.0116342, 0.0103737, 0.0302319, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.881810] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [22] 1760401189881700, 0.089086, 0.0134465, -0.35754, -0.311203, -0.999421, -0.0116342, 0.0103737, 0.0302319, 0.0194393, -0.0136196, -0.0312256, -0.0682116, 0.403142, -0.183969, 
[2025-10-13 20:19:49.884374] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [23] 1760401189884261, 0.091647, 0.0134465, -0.35754, -0.311203, -0.999421, -0.0116342, 0.0103737, 0.0302319, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.887283] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [24] 1760401189887173, 0.094559, 0.0134465, -0.35754, -0.311203, -0.999421, -0.0116342, 0.0103737, 0.0302319, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.889548] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [25] 1760401189889442, 0.096828, 0.0132163, -0.357433, -0.310901, -0.999422, -0.0118662, 0.00869128, 0.0306392, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.892400] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [27] 1760401189892275, 0.099661, 0.0132163, -0.357433, -0.310901, -0.999422, -0.0118662, 0.00869128, 0.0306392, -0.0230195, 0.0107583, 0.0301572, 0.0557184, -0.333981, 0.0847079, 
[2025-10-13 20:19:49.894833] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [28] 1760401189894724, 0.10211, 0.0132163, -0.357433, -0.310901, -0.999422, -0.0118662, 0.00869128, 0.0306392, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.897415] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [29] 1760401189897312, 0.104698, 0.0132163, -0.357433, -0.310901, -0.999422, -0.0118662, 0.00869128, 0.0306392, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.900851] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [31] 1760401189900771, 0.108157, 0.0132279, -0.357429, -0.310898, -0.99942, -0.0118501, 0.00859041, 0.0307586, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.902873] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [32] 1760401189902761, 0.110147, 0.0132279, -0.357429, -0.310898, -0.99942, -0.0118501, 0.00859041, 0.0307586, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.905814] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [33] 1760401189905692, 0.113078, 0.0132279, -0.357429, -0.310898, -0.99942, -0.0118501, 0.00859041, 0.0307586, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.908692] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [34] 1760401189908583, 0.115969, 0.0132466, -0.357435, -0.310901, -0.999416, -0.0118536, 0.00850304, 0.0309156, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:19:49.911746] [0x0000007f66ffc9a0] [MocapTag] [0x00000e4e] [36] 1760401189911634, 0.11902, 0.0132466, -0.357435, -0.310901, -0.999416, -0.0118536, 0.00850304, 0.0309156, 0, 0, 0, 0, 0, 0, 
