[2025-10-13 20:22:22.120401] [0x0000007fa94857c0] [MocapTag] [0x000012d0] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:22:22.125013] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [4] 1760401342124868, 0.057808, -0.0115837, -0.320438, -0.310815, -0.99956, -0.0132168, 0.0197947, 0.0177215, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.128610] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [6] 1760401342128488, 0.061428, -0.0115837, -0.320438, -0.310815, -0.99956, -0.0132168, 0.0197947, 0.0177215, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.130445] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [7] 1760401342130331, 0.063271, -0.011576, -0.320454, -0.310833, -0.99956, -0.0131592, 0.0198841, 0.0176301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.133231] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [8] 1760401342133122, 0.066062, -0.011576, -0.320454, -0.310833, -0.99956, -0.0131592, 0.0198841, 0.0176301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.135638] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [9] 1760401342135533, 0.068473, -0.011576, -0.320454, -0.310833, -0.99956, -0.0131592, 0.0198841, 0.0176301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.138713] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [11] 1760401342138600, 0.07154, -0.011576, -0.320454, -0.310833, -0.99956, -0.0131592, 0.0198841, 0.0176301, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.142632] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [12] 1760401342142522, 0.075462, -0.011564, -0.320439, -0.310815, -0.999558, -0.0132217, 0.019871, 0.0177064, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.143873] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [13] 1760401342143765, 0.076705, -0.011564, -0.320439, -0.310815, -0.999558, -0.0132217, 0.019871, 0.0177064, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.146590] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [14] 1760401342146469, 0.079409, -0.011564, -0.320439, -0.310815, -0.999558, -0.0132217, 0.019871, 0.0177064, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.150076] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [16] 1760401342149966, 0.082906, -0.0115654, -0.320433, -0.310834, -0.999557, -0.0132397, 0.0198749, 0.0177564, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.152015] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [17] 1760401342151912, 0.084852, -0.0115654, -0.320433, -0.310834, -0.999557, -0.0132397, 0.0198749, 0.0177564, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.155157] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [18] 1760401342155050, 0.08799, -0.0115654, -0.320433, -0.310834, -0.999557, -0.0132397, 0.0198749, 0.0177564, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.158680] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [20] 1760401342158568, 0.091508, -0.0115654, -0.320433, -0.310834, -0.999557, -0.0132397, 0.0198749, 0.0177564, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.160691] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [21] 1760401342160577, 0.093517, -0.0115628, -0.320437, -0.310818, -0.999558, -0.0132066, 0.0198834, 0.0176943, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.163731] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [22] 1760401342163622, 0.096562, -0.0115628, -0.320437, -0.310818, -0.999558, -0.0132066, 0.0198834, 0.0176943, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.171934] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [24] 1760401342171810, 0.10475, -0.0115628, -0.320437, -0.310818, -0.999558, -0.0132066, 0.0198834, 0.0176943, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.172540] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [25] 1760401342172427, 0.105367, -0.0119346, -0.320747, -0.310856, -0.999619, -0.0119718, 0.0189459, 0.0160891, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.173203] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [26] 1760401342173086, 0.106026, -0.0119346, -0.320747, -0.310856, -0.999619, -0.0119718, 0.0189459, 0.0160891, -0.0371761, -0.0310256, -0.00375808, -0.237751, -0.195543, -0.314231, 
[2025-10-13 20:22:22.175846] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [27] 1760401342175734, 0.108674, -0.0119346, -0.320747, -0.310856, -0.999619, -0.0119718, 0.0189459, 0.0160891, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.178447] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [29] 1760401342178329, 0.111269, -0.0119346, -0.320747, -0.310856, -0.999619, -0.0119718, 0.0189459, 0.0160891, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.182185] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [30] 1760401342182074, 0.115014, -0.0119588, -0.320755, -0.310844, -0.999619, -0.0119647, 0.0189536, 0.0161346, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.183823] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [31] 1760401342183705, 0.116645, -0.0119588, -0.320755, -0.310844, -0.999619, -0.0119647, 0.0189536, 0.0161346, -0.00241629, 0, 0, 0, 0, 0, 
[2025-10-13 20:22:22.187185] [0x0000007fa4b5e9a0] [MocapTag] [0x000012d0] [32] 1760401342187088, 0.120028, -0.0119588, -0.320755, -0.310844, -0.999619, -0.0119647, 0.0189536, 0.0161346, 0, 0, 0, 0, 0, 0, 
