[2025-10-13 20:24:04.288773] [0x0000007fa357c7c0] [MocapTag] [0x000015cf] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:24:04.291712] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [3] 1760401444291542, 0.050567, 0.0214462, -0.370719, -0.309702, -0.999663, -0.00770873, 0.0100832, -0.0226572, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.294452] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [5] 1760401444294332, 0.053357, 0.0214462, -0.370719, -0.309702, -0.999663, -0.00770873, 0.0100832, -0.0226572, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.297171] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [6] 1760401444297054, 0.056079, 0.0214462, -0.370719, -0.309702, -0.999663, -0.00770873, 0.0100832, -0.0226572, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.299870] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [8] 1760401444299754, 0.058779, 0.0215182, -0.370643, -0.309716, -0.999657, -0.00764473, 0.0100264, -0.0229418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.303346] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [9] 1760401444303234, 0.062259, 0.0215182, -0.370643, -0.309716, -0.999657, -0.00764473, 0.0100264, -0.0229418, 0.00720064, 0.00755505, 0, 0, 0, -0.056725, 
[2025-10-13 20:24:04.305027] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [10] 1760401444304904, 0.063929, 0.0215182, -0.370643, -0.309716, -0.999657, -0.00764473, 0.0100264, -0.0229418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.307914] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [11] 1760401444307802, 0.066827, 0.0215182, -0.370643, -0.309716, -0.999657, -0.00764473, 0.0100264, -0.0229418, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.311987] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [13] 1760401444311873, 0.070898, 0.0215237, -0.370647, -0.309711, -0.999657, -0.00762035, 0.0100247, -0.0229704, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.313351] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [14] 1760401444313221, 0.072246, 0.0215237, -0.370647, -0.309711, -0.999657, -0.00762035, 0.0100247, -0.0229704, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.316298] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [15] 1760401444316181, 0.075206, 0.0215237, -0.370647, -0.309711, -0.999657, -0.00762035, 0.0100247, -0.0229704, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.318576] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [16] 1760401444318487, 0.077512, 0.0215237, -0.370647, -0.309711, -0.999657, -0.00762035, 0.0100247, -0.0229704, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:24:04.321319] [0x0000007f927fb9a0] [MocapTag] [0x000015cf] [18] 1760401444321196, 0.080221, 0.0214387, -0.370711, -0.3097, -0.999662, -0.00771977, 0.0100717, -0.0226723, 0, 0, 0, 0, 0, 0, 
