[2025-10-13 20:31:35.952323] [0x0000007fb371a7c0] [MocapTag] [0x0000068f] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:31:35.955586] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [3] 1760401895955399, 0.077298, 0.0346063, -0.37318, -0.310729, -0.998161, -0.00878795, 0.00127584, 0.0599664, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.959118] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [5] 1760401895958995, 0.080894, 0.0346063, -0.37318, -0.310729, -0.998161, -0.00878795, 0.00127584, 0.0599664, -0.0108322, 0.00311189, 0.00676529, 0, -0.0563277, 0, 
[2025-10-13 20:31:35.961576] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [7] 1760401895961461, 0.08336, 0.0346063, -0.37318, -0.310729, -0.998161, -0.00878795, 0.00127584, 0.0599664, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.964271] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [8] 1760401895964158, 0.086057, 0.0345899, -0.373198, -0.310732, -0.998175, -0.00874875, 0.00147095, 0.0597275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.966998] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [9] 1760401895966889, 0.088788, 0.0345899, -0.373198, -0.310732, -0.998175, -0.00874875, 0.00147095, 0.0597275, 0, 0, 0, 0, 0.0380653, -0.0481792, 
[2025-10-13 20:31:35.969441] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [10] 1760401895969379, 0.091278, 0.0345899, -0.373198, -0.310732, -0.998175, -0.00874875, 0.00147095, 0.0597275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.972133] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [12] 1760401895972024, 0.093923, 0.0345899, -0.373198, -0.310732, -0.998175, -0.00874875, 0.00147095, 0.0597275, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.974855] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [13] 1760401895974749, 0.096648, 0.0346159, -0.373199, -0.310722, -0.998164, -0.00872399, 0.0012454, 0.059922, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.977887] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [14] 1760401895977774, 0.099673, 0.0346159, -0.373199, -0.310722, -0.998164, -0.00872399, 0.0012454, 0.059922, 0.00259802, 0, 0, 0, -0.0449876, 0.0393488, 
[2025-10-13 20:31:35.980703] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [16] 1760401895980593, 0.102492, 0.0346159, -0.373199, -0.310722, -0.998164, -0.00872399, 0.0012454, 0.059922, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:31:35.983523] [0x0000007fa27fb9a0] [MocapTag] [0x0000068f] [17] 1760401895983368, 0.105267, 0.0346159, -0.373199, -0.310722, -0.998164, -0.00872399, 0.0012454, 0.059922, 0, 0, 0, 0, 0, 0, 
