[2025-10-13 20:34:15.395395] [0x0000007fba9397c0] [MocapTag] [0x00000b18] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:34:15.398601] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [3] 1760402055398416, 0.050662, 0.00218526, -0.368994, -0.310079, -0.99936, -0.00490362, 0.0186314, 0.0301321, 0.00224204, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.401483] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [5] 1760402055401342, 0.053588, 0.00218526, -0.368994, -0.310079, -0.99936, -0.00490362, 0.0186314, 0.0301321, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.404123] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [6] 1760402055404008, 0.056254, 0.00218526, -0.368994, -0.310079, -0.99936, -0.00490362, 0.0186314, 0.0301321, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.406723] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [8] 1760402055406610, 0.058856, 0.00218026, -0.368984, -0.31007, -0.99936, -0.00493371, 0.0186252, 0.0301305, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.409448] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [9] 1760402055409333, 0.061579, 0.00218026, -0.368984, -0.31007, -0.99936, -0.00493371, 0.0186252, 0.0301305, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.412066] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [10] 1760402055411955, 0.064201, 0.00218026, -0.368984, -0.31007, -0.99936, -0.00493371, 0.0186252, 0.0301305, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.414665] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [11] 1760402055414573, 0.066819, 0.00218026, -0.368984, -0.31007, -0.99936, -0.00493371, 0.0186252, 0.0301305, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.417654] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [13] 1760402055417533, 0.069779, 0.00218729, -0.368996, -0.310084, -0.999361, -0.00490922, 0.0186386, 0.0300863, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.420553] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [14] 1760402055420446, 0.072692, 0.00218729, -0.368996, -0.310084, -0.999361, -0.00490922, 0.0186386, 0.0300863, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:34:15.424136] [0x0000007fb1ffa9a0] [MocapTag] [0x00000b18] [15] 1760402055424024, 0.07627, 0.00218729, -0.368996, -0.310084, -0.999361, -0.00490922, 0.0186386, 0.0300863, 0, 0, 0, 0, 0, 0, 
