[2025-10-13 20:36:43.858787] [0x0000007f980be7c0] [MocapTag] [0x00000f53] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-13 20:36:43.862771] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [3] 1760402203862636, 0.051091, 0.0428603, -0.362537, -0.310577, -0.999257, -0.00871497, 0.0043575, 0.0372963, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.865477] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [5] 1760402203865361, 0.053816, 0.0428603, -0.362537, -0.310577, -0.999257, -0.00871497, 0.0043575, 0.0372963, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.868080] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [6] 1760402203867961, 0.056416, 0.042857, -0.362453, -0.310489, -0.999235, -0.00896733, 0.00378679, 0.0378869, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.870644] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [8] 1760402203870527, 0.058982, 0.042857, -0.362453, -0.310489, -0.999235, -0.00896733, 0.00378679, 0.0378869, 0, 0.0084633, 0.00886257, 0.0541925, -0.111135, 0.118936, 
[2025-10-13 20:36:43.873001] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [9] 1760402203872896, 0.061351, 0.042857, -0.362453, -0.310489, -0.999235, -0.00896733, 0.00378679, 0.0378869, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.875738] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [10] 1760402203875634, 0.064089, 0.0428857, -0.362531, -0.310592, -0.999251, -0.00869639, 0.00436756, 0.0374544, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.878694] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [11] 1760402203878605, 0.06706, 0.0428857, -0.362531, -0.310592, -0.999251, -0.00869639, 0.00436756, 0.0374544, 0.00287528, -0.00787122, -0.0103263, -0.0581264, 0.113278, -0.0873096, 
[2025-10-13 20:36:43.881191] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [13] 1760402203881079, 0.069534, 0.0428857, -0.362531, -0.310592, -0.999251, -0.00869639, 0.00436756, 0.0374544, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.883828] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [14] 1760402203883720, 0.072175, 0.0428857, -0.362531, -0.310592, -0.999251, -0.00869639, 0.00436756, 0.0374544, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.886361] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [15] 1760402203886261, 0.074716, 0.0428405, -0.362445, -0.310474, -0.999232, -0.00901496, 0.00364174, 0.0379503, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.889268] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [17] 1760402203889160, 0.077615, 0.0428405, -0.362445, -0.310474, -0.999232, -0.00901496, 0.00364174, 0.0379503, -0.00451916, 0.00865019, 0.011763, 0.0686884, -0.141793, 0.100191, 
[2025-10-13 20:36:43.891838] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [18] 1760402203891689, 0.080144, 0.0428405, -0.362445, -0.310474, -0.999232, -0.00901496, 0.00364174, 0.0379503, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.894593] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [19] 1760402203894479, 0.082934, 0.0428405, -0.362445, -0.310474, -0.999232, -0.00901496, 0.00364174, 0.0379503, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.897202] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [20] 1760402203897091, 0.085546, 0.0428629, -0.362451, -0.310485, -0.99923, -0.00900952, 0.00368501, 0.0380076, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.899984] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [22] 1760402203899863, 0.088318, 0.0428629, -0.362451, -0.310485, -0.99923, -0.00900952, 0.00368501, 0.0380076, 0.00223451, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.902377] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [23] 1760402203902274, 0.090729, 0.0428629, -0.362451, -0.310485, -0.99923, -0.00900952, 0.00368501, 0.0380076, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.905856] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [24] 1760402203905755, 0.09421, 0.0428629, -0.362451, -0.310485, -0.99923, -0.00900952, 0.00368501, 0.0380076, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.907675] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [25] 1760402203907561, 0.096016, 0.0427638, -0.362462, -0.3105, -0.999246, -0.00910727, 0.00421168, 0.0375025, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.910948] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [27] 1760402203910836, 0.099291, 0.0427638, -0.362462, -0.3105, -0.999246, -0.00910727, 0.00421168, 0.0375025, -0.00990481, 0, 0, 0, 0.105094, -0.102083, 
[2025-10-13 20:36:43.913145] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [28] 1760402203913028, 0.101483, 0.0427638, -0.362462, -0.3105, -0.999246, -0.00910727, 0.00421168, 0.0375025, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.915767] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [29] 1760402203915659, 0.104114, 0.0428167, -0.362527, -0.310567, -0.999254, -0.00880395, 0.0047082, 0.0373143, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.918560] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [30] 1760402203918464, 0.106919, 0.0428167, -0.362527, -0.310567, -0.999254, -0.00880395, 0.0047082, 0.0373143, 0.00528154, -0.00644817, -0.00672525, -0.0641346, 0.0966349, -0.0382133, 
[2025-10-13 20:36:43.921183] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [32] 1760402203921071, 0.109526, 0.0428167, -0.362527, -0.310567, -0.999254, -0.00880395, 0.0047082, 0.0373143, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.924255] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [33] 1760402203924149, 0.112604, 0.0428167, -0.362527, -0.310567, -0.999254, -0.00880395, 0.0047082, 0.0373143, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.929315] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [35] 1760402203929237, 0.117692, 0.0429748, -0.36247, -0.310153, -0.999084, -0.00858166, 0.000624395, 0.0419149, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.930445] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [36] 1760402203930326, 0.118781, 0.0429748, -0.36247, -0.310153, -0.999084, -0.00858166, 0.000624395, 0.0419149, 0.0158131, 0.00561222, 0.0414168, 0, -0.809953, 0.927792, 
[2025-10-13 20:36:43.932758] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [37] 1760402203932651, 0.121106, 0.0429748, -0.36247, -0.310153, -0.999084, -0.00858166, 0.000624395, 0.0419149, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.936556] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [38] 1760402203936447, 0.124902, 0.0429748, -0.36247, -0.310153, -0.999084, -0.00858166, 0.000624395, 0.0419149, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.939375] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [40] 1760402203939273, 0.127728, 0.0429757, -0.362491, -0.310155, -0.999085, -0.00848414, 0.000522055, 0.0419195, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.943623] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [41] 1760402203943509, 0.131964, 0.0429757, -0.362491, -0.310155, -0.999085, -0.00848414, 0.000522055, 0.0419195, 0, -0.00205082, 0, 0, 0, 0, 
[2025-10-13 20:36:43.946022] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [42] 1760402203945918, 0.134373, 0.0429757, -0.362491, -0.310155, -0.999085, -0.00848414, 0.000522055, 0.0419195, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.947771] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [43] 1760402203947666, 0.136121, 0.0427539, -0.362491, -0.310504, -0.999245, -0.0089972, 0.00404262, 0.0375763, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.950784] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [45] 1760402203950661, 0.139116, 0.0427539, -0.362491, -0.310504, -0.999245, -0.0089972, 0.00404262, 0.0375763, -0.0221777, 0, -0.034903, 0.07689, 0.700096, -0.875518, 
[2025-10-13 20:36:43.953954] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [46] 1760402203953842, 0.142297, 0.0427539, -0.362491, -0.310504, -0.999245, -0.0089972, 0.00404262, 0.0375763, 0, 0, 0, 0, 0, 0, 
[2025-10-13 20:36:43.956196] [0x0000007f8f7929a0] [MocapTag] [0x00000f53] [47] 1760402203956074, 0.144529, 0.0427353, -0.362492, -0.310442, -0.999232, -0.00901624, 0.00374611, 0.0379366, 0, 0, 0, 0, 0, 0, 
