[2025-10-20 10:50:17.740805] [0x0000007f947297c0] [MocapTag] [0x0000080a] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 10:50:17.744362] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [3] 1760971817744181, 2.78673, 0.104541, -0.24918, -0.324362, 0.706589, 0.707618, 0.0018844, 0.00220335, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.746602] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [5] 1760971817746480, 2.78903, 0.104536, -0.249211, -0.324328, 0.706651, 0.707557, 0.00181321, 0.00217063, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.749265] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [6] 1760971817749152, 2.7917, 0.104536, -0.249211, -0.324328, 0.706651, 0.707557, 0.00181321, 0.00217063, 0, -0.00313519, 0.00332248, 0, 0, 0, 
[2025-10-20 10:50:17.751967] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [8] 1760971817751839, 2.79439, 0.104536, -0.249211, -0.324328, 0.706651, 0.707557, 0.00181321, 0.00217063, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.755094] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [9] 1760971817754975, 2.79753, 0.104536, -0.249211, -0.324328, 0.706651, 0.707557, 0.00181321, 0.00217063, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.757795] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [10] 1760971817757659, 2.80021, 0.104541, -0.249167, -0.324359, 0.706629, 0.707578, 0.00185514, 0.00212429, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.760764] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [11] 1760971817760672, 2.80322, 0.104541, -0.249167, -0.324359, 0.706629, 0.707578, 0.00185514, 0.00212429, 0, 0.00439735, -0.0030254, 0, 0, 0, 
[2025-10-20 10:50:17.763550] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [13] 1760971817763434, 2.80599, 0.104541, -0.249167, -0.324359, 0.706629, 0.707578, 0.00185514, 0.00212429, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.765965] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [14] 1760971817765857, 2.80841, 0.104541, -0.249167, -0.324359, 0.706629, 0.707578, 0.00185514, 0.00212429, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.768524] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [15] 1760971817768413, 2.81097, 0.104549, -0.249176, -0.324375, 0.706542, 0.707666, 0.0018513, 0.00215412, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.771217] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [17] 1760971817771159, 2.81371, 0.104549, -0.249176, -0.324375, 0.706542, 0.707666, 0.0018513, 0.00215412, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.773941] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [18] 1760971817773828, 2.81638, 0.104549, -0.249176, -0.324375, 0.706542, 0.707666, 0.0018513, 0.00215412, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.776338] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [19] 1760971817776228, 2.81878, 0.104528, -0.249175, -0.324377, 0.706622, 0.707585, 0.00188893, 0.00214941, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.779504] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [20] 1760971817779391, 2.82194, 0.104528, -0.249175, -0.324377, 0.706622, 0.707585, 0.00188893, 0.00214941, -0.00209537, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.781803] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [22] 1760971817781683, 2.82424, 0.104528, -0.249175, -0.324377, 0.706622, 0.707585, 0.00188893, 0.00214941, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.784767] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [23] 1760971817784655, 2.82721, 0.104528, -0.249175, -0.324377, 0.706622, 0.707585, 0.00188893, 0.00214941, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.786848] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [24] 1760971817786739, 2.82929, 0.104535, -0.249205, -0.324329, 0.706631, 0.707577, 0.00181865, 0.00210013, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.789731] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [25] 1760971817789619, 2.83217, 0.104535, -0.249205, -0.324329, 0.706631, 0.707577, 0.00181865, 0.00210013, 0, -0.0029197, 0.00478223, 0, 0, 0, 
[2025-10-20 10:50:17.792504] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [27] 1760971817792390, 2.83494, 0.104535, -0.249205, -0.324329, 0.706631, 0.707577, 0.00181865, 0.00210013, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.795147] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [28] 1760971817795035, 2.83759, 0.104535, -0.249205, -0.324329, 0.706631, 0.707577, 0.00181865, 0.00210013, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.797468] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [29] 1760971817797364, 2.83992, 0.104541, -0.249181, -0.324359, 0.706587, 0.707621, 0.00186752, 0.00217056, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.800171] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [30] 1760971817800051, 2.8426, 0.104541, -0.249181, -0.324359, 0.706587, 0.707621, 0.00186752, 0.00217056, 0, 0.00237474, -0.00300786, 0, 0, 0, 
[2025-10-20 10:50:17.802698] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [32] 1760971817802562, 2.84511, 0.104541, -0.249181, -0.324359, 0.706587, 0.707621, 0.00186752, 0.00217056, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.805455] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [33] 1760971817805342, 2.84789, 0.104541, -0.249181, -0.324359, 0.706587, 0.707621, 0.00186752, 0.00217056, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.807835] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [34] 1760971817807727, 2.85028, 0.104534, -0.249197, -0.324301, 0.706578, 0.707629, 0.0018449, 0.00214745, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.810606] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [35] 1760971817810516, 2.85307, 0.104534, -0.249197, -0.324301, 0.706578, 0.707629, 0.0018449, 0.00214745, 0, 0, 0.00575015, 0, 0, 0, 
[2025-10-20 10:50:17.813139] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [37] 1760971817813028, 2.85558, 0.104534, -0.249197, -0.324301, 0.706578, 0.707629, 0.0018449, 0.00214745, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.815936] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [38] 1760971817815832, 2.85839, 0.104534, -0.249197, -0.324301, 0.706578, 0.707629, 0.0018449, 0.00214745, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.818442] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [39] 1760971817818327, 2.86088, 0.104551, -0.249161, -0.324391, 0.706421, 0.707785, 0.00194595, 0.00222526, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.821021] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [41] 1760971817820957, 2.86351, 0.104551, -0.249161, -0.324391, 0.706421, 0.707785, 0.00194595, 0.00222526, 0, 0.00359866, -0.00891595, 0.0442266, 0, 0, 
[2025-10-20 10:50:17.824002] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [42] 1760971817823890, 2.86644, 0.104551, -0.249161, -0.324391, 0.706421, 0.707785, 0.00194595, 0.00222526, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.826150] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [43] 1760971817826038, 2.86859, 0.10454, -0.249176, -0.324344, 0.706595, 0.707613, 0.00188311, 0.00217596, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.828712] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [44] 1760971817828603, 2.87116, 0.10454, -0.249176, -0.324344, 0.706595, 0.707613, 0.00188311, 0.00217596, 0, 0, 0.00464075, -0.0489831, 0, 0, 
[2025-10-20 10:50:17.831200] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [46] 1760971817831130, 2.87368, 0.10454, -0.249176, -0.324344, 0.706595, 0.707613, 0.00188311, 0.00217596, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.835170] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [47] 1760971817835059, 2.87761, 0.10454, -0.249176, -0.324344, 0.706595, 0.707613, 0.00188311, 0.00217596, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.836926] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [48] 1760971817836823, 2.87938, 0.104555, -0.249181, -0.32432, 0.706562, 0.707645, 0.00182747, 0.00219577, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.841764] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [50] 1760971817841650, 2.8842, 0.104555, -0.249181, -0.32432, 0.706562, 0.707645, 0.00182747, 0.00219577, 0, 0, 0.0023782, 0, 0, 0, 
[2025-10-20 10:50:17.845386] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [51] 1760971817845273, 2.88783, 0.104555, -0.249181, -0.32432, 0.706562, 0.707645, 0.00182747, 0.00219577, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.846287] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [52] 1760971817846173, 2.88873, 0.104555, -0.249181, -0.32432, 0.706562, 0.707645, 0.00182747, 0.00219577, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.848025] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [53] 1760971817847915, 2.89047, 0.104547, -0.249156, -0.324354, 0.706552, 0.707656, 0.00186856, 0.00211072, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.850587] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [54] 1760971817850489, 2.89304, 0.104547, -0.249156, -0.324354, 0.706552, 0.707656, 0.00186856, 0.00211072, 0, 0.00253424, -0.00332546, 0, 0, 0, 
[2025-10-20 10:50:17.853122] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [56] 1760971817853010, 2.89556, 0.104547, -0.249156, -0.324354, 0.706552, 0.707656, 0.00186856, 0.00211072, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.855827] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [57] 1760971817855718, 2.89827, 0.104547, -0.249156, -0.324354, 0.706552, 0.707656, 0.00186856, 0.00211072, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.858207] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [58] 1760971817858071, 2.90062, 0.104554, -0.249145, -0.324342, 0.706579, 0.707628, 0.00185825, 0.00218518, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.861721] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [59] 1760971817861636, 2.90419, 0.104554, -0.249145, -0.324342, 0.706579, 0.707628, 0.00185825, 0.00218518, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.863513] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [61] 1760971817863398, 2.90595, 0.104554, -0.249145, -0.324342, 0.706579, 0.707628, 0.00185825, 0.00218518, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.867654] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [62] 1760971817867542, 2.9101, 0.10456, -0.249149, -0.324354, 0.706526, 0.707681, 0.00185764, 0.00211884, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.868995] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [63] 1760971817868867, 2.91142, 0.10456, -0.249149, -0.324354, 0.706526, 0.707681, 0.00185764, 0.00211884, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.871608] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [65] 1760971817871466, 2.91402, 0.10456, -0.249149, -0.324354, 0.706526, 0.707681, 0.00185764, 0.00211884, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.874052] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [66] 1760971817873933, 2.91649, 0.10456, -0.249149, -0.324354, 0.706526, 0.707681, 0.00185764, 0.00211884, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.876487] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [67] 1760971817876377, 2.91893, 0.104556, -0.249143, -0.324385, 0.706449, 0.707759, 0.00191332, 0.00213029, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.879217] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [68] 1760971817879110, 2.92166, 0.104556, -0.249143, -0.324385, 0.706449, 0.707759, 0.00191332, 0.00213029, 0, 0, -0.00308632, 0, 0, 0, 
[2025-10-20 10:50:17.882468] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [70] 1760971817882351, 2.9249, 0.104556, -0.249143, -0.324385, 0.706449, 0.707759, 0.00191332, 0.00213029, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.885262] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [71] 1760971817885152, 2.92771, 0.104556, -0.249143, -0.324385, 0.706449, 0.707759, 0.00191332, 0.00213029, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.887630] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [72] 1760971817887520, 2.93007, 0.104546, -0.249171, -0.324352, 0.706573, 0.707634, 0.00186579, 0.00216433, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.890355] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [73] 1760971817890234, 2.93279, 0.104546, -0.249171, -0.324352, 0.706573, 0.707634, 0.00186579, 0.00216433, 0, -0.00280821, 0.00329436, -0.0351906, 0, 0, 
[2025-10-20 10:50:17.892877] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [75] 1760971817892764, 2.93532, 0.104546, -0.249171, -0.324352, 0.706573, 0.707634, 0.00186579, 0.00216433, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.895612] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [76] 1760971817895500, 2.93805, 0.104546, -0.249171, -0.324352, 0.706573, 0.707634, 0.00186579, 0.00216433, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.898237] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [77] 1760971817898077, 2.94063, 0.104534, -0.249176, -0.324346, 0.706607, 0.707601, 0.00191073, 0.00221214, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.900960] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [78] 1760971817900873, 2.94343, 0.104534, -0.249176, -0.324346, 0.706607, 0.707601, 0.00191073, 0.00221214, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.904317] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [80] 1760971817904206, 2.94676, 0.104534, -0.249176, -0.324346, 0.706607, 0.707601, 0.00191073, 0.00221214, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.906349] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [81] 1760971817906238, 2.94879, 0.10453, -0.249204, -0.32438, 0.706619, 0.707589, 0.00188302, 0.0021189, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.909658] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [82] 1760971817909545, 2.9521, 0.10453, -0.249204, -0.32438, 0.706619, 0.707589, 0.00188302, 0.0021189, 0, -0.002809, -0.00331644, 0, 0, 0, 
[2025-10-20 10:50:17.912155] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [84] 1760971817912033, 2.95459, 0.10453, -0.249204, -0.32438, 0.706619, 0.707589, 0.00188302, 0.0021189, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.914898] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [85] 1760971817914741, 2.95729, 0.10453, -0.249204, -0.32438, 0.706619, 0.707589, 0.00188302, 0.0021189, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.917386] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [86] 1760971817917273, 2.95983, 0.104542, -0.249202, -0.324383, 0.706613, 0.707595, 0.00186634, 0.00213728, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.920246] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [87] 1760971817920129, 2.96268, 0.104542, -0.249202, -0.324383, 0.706613, 0.707595, 0.00186634, 0.00213728, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.922684] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [89] 1760971817922563, 2.96512, 0.104542, -0.249202, -0.324383, 0.706613, 0.707595, 0.00186634, 0.00213728, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.925730] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [90] 1760971817925621, 2.96817, 0.104542, -0.249202, -0.324383, 0.706613, 0.707595, 0.00186634, 0.00213728, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.927821] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [91] 1760971817927710, 2.97026, 0.104539, -0.249193, -0.324376, 0.70661, 0.707597, 0.00187184, 0.00220787, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.930652] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [92] 1760971817930563, 2.97312, 0.104539, -0.249193, -0.324376, 0.70661, 0.707597, 0.00187184, 0.00220787, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.933808] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [94] 1760971817933696, 2.97625, 0.104539, -0.249193, -0.324376, 0.70661, 0.707597, 0.00187184, 0.00220787, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.935765] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [95] 1760971817935652, 2.9782, 0.104539, -0.249193, -0.324376, 0.70661, 0.707597, 0.00187184, 0.00220787, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.938257] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [96] 1760971817938105, 2.98066, 0.104555, -0.249177, -0.324378, 0.706591, 0.707617, 0.00187152, 0.00213471, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.940849] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [98] 1760971817940792, 2.98334, 0.104555, -0.249177, -0.324378, 0.706591, 0.707617, 0.00187152, 0.00213471, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.943422] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [99] 1760971817943308, 2.98586, 0.104555, -0.249177, -0.324378, 0.706591, 0.707617, 0.00187152, 0.00213471, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.946087] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [100] 1760971817945973, 2.98853, 0.104548, -0.249174, -0.324376, 0.70659, 0.707617, 0.00187185, 0.00221336, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.948888] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [101] 1760971817948776, 2.99133, 0.104548, -0.249174, -0.324376, 0.70659, 0.707617, 0.00187185, 0.00221336, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.951404] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [103] 1760971817951325, 2.99388, 0.104548, -0.249174, -0.324376, 0.70659, 0.707617, 0.00187185, 0.00221336, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.954110] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [104] 1760971817953994, 2.99655, 0.104548, -0.249174, -0.324376, 0.70659, 0.707617, 0.00187185, 0.00221336, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.956998] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [105] 1760971817956887, 2.99944, 0.104587, -0.249102, -0.324278, 0.705852, 0.708355, 0.00188306, 0.00156144, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:50:17.959346] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [106] 1760971817959238, 3.00179, 0.104587, -0.249102, -0.324278, 0.705852, 0.708355, 0.00188306, 0.00156144, 0.00390696, 0.00724519, 0.00979355, 0.209165, 0.0907258, 0.0942257, 
[2025-10-20 10:50:17.962171] [0x0000007f7b7fd9a0] [MocapTag] [0x0000080a] [108] 1760971817962051, 3.0046, 0.104587, -0.249102, -0.324278, 0.705852, 0.708355, 0.00188306, 0.00156144, 0, 0, 0, 0, 0, 0, 
