[2025-10-20 10:54:58.262578] [0x0000007f8102e7c0] [MocapTag] [0x0000107d] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 10:54:58.266773] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [3] 1760972098266630, 2.74873, 0.100777, -0.233391, -0.324394, 0.706716, 0.707489, 0.00229523, 0.00265188, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.269326] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [6] 1760972098269243, 2.75134, 0.100777, -0.233391, -0.324394, 0.706716, 0.707489, 0.00229523, 0.00265188, 0, 0, -0.00245799, 0, 0, 0, 
[2025-10-20 10:54:58.272126] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [7] 1760972098272009, 2.75411, 0.100777, -0.233391, -0.324394, 0.706716, 0.707489, 0.00229523, 0.00265188, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.275124] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [8] 1760972098275018, 2.75712, 0.100777, -0.233391, -0.324394, 0.706716, 0.707489, 0.00229523, 0.00265188, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.276984] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [9] 1760972098276882, 2.75898, 0.100785, -0.233336, -0.324451, 0.706578, 0.707626, 0.0024061, 0.00269002, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.280565] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [11] 1760972098280451, 2.76255, 0.100785, -0.233336, -0.324451, 0.706578, 0.707626, 0.0024061, 0.00269002, 0, 0.00549438, -0.00565398, 0.0389576, 0, 0, 
[2025-10-20 10:54:58.283378] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [12] 1760972098283263, 2.76536, 0.100785, -0.233336, -0.324451, 0.706578, 0.707626, 0.0024061, 0.00269002, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.286295] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [13] 1760972098286184, 2.76828, 0.100778, -0.233412, -0.324335, 0.706947, 0.707258, 0.00219378, 0.00261488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.289196] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [15] 1760972098289085, 2.77118, 0.100778, -0.233412, -0.324335, 0.706947, 0.707258, 0.00219378, 0.00261488, 0, -0.00760944, 0.011541, -0.104427, 0.0406711, 0, 
[2025-10-20 10:54:58.291641] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [16] 1760972098291526, 2.77362, 0.100778, -0.233412, -0.324335, 0.706947, 0.707258, 0.00219378, 0.00261488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.294389] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [17] 1760972098294269, 2.77637, 0.100778, -0.233412, -0.324335, 0.706947, 0.707258, 0.00219378, 0.00261488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.296897] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [18] 1760972098296775, 2.77887, 0.100766, -0.233399, -0.324292, 0.706816, 0.707388, 0.00218699, 0.00286706, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.299722] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [20] 1760972098299608, 2.78171, 0.100766, -0.233399, -0.324292, 0.706816, 0.707388, 0.00218699, 0.00286706, 0, 0, 0.0043774, 0.0368953, 0, -0.0364849, 
[2025-10-20 10:54:58.302297] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [21] 1760972098302177, 2.78428, 0.100766, -0.233399, -0.324292, 0.706816, 0.707388, 0.00218699, 0.00286706, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.305135] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [22] 1760972098305008, 2.78711, 0.100766, -0.233399, -0.324292, 0.706816, 0.707388, 0.00218699, 0.00286706, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.309004] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [24] 1760972098308946, 2.79104, 0.100749, -0.233391, -0.324248, 0.706544, 0.707661, 0.00225028, 0.00235947, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.310438] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [25] 1760972098310301, 2.7924, 0.100749, -0.233391, -0.324248, 0.706544, 0.707661, 0.00225028, 0.00235947, 0, 0, 0.00439558, 0.0773311, 0.062861, 0.0809623, 
[2025-10-20 10:54:58.313008] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [26] 1760972098312889, 2.79499, 0.100749, -0.233391, -0.324248, 0.706544, 0.707661, 0.00225028, 0.00235947, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.315493] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [27] 1760972098315373, 2.79747, 0.100809, -0.233368, -0.324147, 0.706095, 0.708111, 0.00215401, 0.00185124, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.318432] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [28] 1760972098318339, 2.80044, 0.100809, -0.233368, -0.324147, 0.706095, 0.708111, 0.00215401, 0.00185124, 0.00597027, 0.00234363, 0.0100345, 0.127292, 0.0855629, 0.0585518, 
[2025-10-20 10:54:58.321040] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [30] 1760972098320923, 2.80302, 0.100809, -0.233368, -0.324147, 0.706095, 0.708111, 0.00215401, 0.00185124, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:54:58.323660] [0x0000007f5fffe9a0] [MocapTag] [0x0000107d] [31] 1760972098323534, 2.80563, 0.100809, -0.233368, -0.324147, 0.706095, 0.708111, 0.00215401, 0.00185124, 0, 0, 0, 0, 0, 0, 
