[2025-10-20 10:58:22.686445] [0x0000007f87c3c7c0] [MocapTag] [0x00001824] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 10:58:22.690719] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [4] 1760972302690557, 2.77797, 0.106152, -0.206746, -0.325285, 0.707644, 0.706054, -0.0153856, -0.0221713, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.694190] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [5] 1760972302694080, 2.7815, 0.106152, -0.206746, -0.325285, 0.707644, 0.706054, -0.0153856, -0.0221713, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.696670] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [7] 1760972302696561, 2.78398, 0.106171, -0.206732, -0.325278, 0.707581, 0.706118, -0.0153966, -0.0221095, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.699562] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [8] 1760972302699449, 2.78687, 0.106171, -0.206732, -0.325278, 0.707581, 0.706118, -0.0153966, -0.0221095, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.702165] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [9] 1760972302702055, 2.78947, 0.106171, -0.206732, -0.325278, 0.707581, 0.706118, -0.0153966, -0.0221095, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.704602] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [10] 1760972302704496, 2.79191, 0.106163, -0.206738, -0.325286, 0.707616, 0.706081, -0.0153834, -0.0222008, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.707818] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [12] 1760972302707706, 2.79512, 0.106163, -0.206738, -0.325286, 0.707616, 0.706081, -0.0153834, -0.0222008, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.710613] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [13] 1760972302710506, 2.79792, 0.106163, -0.206738, -0.325286, 0.707616, 0.706081, -0.0153834, -0.0222008, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.713671] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [14] 1760972302713557, 2.80097, 0.106163, -0.206738, -0.325286, 0.707616, 0.706081, -0.0153834, -0.0222008, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.716399] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [16] 1760972302716322, 2.80374, 0.106176, -0.206729, -0.325282, 0.707606, 0.706094, -0.0153974, -0.0220907, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.719132] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [17] 1760972302719013, 2.80643, 0.106176, -0.206729, -0.325282, 0.707606, 0.706094, -0.0153974, -0.0220907, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.721694] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [18] 1760972302721584, 2.809, 0.106176, -0.206729, -0.325282, 0.707606, 0.706094, -0.0153974, -0.0220907, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.724474] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [19] 1760972302724369, 2.81178, 0.106176, -0.206729, -0.325282, 0.707606, 0.706094, -0.0153974, -0.0220907, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.727174] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [21] 1760972302727061, 2.81448, 0.106171, -0.206727, -0.325301, 0.70762, 0.706078, -0.0153958, -0.0221583, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.729798] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [22] 1760972302729688, 2.8171, 0.106171, -0.206727, -0.325301, 0.70762, 0.706078, -0.0153958, -0.0221583, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.733557] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [23] 1760972302733449, 2.82086, 0.106171, -0.206727, -0.325301, 0.70762, 0.706078, -0.0153958, -0.0221583, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.735175] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [24] 1760972302735058, 2.82247, 0.10616, -0.206734, -0.325299, 0.707628, 0.706068, -0.0154219, -0.0222058, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.738341] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [26] 1760972302738231, 2.82565, 0.10616, -0.206734, -0.325299, 0.707628, 0.706068, -0.0154219, -0.0222058, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.740649] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [27] 1760972302740531, 2.82795, 0.10616, -0.206734, -0.325299, 0.707628, 0.706068, -0.0154219, -0.0222058, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.743372] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [28] 1760972302743263, 2.83068, 0.10616, -0.206734, -0.325299, 0.707628, 0.706068, -0.0154219, -0.0222058, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.746105] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [30] 1760972302746044, 2.83346, 0.106164, -0.206726, -0.325305, 0.707633, 0.706061, -0.0154185, -0.0222389, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.748834] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [31] 1760972302748718, 2.83613, 0.106164, -0.206726, -0.325305, 0.707633, 0.706061, -0.0154185, -0.0222389, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.751262] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [32] 1760972302751154, 2.83857, 0.106164, -0.206726, -0.325305, 0.707633, 0.706061, -0.0154185, -0.0222389, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.753847] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [33] 1760972302753744, 2.84116, 0.106164, -0.206726, -0.325305, 0.707633, 0.706061, -0.0154185, -0.0222389, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.756397] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [35] 1760972302756320, 2.84374, 0.106165, -0.206724, -0.325299, 0.707601, 0.706096, -0.0154011, -0.02216, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.759194] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [36] 1760972302759080, 2.8465, 0.106165, -0.206724, -0.325299, 0.707601, 0.706096, -0.0154011, -0.02216, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.761693] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [37] 1760972302761578, 2.84899, 0.106165, -0.206724, -0.325299, 0.707601, 0.706096, -0.0154011, -0.02216, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.764884] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [38] 1760972302764720, 2.85214, 0.106165, -0.206724, -0.325299, 0.707601, 0.706096, -0.0154011, -0.02216, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.766888] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [40] 1760972302766773, 2.85419, 0.106155, -0.206716, -0.325281, 0.707604, 0.706093, -0.0154062, -0.0221631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.769540] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [41] 1760972302769427, 2.85684, 0.106155, -0.206716, -0.325281, 0.707604, 0.706093, -0.0154062, -0.0221631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.772125] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [42] 1760972302772018, 2.85943, 0.106155, -0.206716, -0.325281, 0.707604, 0.706093, -0.0154062, -0.0221631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.774703] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [43] 1760972302774602, 2.86202, 0.106169, -0.206719, -0.325271, 0.70761, 0.706089, -0.0153614, -0.0221725, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.777618] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [45] 1760972302777504, 2.86492, 0.106169, -0.206719, -0.325271, 0.70761, 0.706089, -0.0153614, -0.0221725, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.780613] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [46] 1760972302780507, 2.86792, 0.106169, -0.206719, -0.325271, 0.70761, 0.706089, -0.0153614, -0.0221725, 0, 0, 0, 0, 0, 0, 
[2025-10-20 10:58:22.782971] [0x0000007f6effc9a0] [MocapTag] [0x00001824] [47] 1760972302782867, 2.87028, 0.106169, -0.206719, -0.325271, 0.70761, 0.706089, -0.0153614, -0.0221725, 0, 0, 0, 0, 0, 0, 
