[2025-10-20 11:11:37.964915] [0x0000007f8afdc7c0] [MocapTag] [0x00003005] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:11:37.967594] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [3] 1760973097967408, 2.67516, 0.10341, -0.23187, -0.321482, 0.700961, 0.712853, 0.0203928, 0.00884502, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.970045] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [4] 1760973097969950, 2.67771, 0.10341, -0.23187, -0.321482, 0.700961, 0.712853, 0.0203928, 0.00884502, 0.00483114, 0.00778787, -0.00474955, 0.037384, -0.0374049, 0, 
[2025-10-20 11:11:37.972448] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [6] 1760973097972332, 2.68009, 0.10341, -0.23187, -0.321482, 0.700961, 0.712853, 0.0203928, 0.00884502, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.975240] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [8] 1760973097975166, 2.68292, 0.10341, -0.23187, -0.321482, 0.700961, 0.712853, 0.0203928, 0.00884502, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.977709] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [9] 1760973097977564, 2.68532, 0.104002, -0.231384, -0.325447, 0.705894, 0.708002, 0.0181641, 0.0107749, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.981013] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [10] 1760973097980905, 2.68866, 0.104002, -0.231384, -0.325447, 0.705894, 0.708002, 0.0181641, 0.0107749, 0.0592003, 0.0485529, -0.396578, -1.39687, 0, -0.617148, 
[2025-10-20 11:11:37.983807] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [11] 1760973097983694, 2.69145, 0.104002, -0.231384, -0.325447, 0.705894, 0.708002, 0.0181641, 0.0107749, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.986423] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [13] 1760973097986303, 2.69406, 0.103968, -0.231407, -0.325419, 0.705917, 0.70798, 0.0181654, 0.0107546, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.989036] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [14] 1760973097988922, 2.69668, 0.103968, -0.231407, -0.325419, 0.705917, 0.70798, 0.0181654, 0.0107546, -0.00340289, -0.00226586, 0.00284667, 0, 0, 0, 
[2025-10-20 11:11:37.991567] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [15] 1760973097991457, 2.69921, 0.103968, -0.231407, -0.325419, 0.705917, 0.70798, 0.0181654, 0.0107546, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.994259] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [16] 1760973097994143, 2.7019, 0.103968, -0.231407, -0.325419, 0.705917, 0.70798, 0.0181654, 0.0107546, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.996542] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [18] 1760973097996431, 2.70419, 0.104005, -0.231422, -0.325382, 0.705999, 0.707901, 0.0180631, 0.0107486, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:37.999795] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [19] 1760973097999681, 2.70744, 0.104005, -0.231422, -0.325382, 0.705999, 0.707901, 0.0180631, 0.0107486, 0.00369345, 0, 0.00366535, 0, 0, 0, 
[2025-10-20 11:11:38.002355] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [20] 1760973098002248, 2.71, 0.104005, -0.231422, -0.325382, 0.705999, 0.707901, 0.0180631, 0.0107486, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.005386] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [22] 1760973098005308, 2.71306, 0.104005, -0.231422, -0.325382, 0.705999, 0.707901, 0.0180631, 0.0107486, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.007934] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [23] 1760973098007821, 2.71558, 0.103971, -0.231434, -0.325404, 0.705957, 0.707942, 0.0181166, 0.0107357, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.010724] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [24] 1760973098010617, 2.71837, 0.103971, -0.231434, -0.325404, 0.705957, 0.707942, 0.0181166, 0.0107357, -0.00346001, 0, -0.002151, 0, 0, 0, 
[2025-10-20 11:11:38.013993] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [25] 1760973098013883, 2.72164, 0.103971, -0.231434, -0.325404, 0.705957, 0.707942, 0.0181166, 0.0107357, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.016682] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [27] 1760973098016570, 2.72433, 0.103984, -0.231413, -0.325422, 0.705978, 0.707921, 0.0181179, 0.0106823, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.019311] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [28] 1760973098019198, 2.72695, 0.103984, -0.231413, -0.325422, 0.705978, 0.707921, 0.0181179, 0.0106823, 0, 0.00208812, 0, 0, 0, 0, 
[2025-10-20 11:11:38.021763] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [29] 1760973098021656, 2.72941, 0.103984, -0.231413, -0.325422, 0.705978, 0.707921, 0.0181179, 0.0106823, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.024621] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [30] 1760973098024451, 2.73221, 0.103984, -0.231413, -0.325422, 0.705978, 0.707921, 0.0181179, 0.0106823, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.027682] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [32] 1760973098027570, 2.73533, 0.103994, -0.231394, -0.325425, 0.705982, 0.707918, 0.0180597, 0.0106909, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.031157] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [33] 1760973098031049, 2.73881, 0.103994, -0.231394, -0.325425, 0.705982, 0.707918, 0.0180597, 0.0106909, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.033063] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [34] 1760973098032946, 2.7407, 0.103994, -0.231394, -0.325425, 0.705982, 0.707918, 0.0180597, 0.0106909, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.035548] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [36] 1760973098035458, 2.74321, 0.103994, -0.231394, -0.325425, 0.705982, 0.707918, 0.0180597, 0.0106909, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.038098] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [37] 1760973098037937, 2.74569, 0.103975, -0.231401, -0.325427, 0.70602, 0.707881, 0.0181097, 0.0106318, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.040956] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [38] 1760973098040839, 2.74859, 0.103975, -0.231401, -0.325427, 0.70602, 0.707881, 0.0181097, 0.0106318, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.044363] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [39] 1760973098044278, 2.75203, 0.103975, -0.231401, -0.325427, 0.70602, 0.707881, 0.0181097, 0.0106318, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.047002] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [41] 1760973098046889, 2.75465, 0.103982, -0.231395, -0.325382, 0.70599, 0.70791, 0.0180742, 0.0107191, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:11:38.049492] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [42] 1760973098049385, 2.75714, 0.103982, -0.231395, -0.325382, 0.70599, 0.70791, 0.0180742, 0.0107191, 0, 0, 0.00447173, 0, 0, 0, 
[2025-10-20 11:11:38.051970] [0x0000007f7a6ad9a0] [MocapTag] [0x00003005] [43] 1760973098051862, 2.75962, 0.103982, -0.231395, -0.325382, 0.70599, 0.70791, 0.0180742, 0.0107191, 0, 0, 0, 0, 0, 0, 
