[2025-10-20 15:39:44.690780] [0x0000007f900067c0] [MocapTag] [0x00000a55] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:39:44.693824] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [3] 1760989184693643, 2.75527, 0.122753, -0.23054, -0.320058, 0.706124, 0.707721, 0.0154392, 0.0167897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.696382] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [5] 1760989184696254, 2.75788, 0.122753, -0.23054, -0.320058, 0.706124, 0.707721, 0.0154392, 0.0167897, 0, 0.00439232, 0, 0, 0, 0, 
[2025-10-20 15:39:44.698827] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [6] 1760989184698707, 2.76034, 0.122753, -0.23054, -0.320058, 0.706124, 0.707721, 0.0154392, 0.0167897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.701731] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [8] 1760989184701600, 2.76323, 0.122753, -0.23054, -0.320058, 0.706124, 0.707721, 0.0154392, 0.0167897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.704537] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [9] 1760989184704426, 2.76606, 0.122778, -0.230516, -0.320118, 0.706058, 0.707778, 0.0156953, 0.0169382, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.707234] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [10] 1760989184707126, 2.76876, 0.122778, -0.230516, -0.320118, 0.706058, 0.707778, 0.0156953, 0.0169382, 0.00250988, 0.00242018, -0.0059579, 0, -0.057226, 0, 
[2025-10-20 15:39:44.710066] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [12] 1760989184709981, 2.77161, 0.122778, -0.230516, -0.320118, 0.706058, 0.707778, 0.0156953, 0.0169382, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.712455] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [13] 1760989184712341, 2.77397, 0.122767, -0.230555, -0.320076, 0.706093, 0.707751, 0.0153722, 0.0168657, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.715230] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [14] 1760989184715116, 2.77675, 0.122767, -0.230555, -0.320076, 0.706093, 0.707751, 0.0153722, 0.0168657, 0, -0.00397201, 0.00415883, 0, 0.0559267, -0.0357214, 
[2025-10-20 15:39:44.717585] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [15] 1760989184717479, 2.77911, 0.122767, -0.230555, -0.320076, 0.706093, 0.707751, 0.0153722, 0.0168657, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.720689] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [17] 1760989184720569, 2.7822, 0.122767, -0.230555, -0.320076, 0.706093, 0.707751, 0.0153722, 0.0168657, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.722991] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [18] 1760989184722881, 2.78451, 0.122773, -0.230595, -0.320049, 0.706151, 0.707694, 0.0154413, 0.0167698, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.725898] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [19] 1760989184725786, 2.78742, 0.122773, -0.230595, -0.320049, 0.706151, 0.707694, 0.0154413, 0.0167698, 0, -0.00397057, 0.0027301, 0, 0, 0, 
[2025-10-20 15:39:44.728203] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [20] 1760989184728099, 2.78973, 0.122773, -0.230595, -0.320049, 0.706151, 0.707694, 0.0154413, 0.0167698, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.731760] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [22] 1760989184731652, 2.79328, 0.122773, -0.230595, -0.320049, 0.706151, 0.707694, 0.0154413, 0.0167698, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.733621] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [23] 1760989184733504, 2.79513, 0.122737, -0.230575, -0.320044, 0.706167, 0.707682, 0.0152927, 0.016734, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.736628] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [24] 1760989184736519, 2.79815, 0.122737, -0.230575, -0.320044, 0.706167, 0.707682, 0.0152927, 0.016734, -0.00352839, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.739117] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [25] 1760989184739001, 2.80063, 0.122737, -0.230575, -0.320044, 0.706167, 0.707682, 0.0152927, 0.016734, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.741787] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [27] 1760989184741674, 2.8033, 0.122737, -0.230575, -0.320044, 0.706167, 0.707682, 0.0152927, 0.016734, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.744194] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [28] 1760989184744090, 2.80572, 0.122753, -0.23058, -0.320041, 0.706166, 0.707683, 0.0152558, 0.0167844, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.746942] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [29] 1760989184746815, 2.80844, 0.122753, -0.23058, -0.320041, 0.706166, 0.707683, 0.0152558, 0.0167844, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.749502] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [30] 1760989184749414, 2.81104, 0.122753, -0.23058, -0.320041, 0.706166, 0.707683, 0.0152558, 0.0167844, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.752531] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [32] 1760989184752419, 2.81405, 0.122738, -0.230577, -0.320047, 0.706174, 0.707674, 0.0153041, 0.0167671, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.755405] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [33] 1760989184755295, 2.81692, 0.122738, -0.230577, -0.320047, 0.706174, 0.707674, 0.0153041, 0.0167671, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.758228] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [34] 1760989184758120, 2.81975, 0.122738, -0.230577, -0.320047, 0.706174, 0.707674, 0.0153041, 0.0167671, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.761141] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [36] 1760989184760948, 2.82258, 0.122738, -0.230577, -0.320047, 0.706174, 0.707674, 0.0153041, 0.0167671, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.763605] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [37] 1760989184763499, 2.82513, 0.122744, -0.230578, -0.320044, 0.706187, 0.707662, 0.0152895, 0.0167456, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.767117] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [38] 1760989184767007, 2.82864, 0.122744, -0.230578, -0.320044, 0.706187, 0.707662, 0.0152895, 0.0167456, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.769623] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [39] 1760989184769535, 2.83116, 0.122744, -0.230578, -0.320044, 0.706187, 0.707662, 0.0152895, 0.0167456, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.772177] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [41] 1760989184772054, 2.83368, 0.122744, -0.230584, -0.320062, 0.70616, 0.707689, 0.0152837, 0.0167597, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.775027] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [42] 1760989184774917, 2.83655, 0.122744, -0.230584, -0.320062, 0.70616, 0.707689, 0.0152837, 0.0167597, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.777383] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [43] 1760989184777276, 2.83891, 0.122744, -0.230584, -0.320062, 0.70616, 0.707689, 0.0152837, 0.0167597, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.780219] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [45] 1760989184780117, 2.84175, 0.122744, -0.230584, -0.320062, 0.70616, 0.707689, 0.0152837, 0.0167597, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.783150] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [46] 1760989184783040, 2.84467, 0.122769, -0.230575, -0.32005, 0.706123, 0.707719, 0.0154699, 0.0168573, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.786051] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [47] 1760989184785935, 2.84756, 0.122769, -0.230575, -0.32005, 0.706123, 0.707719, 0.0154699, 0.0168573, 0.00248092, 0, 0, 0, -0.0401307, 0, 
[2025-10-20 15:39:44.788624] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [48] 1760989184788515, 2.85014, 0.122769, -0.230575, -0.32005, 0.706123, 0.707719, 0.0154699, 0.0168573, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.791949] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [50] 1760989184791832, 2.85346, 0.122769, -0.230575, -0.32005, 0.706123, 0.707719, 0.0154699, 0.0168573, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.795000] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [51] 1760989184794887, 2.85652, 0.122775, -0.230576, -0.32005, 0.706127, 0.707718, 0.0154148, 0.0167983, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.798130] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [52] 1760989184798023, 2.85965, 0.122775, -0.230576, -0.32005, 0.706127, 0.707718, 0.0154148, 0.0167983, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.800917] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [54] 1760989184800796, 2.86243, 0.122775, -0.230576, -0.32005, 0.706127, 0.707718, 0.0154148, 0.0167983, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.803527] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [55] 1760989184803416, 2.86505, 0.122763, -0.230524, -0.320141, 0.706082, 0.707757, 0.0156117, 0.01687, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.806555] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [56] 1760989184806435, 2.86807, 0.122763, -0.230524, -0.320141, 0.706082, 0.707757, 0.0156117, 0.01687, 0, 0.00516128, -0.00905399, 0, -0.0379834, 0, 
[2025-10-20 15:39:44.808868] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [57] 1760989184808751, 2.87038, 0.122763, -0.230524, -0.320141, 0.706082, 0.707757, 0.0156117, 0.01687, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.812439] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [59] 1760989184812318, 2.87395, 0.122763, -0.230524, -0.320141, 0.706082, 0.707757, 0.0156117, 0.01687, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.814912] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [60] 1760989184814801, 2.87643, 0.122742, -0.230563, -0.32008, 0.706129, 0.707718, 0.0153702, 0.0167708, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:39:44.817598] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [61] 1760989184817489, 2.87912, 0.122742, -0.230563, -0.32008, 0.706129, 0.707718, 0.0153702, 0.0167708, -0.00208634, -0.00385052, 0.00608093, 0, 0.0481717, 0, 
[2025-10-20 15:39:44.820632] [0x0000007f76ffc9a0] [MocapTag] [0x00000a55] [63] 1760989184820512, 2.88214, 0.122742, -0.230563, -0.32008, 0.706129, 0.707718, 0.0153702, 0.0167708, 0, 0, 0, 0, 0, 0, 
