[2025-10-20 15:46:08.810090] [0x0000007fbcd6b7c0] [MocapTag] [0x00001580] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:46:08.814915] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [4] 1760989568814810, 2.75446, 0.15407, -0.217242, -0.319971, 0.705881, 0.708202, 0.00731964, 0.0113358, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.816447] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [5] 1760989568816331, 2.75598, 0.15407, -0.217242, -0.319971, 0.705881, 0.708202, 0.00731964, 0.0113358, 0, 0.00490315, -0.00392765, 0, -0.0399228, 0, 
[2025-10-20 15:46:08.818866] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [7] 1760989568818812, 2.75846, 0.15407, -0.217242, -0.319971, 0.705881, 0.708202, 0.00731964, 0.0113358, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.821597] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [8] 1760989568821485, 2.76114, 0.15407, -0.217242, -0.319971, 0.705881, 0.708202, 0.00731964, 0.0113358, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.824208] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [9] 1760989568824103, 2.76376, 0.154082, -0.217207, -0.31997, 0.705856, 0.708225, 0.00737558, 0.0114131, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.826616] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [10] 1760989568826507, 2.76616, 0.154082, -0.217207, -0.31997, 0.705856, 0.708225, 0.00737558, 0.0114131, 0, 0.00348174, 0, 0, 0, 0, 
[2025-10-20 15:46:08.829088] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [12] 1760989568829034, 2.76869, 0.154082, -0.217207, -0.31997, 0.705856, 0.708225, 0.00737558, 0.0114131, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.831806] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [13] 1760989568831692, 2.77134, 0.154082, -0.217207, -0.31997, 0.705856, 0.708225, 0.00737558, 0.0114131, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.834212] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [14] 1760989568834110, 2.77376, 0.154076, -0.217236, -0.319968, 0.705944, 0.708141, 0.00732804, 0.0112012, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.837786] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [15] 1760989568837650, 2.7773, 0.154076, -0.217236, -0.319968, 0.705944, 0.708141, 0.00732804, 0.0112012, 0, -0.0029046, 0, 0, 0.0368049, 0, 
[2025-10-20 15:46:08.840598] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [17] 1760989568840488, 2.78014, 0.154076, -0.217236, -0.319968, 0.705944, 0.708141, 0.00732804, 0.0112012, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.843034] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [18] 1760989568842925, 2.78258, 0.154049, -0.217248, -0.319968, 0.705906, 0.708178, 0.0073116, 0.0112739, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.845723] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [19] 1760989568845615, 2.78527, 0.154049, -0.217248, -0.319968, 0.705906, 0.708178, 0.0073116, 0.0112739, -0.00272911, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.848241] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [20] 1760989568848122, 2.78777, 0.154049, -0.217248, -0.319968, 0.705906, 0.708178, 0.0073116, 0.0112739, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.851069] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [22] 1760989568850928, 2.79058, 0.154049, -0.217248, -0.319968, 0.705906, 0.708178, 0.0073116, 0.0112739, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.854465] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [23] 1760989568854298, 2.79395, 0.154057, -0.217247, -0.319985, 0.705954, 0.708133, 0.00732874, 0.0111287, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.858895] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [24] 1760989568858807, 2.79846, 0.154057, -0.217247, -0.319985, 0.705954, 0.708133, 0.00732874, 0.0111287, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.859559] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [26] 1760989568859452, 2.7991, 0.154057, -0.217247, -0.319985, 0.705954, 0.708133, 0.00732874, 0.0111287, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.862380] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [27] 1760989568862270, 2.80192, 0.154057, -0.217241, -0.319986, 0.705841, 0.708242, 0.00727214, 0.0113767, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.865241] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [28] 1760989568865131, 2.80478, 0.154057, -0.217241, -0.319986, 0.705841, 0.708242, 0.00727214, 0.0113767, 0, 0, 0, 0, 0, -0.0426382, 
[2025-10-20 15:46:08.868446] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [29] 1760989568868328, 2.80798, 0.154057, -0.217241, -0.319986, 0.705841, 0.708242, 0.00727214, 0.0113767, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.872154] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [31] 1760989568872042, 2.81169, 0.154057, -0.217241, -0.319986, 0.705841, 0.708242, 0.00727214, 0.0113767, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.874605] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [32] 1760989568874499, 2.81415, 0.154052, -0.217236, -0.320012, 0.705861, 0.708222, 0.00736632, 0.0113148, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:46:08.877483] [0x0000007f9bffe9a0] [MocapTag] [0x00001580] [33] 1760989568877374, 2.81703, 0.154052, -0.217236, -0.320012, 0.705861, 0.708222, 0.00736632, 0.0113148, 0, 0, -0.00257037, 0, 0, 0, 
