[2025-10-20 16:08:24.677364] [0x0000007fb807f7c0] [MocapTag] [0x00003a79] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 16:08:24.680719] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [3] 1760990904680542, 2.7389, 0.093724, -0.241015, -0.321573, 0.711249, 0.702931, 0.00317888, -0.00171961, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.683183] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [5] 1760990904683063, 2.74142, 0.093724, -0.241015, -0.321573, 0.711249, 0.702931, 0.00317888, -0.00171961, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.686026] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [6] 1760990904685940, 2.7443, 0.093724, -0.241015, -0.321573, 0.711249, 0.702931, 0.00317888, -0.00171961, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.689145] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [8] 1760990904689033, 2.74739, 0.0937428, -0.241017, -0.321538, 0.71126, 0.70292, 0.00317587, -0.00171434, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.691100] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [9] 1760990904690995, 2.74935, 0.0937428, -0.241017, -0.321538, 0.71126, 0.70292, 0.00317587, -0.00171434, 0, 0, 0.00349046, 0, 0, 0, 
[2025-10-20 16:08:24.693729] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [10] 1760990904693621, 2.75198, 0.0937428, -0.241017, -0.321538, 0.71126, 0.70292, 0.00317587, -0.00171434, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.698026] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [12] 1760990904697904, 2.75626, 0.0937428, -0.241017, -0.321538, 0.71126, 0.70292, 0.00317587, -0.00171434, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.700524] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [13] 1760990904700412, 2.75877, 0.0937341, -0.241018, -0.321543, 0.71125, 0.70293, 0.00320461, -0.00172348, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.703078] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [14] 1760990904702974, 2.76133, 0.0937341, -0.241018, -0.321543, 0.71125, 0.70293, 0.00320461, -0.00172348, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.705892] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [15] 1760990904705772, 2.76413, 0.0937341, -0.241018, -0.321543, 0.71125, 0.70293, 0.00320461, -0.00172348, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.708447] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [17] 1760990904708336, 2.76669, 0.0937211, -0.241011, -0.321558, 0.711257, 0.702922, 0.00320716, -0.00174905, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.711228] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [18] 1760990904711115, 2.76947, 0.0937211, -0.241011, -0.321558, 0.711257, 0.702922, 0.00320716, -0.00174905, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.713704] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [19] 1760990904713599, 2.77196, 0.0937211, -0.241011, -0.321558, 0.711257, 0.702922, 0.00320716, -0.00174905, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.716557] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [20] 1760990904716464, 2.77482, 0.0937211, -0.241011, -0.321558, 0.711257, 0.702922, 0.00320716, -0.00174905, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.719195] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [22] 1760990904719083, 2.77744, 0.0937128, -0.241022, -0.321561, 0.71126, 0.70292, 0.00322085, -0.00176043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.722000] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [23] 1760990904721893, 2.78025, 0.0937128, -0.241022, -0.321561, 0.71126, 0.70292, 0.00322085, -0.00176043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.724714] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [24] 1760990904724605, 2.78296, 0.0937128, -0.241022, -0.321561, 0.71126, 0.70292, 0.00322085, -0.00176043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.727294] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [26] 1760990904727201, 2.78556, 0.0937157, -0.241006, -0.321561, 0.71125, 0.70293, 0.00321047, -0.00174401, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.730176] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [27] 1760990904730062, 2.78842, 0.0937157, -0.241006, -0.321561, 0.71125, 0.70293, 0.00321047, -0.00174401, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.733676] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [28] 1760990904733564, 2.79192, 0.0937157, -0.241006, -0.321561, 0.71125, 0.70293, 0.00321047, -0.00174401, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.735724] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [29] 1760990904735616, 2.79397, 0.0937157, -0.241006, -0.321561, 0.71125, 0.70293, 0.00321047, -0.00174401, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.738434] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [31] 1760990904738322, 2.79668, 0.0937211, -0.241007, -0.321564, 0.711255, 0.702924, 0.00322666, -0.00168947, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.741137] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [32] 1760990904741031, 2.79939, 0.0937211, -0.241007, -0.321564, 0.711255, 0.702924, 0.00322666, -0.00168947, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.744737] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [33] 1760990904744627, 2.80299, 0.0937211, -0.241007, -0.321564, 0.711255, 0.702924, 0.00322666, -0.00168947, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.747531] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [35] 1760990904747407, 2.80577, 0.0937022, -0.24102, -0.321595, 0.711249, 0.70293, 0.0032356, -0.00176261, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.750734] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [36] 1760990904750619, 2.80898, 0.0937022, -0.24102, -0.321595, 0.711249, 0.70293, 0.0032356, -0.00176261, 0, 0, -0.00307566, 0, 0, 0, 
[2025-10-20 16:08:24.753481] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [37] 1760990904753371, 2.81173, 0.0937022, -0.24102, -0.321595, 0.711249, 0.70293, 0.0032356, -0.00176261, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.756301] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [38] 1760990904756184, 2.81454, 0.0937022, -0.24102, -0.321595, 0.711249, 0.70293, 0.0032356, -0.00176261, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.759032] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [40] 1760990904758921, 2.81728, 0.0937044, -0.240995, -0.321572, 0.711244, 0.702936, 0.00324731, -0.00172787, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:08:24.761595] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [41] 1760990904761488, 2.81985, 0.0937044, -0.240995, -0.321572, 0.711244, 0.702936, 0.00324731, -0.00172787, 0, 0.00246428, 0.00234273, 0, 0, 0, 
[2025-10-20 16:08:24.764193] [0x0000007fa6ffc9a0] [MocapTag] [0x00003a79] [42] 1760990904764090, 2.82245, 0.0937044, -0.240995, -0.321572, 0.711244, 0.702936, 0.00324731, -0.00172787, 0, 0, 0, 0, 0, 0, 
