[2025-10-20 16:10:56.148938] [0x0000007fa68637c0] [MocapTag] [0x00003fad] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 16:10:56.153628] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [4] 1760991056153474, 2.76753, 0.132954, -0.23494, -0.322867, 0.709418, 0.704777, -0.000303654, -0.00398024, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.156459] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [6] 1760991056156338, 2.77039, 0.132954, -0.23494, -0.322867, 0.709418, 0.704777, -0.000303654, -0.00398024, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.158727] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [7] 1760991056158614, 2.77267, 0.13295, -0.234938, -0.322862, 0.709427, 0.704768, -0.000294693, -0.00393824, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.161571] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [8] 1760991056161458, 2.77551, 0.13295, -0.234938, -0.322862, 0.709427, 0.704768, -0.000294693, -0.00393824, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.164043] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [9] 1760991056163960, 2.77801, 0.13295, -0.234938, -0.322862, 0.709427, 0.704768, -0.000294693, -0.00393824, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.166734] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [11] 1760991056166622, 2.78068, 0.13295, -0.234938, -0.322862, 0.709427, 0.704768, -0.000294693, -0.00393824, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.169050] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [12] 1760991056168942, 2.783, 0.132962, -0.234937, -0.322847, 0.709439, 0.704756, -0.000311899, -0.00395122, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.171813] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [13] 1760991056171702, 2.78576, 0.132962, -0.234937, -0.322847, 0.709439, 0.704756, -0.000311899, -0.00395122, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.174347] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [14] 1760991056174256, 2.78831, 0.132962, -0.234937, -0.322847, 0.709439, 0.704756, -0.000311899, -0.00395122, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.176972] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [16] 1760991056176854, 2.79091, 0.132962, -0.234937, -0.322847, 0.709439, 0.704756, -0.000311899, -0.00395122, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.179581] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [17] 1760991056179468, 2.79352, 0.132925, -0.234961, -0.322848, 0.70947, 0.704724, -0.000251413, -0.0039968, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.182294] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [18] 1760991056182185, 2.79624, 0.132925, -0.234961, -0.322848, 0.70947, 0.704724, -0.000251413, -0.0039968, -0.00370905, -0.00231341, 0, 0, 0, 0, 
[2025-10-20 16:10:56.184817] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [20] 1760991056184735, 2.79879, 0.132925, -0.234961, -0.322848, 0.70947, 0.704724, -0.000251413, -0.0039968, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.187454] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [21] 1760991056187341, 2.80139, 0.132954, -0.234955, -0.322848, 0.709375, 0.704821, -0.000311942, -0.00385067, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.190352] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [22] 1760991056190241, 2.8043, 0.132954, -0.234955, -0.322848, 0.709375, 0.704821, -0.000311942, -0.00385067, 0.00293826, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.192545] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [23] 1760991056192436, 2.80649, 0.132954, -0.234955, -0.322848, 0.709375, 0.704821, -0.000311942, -0.00385067, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:10:56.195078] [0x0000007f95ef99a0] [MocapTag] [0x00003fad] [25] 1760991056194959, 2.80901, 0.132954, -0.234955, -0.322848, 0.709375, 0.704821, -0.000311942, -0.00385067, 0, 0, 0, 0, 0, 0, 
