[2025-10-20 16:13:10.969425] [0x0000007f9c4d37c0] [MocapTag] [0x00004483] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 16:13:10.973661] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [3] 1760991190973527, 2.74255, 0.14457, -0.219679, -0.323386, 0.70678, 0.707157, 0.0137377, 0.0142586, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.976384] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [5] 1760991190976269, 2.74529, 0.14457, -0.219679, -0.323386, 0.70678, 0.707157, 0.0137377, 0.0142586, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.978888] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [7] 1760991190978822, 2.74784, 0.144572, -0.219682, -0.323384, 0.706784, 0.707153, 0.0137262, 0.0142221, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.981917] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [8] 1760991190981797, 2.75082, 0.144572, -0.219682, -0.323384, 0.706784, 0.707153, 0.0137262, 0.0142221, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.984491] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [9] 1760991190984376, 2.7534, 0.144572, -0.219682, -0.323384, 0.706784, 0.707153, 0.0137262, 0.0142221, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.987120] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [10] 1760991190987014, 2.75604, 0.144572, -0.219682, -0.323384, 0.706784, 0.707153, 0.0137262, 0.0142221, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.989917] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [12] 1760991190989747, 2.75877, 0.144567, -0.219678, -0.323377, 0.706775, 0.707162, 0.0137352, 0.0142443, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.992632] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [13] 1760991190992446, 2.76147, 0.144567, -0.219678, -0.323377, 0.706775, 0.707162, 0.0137352, 0.0142443, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.995360] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [14] 1760991190995223, 2.76425, 0.144567, -0.219678, -0.323377, 0.706775, 0.707162, 0.0137352, 0.0142443, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:13:10.998148] [0x0000007f837fd9a0] [MocapTag] [0x00004483] [15] 1760991190998013, 2.76704, 0.144567, -0.219677, -0.323375, 0.706771, 0.707166, 0.0137284, 0.0142425, 0, 0, 0, 0, 0, 0, 
