[2025-10-20 16:16:01.766932] [0x0000007fadcc47c0] [MocapTag] [0x00004b61] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 16:16:01.769703] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [3] 1760991361769525, 2.70633, 0.129721, -0.226858, -0.319721, 0.70607, 0.707832, 0.0152224, 0.0143635, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.772137] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [5] 1760991361772054, 2.70885, 0.129721, -0.226858, -0.319721, 0.70607, 0.707832, 0.0152224, 0.0143635, -0.00263354, 0.00349147, 0, 0, 0, 0, 
[2025-10-20 16:16:01.775556] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [6] 1760991361775437, 2.71224, 0.129721, -0.226858, -0.319721, 0.70607, 0.707832, 0.0152224, 0.0143635, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.778634] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [8] 1760991361778523, 2.71532, 0.129823, -0.226946, -0.319879, 0.705916, 0.707991, 0.0155829, 0.0137206, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.781401] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [9] 1760991361781289, 2.71809, 0.129823, -0.226946, -0.319879, 0.705916, 0.707991, 0.0155829, 0.0137206, 0.0101921, -0.0088759, -0.0158573, 0.0472307, 0.0401907, 0.142871, 
[2025-10-20 16:16:01.783818] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [10] 1760991361783717, 2.72052, 0.129823, -0.226946, -0.319879, 0.705916, 0.707991, 0.0155829, 0.0137206, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.786466] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [11] 1760991361786375, 2.72318, 0.129823, -0.226946, -0.319879, 0.705916, 0.707991, 0.0155829, 0.0137206, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.789012] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [13] 1760991361788900, 2.7257, 0.129881, -0.226882, -0.319936, 0.705795, 0.708104, 0.0157833, 0.0138801, 0, 0, 0, 0, 0, 0, 
[2025-10-20 16:16:01.792710] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [14] 1760991361792595, 2.7294, 0.129881, -0.226882, -0.319936, 0.705795, 0.708104, 0.0157833, 0.0138801, 0.0057512, 0.00639828, -0.00564616, 0, -0.0508618, 0, 
[2025-10-20 16:16:01.795650] [0x0000007fa939d9a0] [MocapTag] [0x00004b61] [15] 1760991361795531, 2.73233, 0.129881, -0.226882, -0.319936, 0.705795, 0.708104, 0.0157833, 0.0138801, 0, 0, 0, 0, 0, 0, 
