[2025-10-20 11:39:16.740603] [0x0000007f93d977c0] [MocapTag] [0x00000b4b] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:39:16.743130] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [3] 1760974756742904, 0.075422, 0.11312, -0.230231, -0.321944, 0.701369, 0.712729, 0.00131666, -0.0098575, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.745902] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [5] 1760974756745783, 0.078301, 0.11312, -0.230231, -0.321944, 0.701369, 0.712729, 0.00131666, -0.0098575, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.748327] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [7] 1760974756748207, 0.080725, 0.113118, -0.23022, -0.321942, 0.701353, 0.712745, 0.0013147, -0.00981663, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.751064] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [8] 1760974756750902, 0.08342, 0.113118, -0.23022, -0.321942, 0.701353, 0.712745, 0.0013147, -0.00981663, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.753481] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [9] 1760974756753373, 0.085891, 0.113118, -0.23022, -0.321942, 0.701353, 0.712745, 0.0013147, -0.00981663, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.756120] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [10] 1760974756756008, 0.088526, 0.113118, -0.23022, -0.321942, 0.701353, 0.712745, 0.0013147, -0.00981663, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.758910] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [12] 1760974756758792, 0.09131, 0.113113, -0.23022, -0.321937, 0.701338, 0.71276, 0.00132741, -0.00980002, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.761705] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [13] 1760974756761592, 0.09411, 0.113113, -0.23022, -0.321937, 0.701338, 0.71276, 0.00132741, -0.00980002, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.763905] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [14] 1760974756763796, 0.096314, 0.113113, -0.23022, -0.321937, 0.701338, 0.71276, 0.00132741, -0.00980002, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.766731] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [15] 1760974756766609, 0.099127, 0.113114, -0.230222, -0.321932, 0.701321, 0.712777, 0.00132247, -0.00982295, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.769398] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [17] 1760974756769283, 0.101801, 0.113114, -0.230222, -0.321932, 0.701321, 0.712777, 0.00132247, -0.00982295, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.771778] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [18] 1760974756771670, 0.104188, 0.113114, -0.230222, -0.321932, 0.701321, 0.712777, 0.00132247, -0.00982295, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.774339] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [19] 1760974756774229, 0.106747, 0.113114, -0.230222, -0.321932, 0.701321, 0.712777, 0.00132247, -0.00982295, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.777058] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [20] 1760974756776939, 0.109457, 0.113109, -0.230238, -0.321938, 0.701339, 0.712758, 0.00133448, -0.00988137, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.780037] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [22] 1760974756779924, 0.112442, 0.113109, -0.230238, -0.321938, 0.701339, 0.712758, 0.00133448, -0.00988137, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.782275] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [23] 1760974756782170, 0.114688, 0.113109, -0.230238, -0.321938, 0.701339, 0.712758, 0.00133448, -0.00988137, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.785017] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [24] 1760974756784910, 0.117428, 0.113109, -0.230238, -0.321938, 0.701339, 0.712758, 0.00133448, -0.00988137, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.787613] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [25] 1760974756787522, 0.12004, 0.113125, -0.230214, -0.321892, 0.701299, 0.712798, 0.0012995, -0.0098804, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.790248] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [27] 1760974756790135, 0.122653, 0.113125, -0.230214, -0.321892, 0.701299, 0.712798, 0.0012995, -0.0098804, 0, 0.00242309, 0.00461212, 0, 0, 0, 
[2025-10-20 11:39:16.793622] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [28] 1760974756793504, 0.126022, 0.113125, -0.230214, -0.321892, 0.701299, 0.712798, 0.0012995, -0.0098804, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.795817] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [29] 1760974756795707, 0.128225, 0.113125, -0.230214, -0.321892, 0.701299, 0.712798, 0.0012995, -0.0098804, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.797937] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [31] 1760974756797857, 0.130375, 0.113122, -0.230219, -0.321895, 0.701284, 0.712813, 0.00130903, -0.00980993, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:39:16.801289] [0x0000007f82ffc9a0] [MocapTag] [0x00000b4b] [32] 1760974756801178, 0.133696, 0.113122, -0.230219, -0.321895, 0.701284, 0.712813, 0.00130903, -0.00980993, 0, 0, 0, 0, 0, 0, 
