[2025-10-20 11:43:20.239275] [0x0000007f899507c0] [MocapTag] [0x00001265] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:43:20.243204] [0x0000007f850299a0] [MocapTag] [0x00001265] [3] 1760975000243069, 0.051535, 0.115611, -0.239752, -0.322566, 0.711392, 0.702688, -0.00999465, -0.00720889, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.245914] [0x0000007f850299a0] [MocapTag] [0x00001265] [5] 1760975000245801, 0.054267, 0.115611, -0.239752, -0.322566, 0.711392, 0.702688, -0.00999465, -0.00720889, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.248040] [0x0000007f850299a0] [MocapTag] [0x00001265] [6] 1760975000247928, 0.056394, 0.115607, -0.239748, -0.322576, 0.711431, 0.702649, -0.00992436, -0.00718834, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.251083] [0x0000007f850299a0] [MocapTag] [0x00001265] [8] 1760975000250947, 0.059413, 0.115607, -0.239748, -0.322576, 0.711431, 0.702649, -0.00992436, -0.00718834, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.253646] [0x0000007f850299a0] [MocapTag] [0x00001265] [9] 1760975000253536, 0.062002, 0.115607, -0.239748, -0.322576, 0.711431, 0.702649, -0.00992436, -0.00718834, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.256215] [0x0000007f850299a0] [MocapTag] [0x00001265] [10] 1760975000256110, 0.064576, 0.115605, -0.239747, -0.322576, 0.71138, 0.702701, -0.00997502, -0.00715323, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.258989] [0x0000007f850299a0] [MocapTag] [0x00001265] [11] 1760975000258902, 0.067368, 0.115605, -0.239747, -0.322576, 0.71138, 0.702701, -0.00997502, -0.00715323, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.261728] [0x0000007f850299a0] [MocapTag] [0x00001265] [13] 1760975000261608, 0.070074, 0.115605, -0.239747, -0.322576, 0.71138, 0.702701, -0.00997502, -0.00715323, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.264284] [0x0000007f850299a0] [MocapTag] [0x00001265] [14] 1760975000264173, 0.072639, 0.115605, -0.239747, -0.322576, 0.71138, 0.702701, -0.00997502, -0.00715323, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.266889] [0x0000007f850299a0] [MocapTag] [0x00001265] [15] 1760975000266775, 0.075241, 0.115606, -0.239736, -0.322571, 0.711428, 0.702652, -0.00992437, -0.00719954, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:43:20.269810] [0x0000007f850299a0] [MocapTag] [0x00001265] [17] 1760975000269642, 0.078108, 0.115606, -0.239736, -0.322571, 0.711428, 0.702652, -0.00992437, -0.00719954, 0, 0, 0, 0, 0, 0, 
