[2025-10-20 11:45:15.034586] [0x0000007fb92e17c0] [MocapTag] [0x000015ca] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:45:15.038441] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [3] 1760975115038307, 0.057532, 0.127072, -0.207433, -0.323476, 0.704518, 0.709561, 0.00723393, -0.0111727, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.040896] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [5] 1760975115040773, 0.059998, 0.127072, -0.207433, -0.323476, 0.704518, 0.709561, 0.00723393, -0.0111727, 0.00262355, 0, 0.00282904, 0, 0, 0, 
[2025-10-20 11:45:15.043386] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [7] 1760975115043276, 0.062501, 0.127072, -0.207433, -0.323476, 0.704518, 0.709561, 0.00723393, -0.0111727, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.047404] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [8] 1760975115047295, 0.06652, 0.127072, -0.207433, -0.323476, 0.704518, 0.709561, 0.00723393, -0.0111727, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.049451] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [9] 1760975115049350, 0.068575, 0.127037, -0.20746, -0.323503, 0.704604, 0.709474, 0.00728078, -0.0112504, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.052438] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [11] 1760975115052318, 0.071543, 0.127037, -0.20746, -0.323503, 0.704604, 0.709474, 0.00728078, -0.0112504, -0.00344491, -0.00266618, -0.00277761, 0, 0, 0, 
[2025-10-20 11:45:15.055297] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [12] 1760975115055188, 0.074413, 0.127037, -0.20746, -0.323503, 0.704604, 0.709474, 0.00728078, -0.0112504, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.058432] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [13] 1760975115058317, 0.077542, 0.127025, -0.207485, -0.323539, 0.704639, 0.709439, 0.00727692, -0.0113025, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.060501] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [14] 1760975115060389, 0.079614, 0.127025, -0.207485, -0.323539, 0.704639, 0.709439, 0.00727692, -0.0113025, 0, -0.00252059, -0.00353719, 0, 0, 0, 
[2025-10-20 11:45:15.063495] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [16] 1760975115063384, 0.082609, 0.127025, -0.207485, -0.323539, 0.704639, 0.709439, 0.00727692, -0.0113025, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.065842] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [17] 1760975115065738, 0.084963, 0.127025, -0.207485, -0.323539, 0.704639, 0.709439, 0.00727692, -0.0113025, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.068539] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [18] 1760975115068419, 0.087644, 0.127044, -0.207446, -0.323524, 0.704504, 0.709576, 0.0072261, -0.011141, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.071801] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [20] 1760975115071710, 0.090935, 0.127044, -0.207446, -0.323524, 0.704504, 0.709576, 0.0072261, -0.011141, 0, 0.00394402, 0, 0.0388026, 0, 0, 
[2025-10-20 11:45:15.073665] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [21] 1760975115073555, 0.09278, 0.127044, -0.207446, -0.323524, 0.704504, 0.709576, 0.0072261, -0.011141, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.076261] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [22] 1760975115076154, 0.095379, 0.127029, -0.207445, -0.323546, 0.704487, 0.709592, 0.00724599, -0.0111981, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.079480] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [23] 1760975115079374, 0.098599, 0.127029, -0.207445, -0.323546, 0.704487, 0.709592, 0.00724599, -0.0111981, 0, 0, -0.00215056, 0, 0, 0, 
[2025-10-20 11:45:15.082232] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [25] 1760975115082123, 0.101348, 0.127029, -0.207445, -0.323546, 0.704487, 0.709592, 0.00724599, -0.0111981, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.085306] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [26] 1760975115085194, 0.104419, 0.127029, -0.207445, -0.323546, 0.704487, 0.709592, 0.00724599, -0.0111981, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.087360] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [27] 1760975115087254, 0.106479, 0.127032, -0.207433, -0.323561, 0.70445, 0.709629, 0.00721462, -0.0111914, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.090242] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [28] 1760975115090130, 0.109355, 0.127032, -0.207433, -0.323561, 0.70445, 0.709629, 0.00721462, -0.0111914, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.092526] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [30] 1760975115092431, 0.111656, 0.127032, -0.207433, -0.323561, 0.70445, 0.709629, 0.00721462, -0.0111914, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:45:15.095645] [0x0000007fb49ba9a0] [MocapTag] [0x000015ca] [31] 1760975115095535, 0.11476, 0.127032, -0.207433, -0.323561, 0.70445, 0.709629, 0.00721462, -0.0111914, 0, 0, 0, 0, 0, 0, 
