[2025-10-20 11:47:29.379077] [0x0000007fa38ea7c0] [MocapTag] [0x0000199d] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:47:29.383059] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [3] 1760975249382885, 0.057487, 0.13748, -0.227486, -0.324619, 0.710392, 0.703691, -0.00521889, -0.0115697, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.386984] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [6] 1760975249386865, 0.061467, 0.13748, -0.227486, -0.324619, 0.710392, 0.703691, -0.00521889, -0.0115697, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.387992] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [7] 1760975249387873, 0.062475, 0.137491, -0.227487, -0.324619, 0.710375, 0.703709, -0.00530226, -0.0115521, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.390704] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [8] 1760975249390592, 0.065194, 0.137491, -0.227487, -0.324619, 0.710375, 0.703709, -0.00530226, -0.0115521, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.394443] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [9] 1760975249394334, 0.068936, 0.137491, -0.227487, -0.324619, 0.710375, 0.703709, -0.00530226, -0.0115521, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.397416] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [11] 1760975249397305, 0.071907, 0.137485, -0.227494, -0.324636, 0.710379, 0.703705, -0.00533124, -0.0115551, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.400252] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [12] 1760975249400137, 0.074739, 0.137485, -0.227494, -0.324636, 0.710379, 0.703705, -0.00533124, -0.0115551, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.402709] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [13] 1760975249402594, 0.077196, 0.137485, -0.227494, -0.324636, 0.710379, 0.703705, -0.00533124, -0.0115551, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.405697] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [14] 1760975249405580, 0.080182, 0.137485, -0.227494, -0.324636, 0.710379, 0.703705, -0.00533124, -0.0115551, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.408328] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [16] 1760975249408216, 0.082818, 0.137498, -0.22748, -0.324637, 0.710438, 0.703647, -0.00522466, -0.0115055, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.411070] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [17] 1760975249410946, 0.085548, 0.137498, -0.22748, -0.324637, 0.710438, 0.703647, -0.00522466, -0.0115055, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.413555] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [18] 1760975249413446, 0.088048, 0.137498, -0.22748, -0.324637, 0.710438, 0.703647, -0.00522466, -0.0115055, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.416176] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [20] 1760975249416112, 0.090714, 0.137498, -0.22748, -0.324637, 0.710438, 0.703647, -0.00522466, -0.0115055, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.418770] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [21] 1760975249418659, 0.093261, 0.137522, -0.227466, -0.324617, 0.710376, 0.703708, -0.00533123, -0.0115132, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.421679] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [22] 1760975249421572, 0.096174, 0.137522, -0.227466, -0.324617, 0.710376, 0.703708, -0.00533123, -0.0115132, 0.00242624, 0, 0.00201688, 0, 0, 0, 
[2025-10-20 11:47:29.423888] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [23] 1760975249423784, 0.098386, 0.137522, -0.227466, -0.324617, 0.710376, 0.703708, -0.00533123, -0.0115132, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.426673] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [25] 1760975249426561, 0.101163, 0.13751, -0.227458, -0.324628, 0.710391, 0.703692, -0.00530019, -0.0115859, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.429325] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [26] 1760975249429216, 0.103818, 0.13751, -0.227458, -0.324628, 0.710391, 0.703692, -0.00530019, -0.0115859, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.431838] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [27] 1760975249431729, 0.106331, 0.13751, -0.227458, -0.324628, 0.710391, 0.703692, -0.00530019, -0.0115859, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.434313] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [28] 1760975249434205, 0.108807, 0.13751, -0.227458, -0.324628, 0.710391, 0.703692, -0.00530019, -0.0115859, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.436852] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [30] 1760975249436747, 0.111349, 0.137518, -0.227446, -0.324617, 0.710424, 0.70366, -0.00525368, -0.0115439, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:47:29.440346] [0x0000007f8afc29a0] [MocapTag] [0x0000199d] [31] 1760975249440233, 0.114835, 0.137518, -0.227446, -0.324617, 0.710424, 0.70366, -0.00525368, -0.0115439, 0, 0, 0, 0, 0, 0, 
