[2025-10-20 11:49:44.478220] [0x0000007f8c2777c0] [MocapTag] [0x00001e07] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 11:49:44.480954] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [3] 1760975384480773, 0.056558, 0.135782, -0.222582, -0.323818, 0.701944, 0.7121, 0.00963704, -0.00971426, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.483281] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [5] 1760975384483167, 0.058952, 0.135782, -0.222582, -0.323818, 0.701944, 0.7121, 0.00963704, -0.00971426, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.485786] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [7] 1760975384485708, 0.061493, 0.135782, -0.222582, -0.323818, 0.701944, 0.7121, 0.00963704, -0.00971426, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.488371] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [8] 1760975384488261, 0.064046, 0.13578, -0.222582, -0.323815, 0.701926, 0.712118, 0.00965281, -0.00974631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.491040] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [9] 1760975384490929, 0.066714, 0.13578, -0.222582, -0.323815, 0.701926, 0.712118, 0.00965281, -0.00974631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.493618] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [10] 1760975384493512, 0.069297, 0.13578, -0.222582, -0.323815, 0.701926, 0.712118, 0.00965281, -0.00974631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.496259] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [12] 1760975384496136, 0.071921, 0.13578, -0.222582, -0.323815, 0.701926, 0.712118, 0.00965281, -0.00974631, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.498656] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [13] 1760975384498544, 0.074329, 0.135837, -0.222581, -0.323802, 0.701928, 0.712119, 0.00954424, -0.0096498, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.501403] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [14] 1760975384501291, 0.077076, 0.135837, -0.222581, -0.323802, 0.701928, 0.712119, 0.00954424, -0.0096498, 0.00566337, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.503912] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [15] 1760975384503799, 0.079584, 0.135837, -0.222581, -0.323802, 0.701928, 0.712119, 0.00954424, -0.0096498, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.506528] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [17] 1760975384506413, 0.082198, 0.135822, -0.222569, -0.323787, 0.701984, 0.712064, 0.00961126, -0.00959043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.509177] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [18] 1760975384509068, 0.084853, 0.135822, -0.222569, -0.323787, 0.701984, 0.712064, 0.00961126, -0.00959043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 11:49:44.510998] [0x0000007f737fd9a0] [MocapTag] [0x00001e07] [19] 1760975384510893, 0.086678, 0.135822, -0.222569, -0.323787, 0.701984, 0.712064, 0.00961126, -0.00959043, 0, 0, 0, 0, 0, 0, 
