[2025-10-20 15:07:43.193586] [0x0000007faf4887c0] [MocapTag] [0x00000903] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:07:43.198591] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [4] 1760987263198445, 0.079167, 0.134877, -0.241562, -0.319463, 0.706223, 0.70798, 0.00108375, 0.0034784, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.201330] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [6] 1760987263201226, 0.081948, 0.134881, -0.241563, -0.319462, 0.706221, 0.707982, 0.00107693, 0.00349777, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.204074] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [7] 1760987263203963, 0.084685, 0.134881, -0.241563, -0.319462, 0.706221, 0.707982, 0.00107693, 0.00349777, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.206472] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [8] 1760987263206335, 0.087057, 0.134881, -0.241563, -0.319462, 0.706221, 0.707982, 0.00107693, 0.00349777, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.209092] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [9] 1760987263208986, 0.089708, 0.134885, -0.241562, -0.319461, 0.706233, 0.707971, 0.00107893, 0.00345327, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.211904] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [11] 1760987263211789, 0.092511, 0.134885, -0.241562, -0.319461, 0.706233, 0.707971, 0.00107893, 0.00345327, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.214761] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [12] 1760987263214650, 0.095372, 0.134885, -0.241562, -0.319461, 0.706233, 0.707971, 0.00107893, 0.00345327, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.217512] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [13] 1760987263217405, 0.098127, 0.134885, -0.241562, -0.319461, 0.706233, 0.707971, 0.00107893, 0.00345327, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.220223] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [14] 1760987263220113, 0.100835, 0.13488, -0.241556, -0.319456, 0.706237, 0.707966, 0.00108452, 0.00346575, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:07:43.222968] [0x0000007f9e7fb9a0] [MocapTag] [0x00000903] [16] 1760987263222851, 0.103573, 0.13488, -0.241556, -0.319456, 0.706237, 0.707966, 0.00108452, 0.00346575, 0, 0, 0, 0, 0, 0, 
