[2025-10-20 15:09:28.727780] [0x0000007fa33c87c0] [MocapTag] [0x00000c36] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:09:28.731944] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [4] 1760987368731794, 0.05186, 0.151493, -0.251562, -0.320508, 0.706243, 0.707472, 0.0191923, 0.0183202, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.732674] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [5] 1760987368732554, 0.05262, 0.151493, -0.251562, -0.320508, 0.706243, 0.707472, 0.0191923, 0.0183202, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.733420] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [6] 1760987368733301, 0.053367, 0.151493, -0.251562, -0.320508, 0.706243, 0.707472, 0.0191923, 0.0183202, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.734056] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [7] 1760987368733940, 0.054006, 0.151488, -0.251581, -0.320519, 0.706252, 0.707464, 0.0191521, 0.0183506, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.735207] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [8] 1760987368735079, 0.055145, 0.151488, -0.251581, -0.320519, 0.706252, 0.707464, 0.0191521, 0.0183506, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.737950] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [10] 1760987368737870, 0.057936, 0.151488, -0.251581, -0.320519, 0.706252, 0.707464, 0.0191521, 0.0183506, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.740103] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [11] 1760987368739975, 0.060041, 0.151478, -0.251562, -0.320507, 0.706247, 0.707467, 0.019213, 0.0183309, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.742786] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [12] 1760987368742677, 0.062743, 0.151478, -0.251562, -0.320507, 0.706247, 0.707467, 0.019213, 0.0183309, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.745259] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [13] 1760987368745155, 0.065221, 0.151478, -0.251562, -0.320507, 0.706247, 0.707467, 0.019213, 0.0183309, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:09:28.748106] [0x0000007f927fb9a0] [MocapTag] [0x00000c36] [15] 1760987368747998, 0.068064, 0.151478, -0.251562, -0.320507, 0.706247, 0.707467, 0.019213, 0.0183309, 0, 0, 0, 0, 0, 0, 
