[2025-10-20 15:11:48.219391] [0x0000007fb761d7c0] [MocapTag] [0x0000104a] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:11:48.222439] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [3] 1760987508222260, 0.050495, 0.152945, -0.230062, -0.319161, 0.705911, 0.708242, 0.00344531, 0.00847194, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.225188] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [5] 1760987508225067, 0.053302, 0.152945, -0.230062, -0.319161, 0.705911, 0.708242, 0.00344531, 0.00847194, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.227753] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [6] 1760987508227639, 0.055874, 0.152945, -0.230062, -0.319161, 0.705911, 0.708242, 0.00344531, 0.00847194, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.230609] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [8] 1760987508230497, 0.058732, 0.152945, -0.230062, -0.319161, 0.705911, 0.708242, 0.00344531, 0.00847194, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.232792] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [9] 1760987508232686, 0.060921, 0.152948, -0.230048, -0.319141, 0.705905, 0.708246, 0.00343801, 0.00855393, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.235708] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [10] 1760987508235594, 0.063829, 0.152948, -0.230048, -0.319141, 0.705905, 0.708246, 0.00343801, 0.00855393, 0, 0, 0.0020482, 0, 0, 0, 
[2025-10-20 15:11:48.238160] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [11] 1760987508238052, 0.066287, 0.152948, -0.230048, -0.319141, 0.705905, 0.708246, 0.00343801, 0.00855393, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.240852] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [13] 1760987508240738, 0.068973, 0.15294, -0.230065, -0.31916, 0.705903, 0.708249, 0.00344686, 0.00850485, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.243567] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [14] 1760987508243460, 0.071695, 0.15294, -0.230065, -0.31916, 0.705903, 0.708249, 0.00344686, 0.00850485, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:11:48.245964] [0x0000007fa67fb9a0] [MocapTag] [0x0000104a] [15] 1760987508245852, 0.074087, 0.15294, -0.230065, -0.31916, 0.705903, 0.708249, 0.00344686, 0.00850485, 0, 0, 0, 0, 0, 0, 
