[2025-10-20 15:13:25.982309] [0x0000007fbae317c0] [MocapTag] [0x00001350] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:13:25.987309] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [4] 1760987605987132, 0.059108, 0.144056, -0.24316, -0.319338, 0.706213, 0.707859, 0.00828002, 0.0113998, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:25.989409] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [5] 1760987605989321, 0.061297, 0.144056, -0.24316, -0.319338, 0.706213, 0.707859, 0.00828002, 0.0113998, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:25.992099] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [7] 1760987605991990, 0.063966, 0.144056, -0.24316, -0.319338, 0.706213, 0.707859, 0.00828002, 0.0113998, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:25.994930] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [8] 1760987605994816, 0.066792, 0.144061, -0.243172, -0.319338, 0.706222, 0.707851, 0.00828173, 0.0113488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:25.997101] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [9] 1760987605996994, 0.06897, 0.144061, -0.243172, -0.319338, 0.706222, 0.707851, 0.00828173, 0.0113488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:25.999630] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [11] 1760987605999539, 0.071515, 0.144061, -0.243172, -0.319338, 0.706222, 0.707851, 0.00828173, 0.0113488, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.002419] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [12] 1760987606002308, 0.074284, 0.144058, -0.243176, -0.319351, 0.706236, 0.707838, 0.00828584, 0.011314, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.005260] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [13] 1760987606005146, 0.077122, 0.144058, -0.243176, -0.319351, 0.706236, 0.707838, 0.00828584, 0.011314, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.007805] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [14] 1760987606007685, 0.079661, 0.144058, -0.243176, -0.319351, 0.706236, 0.707838, 0.00828584, 0.011314, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.010816] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [16] 1760987606010700, 0.082676, 0.144058, -0.243176, -0.319351, 0.706236, 0.707838, 0.00828584, 0.011314, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.013675] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [17] 1760987606013562, 0.085538, 0.14406, -0.243174, -0.319346, 0.706236, 0.707837, 0.0082984, 0.0113225, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.016233] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [18] 1760987606016129, 0.088105, 0.14406, -0.243174, -0.319346, 0.706236, 0.707837, 0.0082984, 0.0113225, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.018794] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [19] 1760987606018678, 0.090654, 0.14406, -0.243174, -0.319346, 0.706236, 0.707837, 0.0082984, 0.0113225, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.021896] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [21] 1760987606021786, 0.093762, 0.14406, -0.243174, -0.319346, 0.706236, 0.707837, 0.0082984, 0.0113225, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.024087] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [22] 1760987606023982, 0.095958, 0.144057, -0.243171, -0.319344, 0.706216, 0.707857, 0.0082685, 0.0113849, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.029475] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [24] 1760987606029392, 0.101368, 0.144057, -0.243171, -0.319344, 0.706216, 0.707857, 0.0082685, 0.0113849, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.029954] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [25] 1760987606029858, 0.101834, 0.144057, -0.243171, -0.319344, 0.706216, 0.707857, 0.0082685, 0.0113849, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.032676] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [26] 1760987606032563, 0.104539, 0.144061, -0.243162, -0.31934, 0.706218, 0.707855, 0.00827337, 0.011355, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.035270] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [27] 1760987606035163, 0.107139, 0.144061, -0.243162, -0.31934, 0.706218, 0.707855, 0.00827337, 0.011355, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.037803] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [28] 1760987606037689, 0.109665, 0.144061, -0.243162, -0.31934, 0.706218, 0.707855, 0.00827337, 0.011355, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.040659] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [30] 1760987606040548, 0.112524, 0.144061, -0.243162, -0.31934, 0.706218, 0.707855, 0.00827337, 0.011355, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.043019] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [31] 1760987606042911, 0.114887, 0.144061, -0.243171, -0.31935, 0.706243, 0.707831, 0.00828537, 0.0113103, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.045931] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [32] 1760987606045819, 0.117795, 0.144061, -0.243171, -0.31935, 0.706243, 0.707831, 0.00828537, 0.0113103, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.048276] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [33] 1760987606048145, 0.120121, 0.144061, -0.243171, -0.31935, 0.706243, 0.707831, 0.00828537, 0.0113103, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.051320] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [35] 1760987606051208, 0.123184, 0.144061, -0.243171, -0.31935, 0.706243, 0.707831, 0.00828537, 0.0113103, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.053625] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [36] 1760987606053521, 0.125497, 0.144054, -0.243169, -0.31935, 0.706225, 0.707848, 0.00829538, 0.0113207, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.056597] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [37] 1760987606056471, 0.128447, 0.144054, -0.243169, -0.31935, 0.706225, 0.707848, 0.00829538, 0.0113207, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.059645] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [39] 1760987606059569, 0.131545, 0.144054, -0.243169, -0.31935, 0.706225, 0.707848, 0.00829538, 0.0113207, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.062558] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [40] 1760987606062444, 0.13442, 0.144054, -0.243169, -0.31935, 0.706225, 0.707848, 0.00829538, 0.0113207, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.065012] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [41] 1760987606064905, 0.136881, 0.144059, -0.24316, -0.31934, 0.706224, 0.707849, 0.00828626, 0.0113568, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.069261] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [43] 1760987606069185, 0.141161, 0.144059, -0.24316, -0.31934, 0.706224, 0.707849, 0.00828626, 0.0113568, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.071076] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [44] 1760987606070961, 0.142937, 0.144059, -0.24316, -0.31934, 0.706224, 0.707849, 0.00828626, 0.0113568, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.074136] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [45] 1760987606074029, 0.146005, 0.144059, -0.24317, -0.31935, 0.706235, 0.707839, 0.00828593, 0.0112773, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.076955] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [46] 1760987606076838, 0.148814, 0.144059, -0.24317, -0.31935, 0.706235, 0.707839, 0.00828593, 0.0112773, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.079561] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [48] 1760987606079486, 0.151462, 0.144059, -0.24317, -0.31935, 0.706235, 0.707839, 0.00828593, 0.0112773, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.082049] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [49] 1760987606081937, 0.153913, 0.144059, -0.24317, -0.31935, 0.706235, 0.707839, 0.00828593, 0.0112773, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.084671] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [50] 1760987606084560, 0.156536, 0.144056, -0.243161, -0.319341, 0.706224, 0.707849, 0.0082921, 0.0113185, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.087618] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [51] 1760987606087514, 0.15949, 0.144056, -0.243161, -0.319341, 0.706224, 0.707849, 0.0082921, 0.0113185, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.091071] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [53] 1760987606090957, 0.162933, 0.144056, -0.243161, -0.319341, 0.706224, 0.707849, 0.0082921, 0.0113185, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.093426] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [54] 1760987606093316, 0.165292, 0.144053, -0.243157, -0.319338, 0.706221, 0.707851, 0.00828609, 0.0113644, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.096306] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [55] 1760987606096192, 0.168168, 0.144053, -0.243157, -0.319338, 0.706221, 0.707851, 0.00828609, 0.0113644, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.098788] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [56] 1760987606098702, 0.170678, 0.144053, -0.243157, -0.319338, 0.706221, 0.707851, 0.00828609, 0.0113644, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.101706] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [58] 1760987606101586, 0.173562, 0.144053, -0.243157, -0.319338, 0.706221, 0.707851, 0.00828609, 0.0113644, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.104145] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [59] 1760987606104035, 0.176011, 0.144056, -0.243163, -0.319338, 0.706232, 0.707842, 0.00828653, 0.0113242, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.106862] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [60] 1760987606106757, 0.178733, 0.144056, -0.243163, -0.319338, 0.706232, 0.707842, 0.00828653, 0.0113242, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.110288] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [62] 1760987606110168, 0.182144, 0.144056, -0.243163, -0.319338, 0.706232, 0.707842, 0.00828653, 0.0113242, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.113266] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [63] 1760987606113161, 0.185137, 0.144056, -0.243163, -0.319338, 0.706232, 0.707842, 0.00828653, 0.0113242, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.114455] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [64] 1760987606114351, 0.186327, 0.14406, -0.243166, -0.319339, 0.706232, 0.707841, 0.00829242, 0.0113343, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.117276] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [65] 1760987606117162, 0.189138, 0.14406, -0.243166, -0.319339, 0.706232, 0.707841, 0.00829242, 0.0113343, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.120628] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [67] 1760987606120517, 0.192493, 0.14406, -0.243166, -0.319339, 0.706232, 0.707841, 0.00829242, 0.0113343, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.123033] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [68] 1760987606122911, 0.194887, 0.14405, -0.243182, -0.31935, 0.70622, 0.707853, 0.00828801, 0.0113145, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.125632] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [69] 1760987606125524, 0.1975, 0.14405, -0.243182, -0.31935, 0.70622, 0.707853, 0.00828801, 0.0113145, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.128099] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [70] 1760987606127995, 0.199971, 0.14405, -0.243182, -0.31935, 0.70622, 0.707853, 0.00828801, 0.0113145, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.130803] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [72] 1760987606130688, 0.202664, 0.14405, -0.243182, -0.31935, 0.70622, 0.707853, 0.00828801, 0.0113145, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.133405] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [73] 1760987606133299, 0.205275, 0.144053, -0.243165, -0.319335, 0.706216, 0.707857, 0.00828412, 0.0113565, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.136353] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [74] 1760987606136242, 0.208218, 0.144053, -0.243165, -0.319335, 0.706216, 0.707857, 0.00828412, 0.0113565, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.139013] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [75] 1760987606138924, 0.2109, 0.144053, -0.243165, -0.319335, 0.706216, 0.707857, 0.00828412, 0.0113565, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.141668] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [77] 1760987606141557, 0.213533, 0.144053, -0.243165, -0.319335, 0.706216, 0.707857, 0.00828412, 0.0113565, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.144503] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [78] 1760987606144376, 0.216352, 0.144058, -0.243169, -0.319341, 0.706225, 0.707848, 0.00829085, 0.0113493, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.147025] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [79] 1760987606146915, 0.218891, 0.144058, -0.243169, -0.319341, 0.706225, 0.707848, 0.00829085, 0.0113493, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.149949] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [81] 1760987606149825, 0.221801, 0.144058, -0.243169, -0.319341, 0.706225, 0.707848, 0.00829085, 0.0113493, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.152503] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [82] 1760987606152395, 0.224371, 0.144058, -0.243169, -0.319341, 0.706225, 0.707848, 0.00829085, 0.0113493, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.155099] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [83] 1760987606154994, 0.22697, 0.144063, -0.243171, -0.31934, 0.706239, 0.707834, 0.00828781, 0.0113427, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.157980] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [84] 1760987606157868, 0.229844, 0.144063, -0.243171, -0.31934, 0.706239, 0.707834, 0.00828781, 0.0113427, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.161333] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [86] 1760987606161219, 0.233195, 0.144063, -0.243171, -0.31934, 0.706239, 0.707834, 0.00828781, 0.0113427, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.162997] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [87] 1760987606162894, 0.23487, 0.144065, -0.243175, -0.319342, 0.706242, 0.707832, 0.0082702, 0.011321, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.165935] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [88] 1760987606165824, 0.2378, 0.144065, -0.243175, -0.319342, 0.706242, 0.707832, 0.0082702, 0.011321, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.168406] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [89] 1760987606168287, 0.240263, 0.144065, -0.243175, -0.319342, 0.706242, 0.707832, 0.0082702, 0.011321, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.171242] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [91] 1760987606171130, 0.243106, 0.144065, -0.243175, -0.319342, 0.706242, 0.707832, 0.0082702, 0.011321, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.173617] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [92] 1760987606173508, 0.245484, 0.144057, -0.243131, -0.319366, 0.706209, 0.707863, 0.00834233, 0.0113897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.176338] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [93] 1760987606176233, 0.248209, 0.144057, -0.243131, -0.319366, 0.706209, 0.707863, 0.00834233, 0.0113897, 0, 0.00440659, -0.002342, 0, 0, 0, 
[2025-10-20 15:13:26.179296] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [95] 1760987606179214, 0.25119, 0.144057, -0.243131, -0.319366, 0.706209, 0.707863, 0.00834233, 0.0113897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.181907] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [96] 1760987606181797, 0.253773, 0.144057, -0.243131, -0.319366, 0.706209, 0.707863, 0.00834233, 0.0113897, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.184368] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [97] 1760987606184262, 0.256238, 0.144669, -0.242904, -0.319305, 0.705808, 0.708253, 0.00767676, 0.0123965, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:13:26.187179] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [98] 1760987606187067, 0.259043, 0.144669, -0.242904, -0.319305, 0.705808, 0.708253, 0.00767676, 0.0123965, 0.0612468, 0.0226785, 0.00608355, 0.108409, -0.0489088, -0.23495, 
[2025-10-20 15:13:26.189674] [0x0000007fa9ffa9a0] [MocapTag] [0x00001350] [100] 1760987606189564, 0.26154, 0.144669, -0.242904, -0.319305, 0.705808, 0.708253, 0.00767676, 0.0123965, 0, 0, 0, 0, 0, 0, 
