[2025-10-20 15:15:16.936839] [0x0000007f8609c7c0] [MocapTag] [0x000016b8] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-10-20 15:15:16.939884] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [3] 1760987716939652, 0.056451, 0.151946, -0.222043, -0.319525, 0.70598, 0.708037, 0.00939018, 0.0137268, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.942311] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [5] 1760987716942200, 0.058999, 0.151946, -0.222043, -0.319525, 0.70598, 0.708037, 0.00939018, 0.0137268, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.944944] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [7] 1760987716944830, 0.061629, 0.151939, -0.22203, -0.319511, 0.705988, 0.708027, 0.00939443, 0.0137927, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.947706] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [8] 1760987716947597, 0.064396, 0.151939, -0.22203, -0.319511, 0.705988, 0.708027, 0.00939443, 0.0137927, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.950208] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [9] 1760987716950101, 0.0669, 0.151939, -0.22203, -0.319511, 0.705988, 0.708027, 0.00939443, 0.0137927, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.953116] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [10] 1760987716952968, 0.069767, 0.151939, -0.22203, -0.319511, 0.705988, 0.708027, 0.00939443, 0.0137927, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.955587] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [12] 1760987716955476, 0.072275, 0.151936, -0.222044, -0.319522, 0.70598, 0.708036, 0.00939884, 0.0137538, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.958337] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [13] 1760987716958211, 0.07501, 0.151936, -0.222044, -0.319522, 0.70598, 0.708036, 0.00939884, 0.0137538, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.961029] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [14] 1760987716960914, 0.077713, 0.151936, -0.222044, -0.319522, 0.70598, 0.708036, 0.00939884, 0.0137538, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.963601] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [15] 1760987716963511, 0.08031, 0.151938, -0.222039, -0.319505, 0.705982, 0.708033, 0.00938012, 0.0138233, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.967045] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [17] 1760987716966935, 0.083734, 0.151938, -0.222039, -0.319505, 0.705982, 0.708033, 0.00938012, 0.0138233, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.969657] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [18] 1760987716969539, 0.086338, 0.151938, -0.222039, -0.319505, 0.705982, 0.708033, 0.00938012, 0.0138233, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.972296] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [19] 1760987716972187, 0.088986, 0.151938, -0.222039, -0.319505, 0.705982, 0.708033, 0.00938012, 0.0138233, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.974911] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [21] 1760987716974796, 0.091595, 0.15194, -0.222055, -0.319517, 0.706003, 0.708014, 0.00939277, 0.0137405, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.978917] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [22] 1760987716978808, 0.095607, 0.15194, -0.222055, -0.319517, 0.706003, 0.708014, 0.00939277, 0.0137405, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.980348] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [23] 1760987716980248, 0.097047, 0.15194, -0.222055, -0.319517, 0.706003, 0.708014, 0.00939277, 0.0137405, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.983226] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [24] 1760987716983102, 0.099901, 0.15194, -0.222055, -0.319517, 0.706003, 0.708014, 0.00939277, 0.0137405, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.985729] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [26] 1760987716985614, 0.102413, 0.151947, -0.22206, -0.31952, 0.706007, 0.70801, 0.00938411, 0.0137043, 0, 0, 0, 0, 0, 0, 
[2025-10-20 15:15:16.988657] [0x0000007f7d6f89a0] [MocapTag] [0x000016b8] [27] 1760987716988552, 0.105351, 0.151947, -0.22206, -0.31952, 0.706007, 0.70801, 0.00938411, 0.0137043, 0, 0, 0, 0, 0, 0, 
