[2026-03-25 15:15:22.566655] [0x0000007f8f54a7c0] [MocapTag] [0x00000c24] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2026-03-25 15:15:22.572870] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [4] 1774466122572720, 2.63962, 0.0759589, -0.243529, -0.321915, 0.71434, 0.699054, 0.0044665, 0.0319587, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.576662] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [6] 1774466122576595, 2.6435, 0.0759589, -0.243529, -0.321915, 0.71434, 0.699054, 0.0044665, 0.0319587, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.578723] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [7] 1774466122578580, 2.64548, 0.0759524, -0.243529, -0.321914, 0.714341, 0.699053, 0.00446917, 0.0319561, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.580639] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [8] 1774466122580533, 2.64744, 0.0759524, -0.243529, -0.321914, 0.714341, 0.699053, 0.00446917, 0.0319561, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.583472] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [9] 1774466122583367, 2.65027, 0.0759524, -0.243529, -0.321914, 0.714341, 0.699053, 0.00446917, 0.0319561, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.586133] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [10] 1774466122586023, 2.65293, 0.0759524, -0.243529, -0.321914, 0.714341, 0.699053, 0.00446917, 0.0319561, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.590796] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [12] 1774466122590687, 2.65759, 0.0759554, -0.243532, -0.321916, 0.714342, 0.699054, 0.00446887, 0.0319338, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.593630] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [13] 1774466122593525, 2.66043, 0.0759554, -0.243532, -0.321916, 0.714342, 0.699054, 0.00446887, 0.0319338, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.596390] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [14] 1774466122596307, 2.66321, 0.0759554, -0.243532, -0.321916, 0.714342, 0.699054, 0.00446887, 0.0319338, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.599302] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [16] 1774466122599195, 2.6661, 0.0759539, -0.243529, -0.321918, 0.71434, 0.699055, 0.00447746, 0.0319523, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.603554] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [17] 1774466122603435, 2.67034, 0.0759539, -0.243529, -0.321918, 0.71434, 0.699055, 0.00447746, 0.0319523, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.606300] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [18] 1774466122606214, 2.67312, 0.0759539, -0.243529, -0.321918, 0.71434, 0.699055, 0.00447746, 0.0319523, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.608974] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [20] 1774466122608859, 2.67576, 0.0759487, -0.243531, -0.321917, 0.714353, 0.699042, 0.00447192, 0.0319494, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.611668] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [21] 1774466122611560, 2.67846, 0.0759487, -0.243531, -0.321917, 0.714353, 0.699042, 0.00447192, 0.0319494, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.614379] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [22] 1774466122614275, 2.68118, 0.0759487, -0.243531, -0.321917, 0.714353, 0.699042, 0.00447192, 0.0319494, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.620682] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [24] 1774466122620572, 2.68748, 0.0759487, -0.243531, -0.321917, 0.714353, 0.699042, 0.00447192, 0.0319494, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.621692] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [25] 1774466122621586, 2.68849, 0.0759518, -0.243526, -0.321916, 0.714339, 0.699056, 0.00447356, 0.0319516, 0, 0, 0, 0, 0, 0, 
[2026-03-25 15:15:22.624383] [0x0000007f7e7fb9a0] [MocapTag] [0x00000c24] [26] 1774466122624278, 2.69118, 0.0759518, -0.243526, -0.321916, 0.714339, 0.699056, 0.00447356, 0.0319516, 0, 0, 0, 0, 0, 0, 
