[2026-03-25 19:28:12.934778] [0x0000007f8cee07c0] [MocapTag] [0x00000934] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2026-03-25 19:28:12.937496] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [3] 1774481292937330, 2.58921, -0.0355257, -0.335122, -0.322986, 0.711931, 0.701917, -0.00623075, 0.020672, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.939824] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [5] 1774481292939706, 2.59159, -0.0355257, -0.335122, -0.322986, 0.711931, 0.701917, -0.00623075, 0.020672, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.942315] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [6] 1774481292942208, 2.59409, -0.035534, -0.335121, -0.322996, 0.711925, 0.701923, -0.00622466, 0.0206716, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.947662] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [8] 1774481292947550, 2.59943, -0.035534, -0.335121, -0.322996, 0.711925, 0.701923, -0.00622466, 0.0206716, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.949850] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [9] 1774481292949748, 2.60163, -0.035534, -0.335121, -0.322996, 0.711925, 0.701923, -0.00622466, 0.0206716, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.952482] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [10] 1774481292952367, 2.60425, -0.035536, -0.335118, -0.323002, 0.711922, 0.701927, -0.00624114, 0.0206774, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.955362] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [11] 1774481292955280, 2.60716, -0.035536, -0.335118, -0.323002, 0.711922, 0.701927, -0.00624114, 0.0206774, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.958272] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [13] 1774481292958164, 2.61004, -0.035536, -0.335118, -0.323002, 0.711922, 0.701927, -0.00624114, 0.0206774, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.962998] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [14] 1774481292962892, 2.61477, -0.035536, -0.335118, -0.323002, 0.711922, 0.701927, -0.00624114, 0.0206774, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.965779] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [16] 1774481292965717, 2.6176, -0.0355319, -0.335119, -0.323006, 0.711922, 0.701926, -0.00623255, 0.0206951, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.968693] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [17] 1774481292968582, 2.62046, -0.0355319, -0.335119, -0.323006, 0.711922, 0.701926, -0.00623255, 0.0206951, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.971403] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [18] 1774481292971296, 2.62318, -0.03553, -0.335123, -0.323017, 0.711932, 0.701917, -0.00621773, 0.020676, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.974626] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [19] 1774481292974520, 2.6264, -0.03553, -0.335123, -0.323017, 0.711932, 0.701917, -0.00621773, 0.020676, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.976774] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [21] 1774481292976665, 2.62854, -0.03553, -0.335123, -0.323017, 0.711932, 0.701917, -0.00621773, 0.020676, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.981067] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [22] 1774481292980960, 2.63284, -0.03553, -0.335123, -0.323017, 0.711932, 0.701917, -0.00621773, 0.020676, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.983630] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [23] 1774481292983528, 2.63541, -0.0355233, -0.335127, -0.323015, 0.711936, 0.701913, -0.00624155, 0.0206778, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.986911] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [25] 1774481292986803, 2.63868, -0.0355233, -0.335127, -0.323015, 0.711936, 0.701913, -0.00624155, 0.0206778, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.989123] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [26] 1774481292989018, 2.6409, -0.0355233, -0.335127, -0.323015, 0.711936, 0.701913, -0.00624155, 0.0206778, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.991781] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [27] 1774481292991673, 2.64355, -0.0355238, -0.335131, -0.323015, 0.711938, 0.701909, -0.00622899, 0.0206985, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.995499] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [28] 1774481292995426, 2.64731, -0.0355238, -0.335131, -0.323015, 0.711938, 0.701909, -0.00622899, 0.0206985, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:12.999179] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [30] 1774481292999069, 2.65095, -0.0355238, -0.335131, -0.323015, 0.711938, 0.701909, -0.00622899, 0.0206985, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.000995] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [31] 1774481293000895, 2.65278, -0.0355238, -0.335131, -0.323015, 0.711938, 0.701909, -0.00622899, 0.0206985, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.003682] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [32] 1774481293003574, 2.65545, -0.0355158, -0.335131, -0.323007, 0.71193, 0.701917, -0.00624995, 0.0206986, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.006557] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [34] 1774481293006444, 2.65832, -0.0355158, -0.335131, -0.323007, 0.71193, 0.701917, -0.00624995, 0.0206986, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.014219] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [35] 1774481293014093, 2.66597, -0.0355158, -0.335131, -0.323007, 0.71193, 0.701917, -0.00624995, 0.0206986, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.014825] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [36] 1774481293014731, 2.66661, -0.0355173, -0.335138, -0.32301, 0.711931, 0.701917, -0.00621869, 0.0206839, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.016628] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [38] 1774481293016517, 2.6684, -0.0355173, -0.335138, -0.32301, 0.711931, 0.701917, -0.00621869, 0.0206839, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.021147] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [39] 1774481293021039, 2.67292, -0.0355173, -0.335138, -0.32301, 0.711931, 0.701917, -0.00621869, 0.0206839, 0, 0, 0, 0, 0, 0, 
[2026-03-25 19:28:13.022627] [0x0000007f6bffe9a0] [MocapTag] [0x00000934] [40] 1774481293022495, 2.67437, -0.0354874, -0.335155, -0.32296, 0.711993, 0.701857, -0.00600497, 0.020663, 0, 0, 0, 0, 0, 0, 
