[2024-04-18 18:38:55.308869] [0x00007fbb43831f80] [info] [0x000100c9] [1] Initial timestamp, Current time, User-defined position x, User-defined position y, User-defined position z, User-defined velocity x, User-defined velocity y, User-defined velocity z, User-defined acceleration x, User-defined acceleration y, User-defined acceleration z, User-defined yaw, User-defined yaw_dot, User-defined yaw_dot_dot
[2024-04-18 18:38:55.320149] [0x00007fbb43831f80] [info] [0x000100c9] [2] 1713479935308783, 0.011262, -4.48956e-10, -3.08997e-10, 3.36216e-10, -1.59272e-07, -1.09603e-07, 1.19263e-07, -4.23446e-05, -2.9132e-05, 3.17018e-05, 0, 0, 0
[2024-04-18 18:38:55.330092] [0x00007fbb43831f80] [info] [0x000100c9] [3] 1713479935308783, 0.021223, -5.6386e-09, -3.87869e-09, 4.221e-09, -1.06039e-06, -7.2921e-07, 7.9363e-07, -0.000149341, -0.000102649, 0.000111732, 0, 0, 0
[2024-04-18 18:38:55.340124] [0x00007fbb43831f80] [info] [0x000100c9] [4] 1713479935308783, 0.031253, -2.64057e-08, -1.8154e-08, 1.97592e-08, -3.36861e-06, -2.31494e-06, 2.51993e-06, -0.0003216, -0.000220846, 0.000240451, 0, 0, 0
[2024-04-18 18:38:55.350079] [0x00007fbb43831f80] [info] [0x000100c9] [5] 1713479935308783, 0.041213, -7.95181e-08, -5.4639e-08, 5.94793e-08, -7.68461e-06, -5.27729e-06, 5.74571e-06, -0.000555368, -0.000381026, 0.000414957, 0, 0, 0
[2024-04-18 18:38:55.360081] [0x00007fbb43831f80] [info] [0x000100c9] [6] 1713479935308783, 0.051234, -1.89124e-07, -1.2988e-07, 1.41408e-07, -1.46865e-05, -1.00787e-05, 1.09755e-05, -0.000852281, -0.000584183, 0.000636374, 0, 0, 0
[2024-04-18 18:38:55.370090] [0x00007fbb43831f80] [info] [0x000100c9] [7] 1713479935308783, 0.061217, -3.83875e-07, -2.63479e-07, 2.86909e-07, -2.49223e-05, -1.70913e-05, 1.86155e-05, -0.00120828, -0.000827419, 0.000901578, 0, 0, 0
[2024-04-18 18:38:55.380135] [0x00007fbb43831f80] [info] [0x000100c9] [8] 1713479935308783, 0.071252, -7.01561e-07, -4.8126e-07, 5.24138e-07, -3.9091e-05, -2.6789e-05, 2.9184e-05, -0.00162536, -0.00111197, 0.00121196, 0, 0, 0
[2024-04-18 18:38:55.390065] [0x00007fbb43831f80] [info] [0x000100c9] [9] 1713479935308783, 0.081208, -1.17886e-06, -8.08228e-07, 8.80374e-07, -5.75717e-05, -3.94262e-05, 4.29593e-05, -0.00209653, -0.00143296, 0.00156222, 0, 0, 0
[2024-04-18 18:38:55.400108] [0x00007fbb43831f80] [info] [0x000100c9] [10] 1713479935308783, 0.091242, -1.87075e-06, -1.28187e-06, 1.39652e-06, -8.12272e-05, -5.55864e-05, 6.05799e-05, -0.00262789, -0.00179441, 0.00195681, 0, 0, 0
[2024-04-18 18:38:55.410066] [0x00007fbb43831f80] [info] [0x000100c9] [11] 1713479935308783, 0.101206, -2.81997e-06, -1.93121e-06, 2.10426e-06, -0.000110269, -7.54071e-05, 8.21973e-05, -0.00321039, -0.00219005, 0.00238891, 0, 0, 0
