[2024-04-19 11:18:28.931160] [0x00007f38cfd6af80] [info] [0x00003b40] [1] Initial timestamp, Current time, User-defined position x, User-defined position y, User-defined position z, User-defined velocity x, User-defined velocity y, User-defined velocity z, User-defined acceleration x, User-defined acceleration y, User-defined acceleration z, User-defined yaw, User-defined yaw_dot, User-defined yaw_dot_dot
[2024-04-19 11:18:28.945835] [0x00007f38c9df4700] [info] [0x00003b40] [2] 1713539908930092, 0.01557, 1.25439e-07, 9.37399e-09, -3.36154e-08, 3.21165e-05, 2.3979e-06, -8.60487e-06, 0.0061531, 0.000458717, -0.00164801, 0, 0, 0
[2024-04-19 11:18:28.955829] [0x00007f38c9df4700] [info] [0x00003b40] [3] 1713539908930092, 0.025599, 9.08593e-07, 6.77421e-08, -2.43358e-07, 0.00014118, 1.05103e-05, -3.78007e-05, 0.0163907, 0.00121716, -0.00438606, 0, 0, 0
[2024-04-19 11:18:28.965624] [0x00007f38c9df4700] [info] [0x00003b40] [4] 1713539908930092, 0.035412, 3.29878e-06, 2.45387e-07, -8.83084e-07, 0.000369731, 2.74458e-05, -9.89296e-05, 0.030917, 0.0022869, -0.00826581, 0, 0, 0
[2024-04-19 11:18:28.975862] [0x00007f38c9df4700] [info] [0x00003b40] [5] 1713539908930092, 0.045601, 8.9903e-06, 6.6716e-07, -2.40538e-06, 0.000780723, 5.77789e-05, -0.000208754, 0.0505035, 0.00372027, -0.0134896, 0, 0, 0
[2024-04-19 11:18:28.985826] [0x00007f38c9df4700] [info] [0x00003b40] [6] 1713539908930092, 0.05543, 1.94585e-05, 1.44063e-06, -5.2034e-06, 0.0013871, 0.00010235, -0.000370639, 0.073543, 0.00539543, -0.0196253, 0.073654, -0.0223176, -0.024517
[2024-04-19 11:18:28.996010] [0x00007f38c9df4700] [info] [0x00003b40] [7] 1713539908930092, 0.065476, 3.75512e-05, 2.77342e-06, -1.0036e-05, 0.002261, 0.000166321, -0.000603725, 0.101095, 0.0073853, -0.0269516, 0.0734285, -0.0225654, -0.0248297
[2024-04-19 11:18:29.006045] [0x00007f38c9df4700] [info] [0x00003b40] [8] 1713539908930092, 0.075484, 6.57486e-05, 4.84421e-06, -1.75624e-05, 0.00342614, 0.000251247, -0.000914191, 0.132367, 0.00962823, -0.0352543, 0.0732014, -0.0228155, -0.0251451
[2024-04-19 11:18:29.016199] [0x00007f38c9df4700] [info] [0x00003b40] [9] 1713539908930092, 0.085635, 0.00010794, 7.93296e-06, -2.88158e-05, 0.0049465, 0.000361581, -0.00131891, 0.167787, 0.0121502, -0.0446428, 0.0729685, -0.0230724, -0.0254691
[2024-04-19 11:18:29.026159] [0x00007f38c9df4700] [info] [0x00003b40] [10] 1713539908930092, 0.095511, 0.000165576, 1.21391e-05, -4.41779e-05, 0.00678779, 0.000494613, -0.00180856, 0.205636, 0.0148251, -0.0546585, 0.0727394, -0.0233255, -0.0257881
[2024-04-19 11:18:29.036301] [0x00007f38c9df4700] [info] [0x00003b40] [11] 1713539908930092, 0.105645, 0.00024563, 1.79624e-05, -6.54994e-05, 0.0090824, 0.000659646, -0.00241815, 0.247757, 0.017779, -0.0657859, 0.0725017, -0.0235885, -0.0261195
[2024-04-19 11:18:29.046044] [0x00007f38c9df4700] [info] [0x00003b40] [12] 1713539908930092, 0.115466, 0.000347469, 2.53465e-05, -9.26035e-05, 0.0117285, 0.00084908, -0.00312038, 0.291576, 0.0208274, -0.0773411, 0.0722688, -0.0238466, -0.0264446
[2024-04-19 11:18:29.056079] [0x00007f38c9df4700] [info] [0x00003b40] [13] 1713539908930092, 0.125505, 0.000480693, 3.49745e-05, -0.000128034, 0.0148925, 0.00107453, -0.00395918, 0.339239, 0.0241161, -0.0898875, 0.0720281, -0.0241138, -0.0267809
[2024-04-19 11:18:29.066241] [0x00007f38c9df4700] [info] [0x00003b40] [14] 1713539908930092, 0.135467, 0.000646701, 4.69316e-05, -0.00017215, 0.0185188, 0.00133169, -0.00491952, 0.389236, 0.0275361, -0.103024, 0.0717865, -0.0243823, -0.0271186
[2024-04-19 11:18:29.076215] [0x00007f38c9df4700] [info] [0x00003b40] [15] 1713539908930092, 0.145634, 0.000856012, 6.19561e-05, -0.000227731, 0.0227467, 0.00163001, -0.0060379, 0.44286, 0.0311713, -0.117085, 0.0715372, -0.0246597, -0.0274674
[2024-04-19 11:18:29.086121] [0x00007f38c9df4700] [info] [0x00003b40] [16] 1713539908930092, 0.155477, 0.00110223, 7.95688e-05, -0.000293061, 0.0273709, 0.00195467, -0.00725979, 0.497113, 0.034815, -0.131283, 0.0712931, -0.0249318, -0.0278091
[2024-04-19 11:18:29.096265] [0x00007f38c9df4700] [info] [0x00003b40] [17] 1713539908930092, 0.165484, 0.00140197, 0.000100936, -0.000372531, 0.0326307, 0.00232207, -0.00864805, 0.554468, 0.0386302, -0.146262, 0.0710423, -0.0252118, -0.0281605
[2024-04-19 11:18:29.106174] [0x00007f38c9df4700] [info] [0x00003b40] [18] 1713539908930092, 0.175496, 0.00175744, 0.000126185, -0.000466703, 0.038478, 0.00272835, -0.0101896, 0.613912, 0.0425446, -0.161753, 0.0707884, -0.0254955, -0.0285163
[2024-04-19 11:18:29.116122] [0x00007f38c9df4700] [info] [0x00003b40] [19] 1713539908930092, 0.185499, 0.00217406, 0.000155672, -0.000576985, 0.044924, 0.00317384, -0.0118869, 0.675207, 0.0465388, -0.177691, 0.070532, -0.0257826, -0.0288758
[2024-04-19 11:18:29.126093] [0x00007f38c9df4700] [info] [0x00003b40] [20] 1713539908930092, 0.195462, 0.00265619, 0.000189669, -0.000704502, 0.0519625, 0.00365762, -0.0137381, 0.738002, 0.0505861, -0.193982, 0.0702736, -0.0260721, -0.0292381
[2024-04-19 11:18:29.136275] [0x00007f38c9df4700] [info] [0x00003b40] [21] 1713539908930092, 0.205507, 0.00321647, 0.000229031, -0.000852568, 0.0597005, 0.00418649, -0.0157707, 0.802929, 0.0547234, -0.210786, 0.0700103, -0.0263676, -0.0296075
[2024-04-19 11:18:29.146064] [0x00007f38c9df4700] [info] [0x00003b40] [22] 1713539908930092, 0.215481, 0.00385294, 0.000273578, -0.00102063, 0.0680366, 0.00475298, -0.0179577, 0.868861, 0.0588748, -0.227809, 0.0697458, -0.0266648, -0.0299784
[2024-04-19 11:18:29.156162] [0x00007f38c9df4700] [info] [0x00003b40] [23] 1713539908930092, 0.225583, 0.00458574, 0.000324669, -0.00121396, 0.0771568, 0.0053691, -0.0203474, 0.936985, 0.0631109, -0.245352, 0.0694749, -0.0269695, -0.0303583
[2024-04-19 11:18:29.166041] [0x00007f38c9df4700] [info] [0x00003b40] [24] 1713539908930092, 0.235462, 0.00539479, 0.000380857, -0.00142723, 0.0867473, 0.00601312, -0.0228571, 1.00478, 0.0672722, -0.262766, 0.069207, -0.0272713, -0.0307339
[2024-04-19 11:18:29.176318] [0x00007f38c9df4700] [info] [0x00003b40] [25] 1713539908930092, 0.245639, 0.00633087, 0.000445611, -0.00167377, 0.097333, 0.0067196, -0.0256235, 1.07571, 0.0715662, -0.280933, 0.0689278, -0.0275861, -0.0311252
[2024-04-19 11:18:29.186182] [0x00007f38c9df4700] [info] [0x00003b40] [26] 1713539908930092, 0.255469, 0.00734074, 0.000515189, -0.0019395, 0.108248, 0.00744347, -0.0284721, 1.14514, 0.0757098, -0.298666, 0.0686552, -0.0278939, -0.0315072
[2024-04-19 11:18:29.196316] [0x00007f38c9df4700] [info] [0x00003b40] [27] 1713539908930092, 0.265636, 0.00850173, 0.000594853, -0.00224473, 0.120259, 0.00823494, -0.0316026, 1.21777, 0.07998, -0.317163, 0.0683699, -0.0282163, -0.0319065
[2024-04-19 11:18:29.206186] [0x00007f38c9df4700] [info] [0x00003b40] [28] 1713539908930092, 0.275492, 0.0097473, 0.000679968, -0.0025719, 0.132611, 0.00904352, -0.0348174, 1.28887, 0.0840941, -0.335213, 0.0680903, -0.0285326, -0.0322978
[2024-04-19 11:18:29.216075] [0x00007f38c9df4700] [info] [0x00003b40] [29] 1713539908930092, 0.285493, 0.0111392, 0.000774687, -0.00293718, 0.145864, 0.00990527, -0.0382618, 1.36158, 0.0882329, -0.353615, 0.0678033, -0.0288577, -0.0326989
[2024-04-19 11:18:29.226266] [0x00007f38c9df4700] [info] [0x00003b40] [30] 1713539908930092, 0.295462, 0.0126622, 0.000877885, -0.00333649, 0.159801, 0.0108052, -0.0418787, 1.43453, 0.0923128, -0.372014, 0.067514, -0.0291856, -0.0331029
[2024-04-19 11:18:29.236187] [0x00007f38c9df4700] [info] [0x00003b40] [31] 1713539908930092, 0.305638, 0.0143639, 0.00099269, -0.00378223, 0.174779, 0.0117656, -0.04576, 1.50935, 0.0964205, -0.390822, 0.0672153, -0.0295246, -0.0335195
[2024-04-19 11:18:29.246100] [0x00007f38c9df4700] [info] [0x00003b40] [32] 1713539908930092, 0.315457, 0.016154, 0.00111293, -0.00425068, 0.189955, 0.0127315, -0.0496866, 1.58179, 0.100321, -0.408965, 0.0669237, -0.0298557, -0.0339255
[2024-04-19 11:18:29.256139] [0x00007f38c9df4700] [info] [0x00003b40] [33] 1713539908930092, 0.325515, 0.0181458, 0.00124612, -0.00477143, 0.206239, 0.0137603, -0.0538933, 1.65613, 0.104242, -0.427517, 0.0666217, -0.0301991, -0.0343456
[2024-04-19 11:18:29.266105] [0x00007f38c9df4700] [info] [0x00003b40] [34] 1713539908930092, 0.335461, 0.0202802, 0.0013882, -0.0053289, 0.223076, 0.0148161, -0.0582363, 1.7297, 0.108038, -0.445802, 0.0663197, -0.0305428, -0.0347649
[2024-04-19 11:18:29.276076] [0x00007f38c9df4700] [info] [0x00003b40] [35] 1713539908930092, 0.345477, 0.0226025, 0.00154208, -0.00593486, 0.240772, 0.015917, -0.0627934, 1.80373, 0.11177, -0.464129, 0.066012, -0.0308931, -0.0351913
[2024-04-19 11:18:29.286048] [0x00007f38c9df4700] [info] [0x00003b40] [36] 1713539908930092, 0.355462, 0.0250978, 0.00170664, -0.00658529, 0.25915, 0.0170512, -0.0675184, 1.87739, 0.115393, -0.482287, 0.0657018, -0.0312466, -0.0356204
[2024-04-19 11:18:29.296287] [0x00007f38c9df4700] [info] [0x00003b40] [37] 1713539908930092, 0.365633, 0.027832, 0.0018861, -0.00729729, 0.278626, 0.0182431, -0.0725173, 1.95219, 0.118975, -0.500641, 0.0653821, -0.0316111, -0.0360616
[2024-04-19 11:18:29.306301] [0x00007f38c9df4700] [info] [0x00003b40] [38] 1713539908930092, 0.375484, 0.0306726, 0.00207164, -0.00803623, 0.298212, 0.0194318, -0.077536, 2.02432, 0.122332, -0.518258, 0.0650689, -0.0319685, -0.0364927
[2024-04-19 11:18:29.316412] [0x00007f38c9df4700] [info] [0x00003b40] [39] 1713539908930092, 0.385633, 0.0338047, 0.00227521, -0.00885015, 0.319132, 0.0206904, -0.0828871, 2.09822, 0.12567, -0.536221, 0.0647426, -0.0323411, -0.0369409
