[2024-04-19 15:12:38.215545] [0x00007f50543bdf80] [info] [0x0000d691] [1] Initial timestamp, Current time, User-defined position x, User-defined position y, User-defined position z, User-defined velocity x, User-defined velocity y, User-defined velocity z, User-defined acceleration x, User-defined acceleration y, User-defined acceleration z, User-defined yaw, User-defined yaw_dot, User-defined yaw_dot_dot
[2024-04-19 15:12:38.227131] [0x00007f50543bdf80] [info] [0x0000d691] [2] 1713553958215421, 0.011482, 3.72302e-08, 2.78479e-09, -9.97917e-09, 1.29375e-05, 9.67082e-07, -3.46724e-06, 0.00336619, 0.000251347, -0.000901909, 0, 0, 0
[2024-04-19 15:12:38.237519] [0x00007f50543bdf80] [info] [0x0000d691] [3] 1713553958215421, 0.021513, 4.54811e-07, 3.39414e-08, -1.21843e-07, 8.41679e-05, 6.27342e-06, -2.2542e-05, 0.0116453, 0.000866157, -0.00311736, 0, 0, 0
[2024-04-19 15:12:38.247230] [0x00007f50543bdf80] [info] [0x0000d691] [4] 1713553958215421, 0.03131, 2.02322e-06, 1.50645e-07, -5.41734e-07, 0.000256707, 1.90788e-05, -6.87065e-05, 0.0243153, 0.00180154, -0.00650327, 0, 0, 0
[2024-04-19 15:12:38.257403] [0x00007f50543bdf80] [info] [0x0000d691] [5] 1713553958215421, 0.041378, 6.11733e-06, 4.54413e-07, -1.63708e-06, 0.000586002, 4.34229e-05, -0.000156734, 0.0418426, 0.0030876, -0.0111807, 0, 0, 0
[2024-04-19 15:12:38.267569] [0x00007f50543bdf80] [info] [0x0000d691] [6] 1713553958215421, 0.05145, 1.44941e-05, 1.0741e-06, -3.87669e-06, 0.00111412, 8.23077e-05, -0.000297781, 0.0637361, 0.00468371, -0.0170147, 0.0737426, -0.0222202, -0.0243942
[2024-04-19 15:12:38.277613] [0x00007f50543bdf80] [info] [0x0000d691] [7] 1713553958215421, 0.061364, 2.90751e-05, 2.14953e-06, -7.77242e-06, 0.00186969, 0.00013771, -0.000499382, 0.0893408, 0.00653807, -0.0238275, 0.0735211, -0.0224636, -0.0247012
[2024-04-19 15:12:38.287512] [0x00007f50543bdf80] [info] [0x0000d691] [8] 1713553958215421, 0.071364, 5.27182e-05, 3.88806e-06, -1.4085e-05, 0.00290845, 0.000213558, -0.000776283, 0.119043, 0.00867456, -0.0317185, 0.0732952, -0.0227122, -0.0250148
[2024-04-19 15:12:38.297607] [0x00007f50543bdf80] [info] [0x0000d691] [9] 1713553958215421, 0.081354, 8.82538e-05, 6.493e-06, -2.35661e-05, 0.00426135, 0.00031192, -0.00113657, 0.152408, 0.0110575, -0.0405682, 0.0730671, -0.0229637, -0.025332
[2024-04-19 15:12:38.306910] [0x00007f50543bdf80] [info] [0x0000d691] [10] 1713553958215421, 0.09132, 0.000138886, 1.0193e-05, -3.70654e-05, 0.00596066, 0.000434926, -0.00158867, 0.189178, 0.0136644, -0.0503054, 0.072837, -0.0232177, -0.0256523
[2024-04-19 15:12:38.316920] [0x00007f50543bdf80] [info] [0x0000d691] [11] 1713553958215421, 0.101287, 0.000208342, 1.52524e-05, -5.55702e-05, 0.00804322, 0.000585001, -0.00214216, 0.229248, 0.0164839, -0.0608986, 0.0726043, -0.023475, -0.0259765
[2024-04-19 15:12:38.326886] [0x00007f50543bdf80] [info] [0x0000d691] [12] 1713553958215421, 0.111271, 0.000300778, 2.1964e-05, -8.01792e-05, 0.0105455, 0.000764496, -0.00280652, 0.272509, 0.019504, -0.0723156, 0.0723686, -0.023736, -0.0263053
[2024-04-19 15:12:38.336853] [0x00007f50543bdf80] [info] [0x0000d691] [13] 1713553958215421, 0.121272, 0.000420631, 3.06378e-05, -0.000112064, 0.0134999, 0.000975439, -0.00359011, 0.318799, 0.0227092, -0.0845098, 0.0721299, -0.0240007, -0.0266386
