[2024-06-13 11:56:33.188281] [0x0000007f887dd010] [MocapTag] [0x00000af8] [2] Mocap timestamp, Mocap time [s], Mocap position x [m], Mocap position y [m], Mocap position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-06-13 11:56:33.192565] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [3] 1718294193192431, 0.054423, 0.102857, -0.131938, -0.310022, -0.999121, -0.00194691, 0.00288477, 0.0417719, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.195324] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [6] 1718294193195199, 0.057191, 0.102857, -0.131938, -0.310022, -0.999121, -0.00194691, 0.00288477, 0.0417719, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.197653] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [7] 1718294193197535, 0.059527, 0.102863, -0.131937, -0.31003, -0.999121, -0.00194772, 0.00286411, 0.0417648, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.201387] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [8] 1718294193201232, 0.063224, 0.102863, -0.131937, -0.31003, -0.999121, -0.00194772, 0.00286411, 0.0417648, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.203871] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [10] 1718294193203752, 0.065744, 0.102863, -0.131937, -0.31003, -0.999121, -0.00194772, 0.00286411, 0.0417648, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.206503] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [11] 1718294193206388, 0.06838, 0.102872, -0.131935, -0.310043, -0.999121, -0.00194038, 0.00285371, 0.0417837, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.209266] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [12] 1718294193209154, 0.071146, 0.102872, -0.131935, -0.310043, -0.999121, -0.00194038, 0.00285371, 0.0417837, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.211782] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [13] 1718294193211673, 0.073665, 0.102872, -0.131935, -0.310043, -0.999121, -0.00194038, 0.00285371, 0.0417837, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.214443] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [15] 1718294193214326, 0.076318, 0.102872, -0.131935, -0.310043, -0.999121, -0.00194038, 0.00285371, 0.0417837, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.216883] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [16] 1718294193216771, 0.078763, 0.102873, -0.131935, -0.310033, -0.999122, -0.00194133, 0.00287227, 0.0417576, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.219755] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [17] 1718294193219636, 0.081628, 0.102873, -0.131935, -0.310033, -0.999122, -0.00194133, 0.00287227, 0.0417576, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.222242] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [18] 1718294193222121, 0.084113, 0.102873, -0.131935, -0.310033, -0.999122, -0.00194133, 0.00287227, 0.0417576, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.224945] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [20] 1718294193224831, 0.086823, 0.102873, -0.131935, -0.310033, -0.999122, -0.00194133, 0.00287227, 0.0417576, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.228297] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [21] 1718294193228186, 0.090178, 0.10288, -0.131943, -0.310037, -0.999121, -0.00193465, 0.00287656, 0.0417677, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.230242] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [22] 1718294193230134, 0.092126, 0.10288, -0.131943, -0.310037, -0.999121, -0.00193465, 0.00287656, 0.0417677, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.232500] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [23] 1718294193232405, 0.094397, 0.10288, -0.131943, -0.310037, -0.999121, -0.00193465, 0.00287656, 0.0417677, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.236259] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [25] 1718294193236140, 0.098132, 0.102875, -0.131942, -0.310027, -0.999122, -0.00193386, 0.00287597, 0.0417596, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.238980] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [26] 1718294193238865, 0.100857, 0.102875, -0.131942, -0.310027, -0.999122, -0.00193386, 0.00287597, 0.0417596, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.241527] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [27] 1718294193241411, 0.103403, 0.102875, -0.131942, -0.310027, -0.999122, -0.00193386, 0.00287597, 0.0417596, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.244090] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [29] 1718294193243979, 0.105971, 0.102875, -0.131942, -0.310027, -0.999122, -0.00193386, 0.00287597, 0.0417596, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.246783] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [30] 1718294193246670, 0.108662, 0.102872, -0.131945, -0.310011, -0.999121, -0.00193834, 0.00288896, 0.0417767, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.251245] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [31] 1718294193251134, 0.113126, 0.102872, -0.131945, -0.310011, -0.999121, -0.00193834, 0.00288896, 0.0417767, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.254116] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [33] 1718294193254001, 0.115993, 0.102872, -0.131945, -0.310011, -0.999121, -0.00193834, 0.00288896, 0.0417767, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.256606] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [34] 1718294193256491, 0.118483, 0.10286, -0.131946, -0.310009, -0.999122, -0.00194382, 0.00287451, 0.0417599, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.259712] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [35] 1718294193259588, 0.12158, 0.10286, -0.131946, -0.310009, -0.999122, -0.00194382, 0.00287451, 0.0417599, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.261768] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [36] 1718294193261656, 0.123648, 0.10286, -0.131946, -0.310009, -0.999122, -0.00194382, 0.00287451, 0.0417599, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.264567] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [38] 1718294193264452, 0.126444, 0.10286, -0.131946, -0.310009, -0.999122, -0.00194382, 0.00287451, 0.0417599, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.267327] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [39] 1718294193267215, 0.129207, 0.102852, -0.131945, -0.310001, -0.999122, -0.00194247, 0.00287931, 0.0417616, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.270234] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [40] 1718294193270125, 0.132117, 0.102852, -0.131945, -0.310001, -0.999122, -0.00194247, 0.00287931, 0.0417616, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.272786] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [42] 1718294193272718, 0.13471, 0.102852, -0.131945, -0.310001, -0.999122, -0.00194247, 0.00287931, 0.0417616, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.275486] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [43] 1718294193275373, 0.137365, 0.102852, -0.131945, -0.310002, -0.999122, -0.00194692, 0.00286133, 0.0417594, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.278311] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [44] 1718294193278195, 0.140187, 0.102852, -0.131945, -0.310002, -0.999122, -0.00194692, 0.00286133, 0.0417594, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.280789] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [45] 1718294193280665, 0.142657, 0.102852, -0.131945, -0.310002, -0.999122, -0.00194692, 0.00286133, 0.0417594, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.283444] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [47] 1718294193283327, 0.145319, 0.102852, -0.131945, -0.310002, -0.999122, -0.00194692, 0.00286133, 0.0417594, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.286113] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [48] 1718294193285996, 0.147988, 0.102852, -0.131938, -0.31, -0.999121, -0.00193964, 0.00287895, 0.0417821, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.288711] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [49] 1718294193288600, 0.150592, 0.102852, -0.131938, -0.31, -0.999121, -0.00193964, 0.00287895, 0.0417821, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.291425] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [50] 1718294193291258, 0.15325, 0.102852, -0.131938, -0.31, -0.999121, -0.00193964, 0.00287895, 0.0417821, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.293962] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [52] 1718294193293853, 0.155845, 0.102852, -0.131938, -0.31, -0.999121, -0.00193964, 0.00287895, 0.0417821, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.296618] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [53] 1718294193296503, 0.158495, 0.102848, -0.131941, -0.310003, -0.999121, -0.00193841, 0.00286856, 0.0417723, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.299707] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [54] 1718294193299584, 0.161576, 0.102848, -0.131941, -0.310003, -0.999121, -0.00193841, 0.00286856, 0.0417723, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.302110] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [55] 1718294193301991, 0.163983, 0.102848, -0.131941, -0.310003, -0.999121, -0.00193841, 0.00286856, 0.0417723, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.305078] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [57] 1718294193304955, 0.166947, 0.102848, -0.131941, -0.310003, -0.999121, -0.00193841, 0.00286856, 0.0417723, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.307453] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [58] 1718294193307333, 0.169325, 0.102849, -0.131944, -0.310005, -0.99912, -0.00194668, 0.00287296, 0.0417972, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.311511] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [59] 1718294193311382, 0.173374, 0.102849, -0.131944, -0.310005, -0.99912, -0.00194668, 0.00287296, 0.0417972, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.314273] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [61] 1718294193314156, 0.176148, 0.102849, -0.131944, -0.310005, -0.99912, -0.00194668, 0.00287296, 0.0417972, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.316833] [0x0000007f828b69a0] [MocapTag] [0x00000af8] [62] 1718294193316712, 0.178704, 0.102853, -0.131937, -0.310016, -0.999122, -0.00194494, 0.00286955, 0.04176, 0, 0, 0, 0, 0, 0, 
